Taxon name,N,0%,10%,25%,50%,75%,90%,100%
Cercocarpus ledifolius ,323,0.10,0.41,0.49,0.59,0.71,0.78,0.97
Cereus giganteus ,268,0.06,0.11,0.16,0.21,0.28,0.35,0.61
Chilopsis linearis ,1212,0.05,0.18,0.24,0.30,0.39,0.51,0.84
Cornus florida ,2927,0.37,0.90,0.93,0.96,0.98,0.99,1.00
Cornus stolonifera ,10191,0.23,0.56,0.67,0.88,0.99,0.99,1.00
Corylus cornuta,3760,0.33,0.65,0.73,0.96,0.99,0.99,1.00
Cowania mexicana ,598,0.10,0.23,0.32,0.47,0.66,0.84,0.94
Dalea spinosa ,165,0.04,0.05,0.06,0.08,0.12,0.18,0.55
Diospyros virginiana ,2870,0.68,0.89,0.92,0.96,0.98,0.99,1.00
Dodonaea viscosa ,1230,0.09,0.25,0.44,0.61,0.74,0.81,0.99
Erythrina flabelliformis,280,0.14,0.42,0.59,0.74,0.84,0.91,0.94
Fagus grandifolia ,3389,0.85,0.92,0.95,0.97,0.98,0.99,1.00
Forestiera phillyreoides (southern range not available),23,0.12,0.13,0.16,0.45,0.53,0.73,0.86
Fraxinus americana ,4274,0.71,0.90,0.94,0.96,0.98,0.99,1.00
Fraxinus anomala ,138,0.11,0.17,0.22,0.29,0.44,0.59,0.92
Fraxinus berlandieriana ,312,0.22,0.30,0.36,0.42,0.48,0.57,0.79
Fraxinus caroliniana ,656,0.87,0.92,0.96,0.99,0.99,0.99,1.00
Fraxinus cuspidata ,18,0.21,0.22,0.34,0.38,0.43,0.48,0.78
Fraxinus dipetala ,100,0.21,0.37,0.45,0.50,0.55,0.61,0.68
Fraxinus greggii ,288,0.21,0.30,0.38,0.46,0.56,0.63,0.88
Fraxinus latifolia ,234,0.10,0.54,0.64,0.71,0.82,0.91,0.97
Fraxinus nigra ,2928,0.69,0.93,0.96,0.98,0.99,0.99,1.00
Fraxinus pennsylvanica,7355,0.39,0.58,0.77,0.94,0.97,0.99,1.00
Fraxinus profunda ,246,0.86,0.93,0.95,0.99,0.99,1.00,1.00
Fraxinus quadrangulata ,529,0.88,0.94,0.95,0.96,0.97,0.97,0.99
Fraxinus texensis,40,0.35,0.57,0.70,0.77,0.79,0.80,0.87
Fraxinus velutina ,157,0.09,0.29,0.39,0.48,0.61,0.74,0.92
Fremontodendron californicum ,61,0.21,0.39,0.49,0.53,0.59,0.62,0.71
Gleditsia triacanthos ,2601,0.49,0.87,0.91,0.95,0.97,0.98,1.00
Holacantha emoryi,131,0.04,0.06,0.07,0.11,0.17,0.21,0.25
Ilex opaca ,1842,0.74,0.89,0.92,0.96,0.99,0.99,1.00
Ilex verticillata,2800,0.85,0.94,0.96,0.97,0.99,0.99,1.00
Juglans californica,8,0.37,0.37,0.44,0.45,0.48,0.48,0.50
Juglans cinerea,2184,0.86,0.94,0.95,0.97,0.98,0.99,1.00
Juglans major,465,0.26,0.47,0.61,0.72,0.80,0.90,0.94
Juglans microcarpa,54,0.20,0.28,0.35,0.44,0.59,0.72,0.87
Juglans nigra,3470,0.63,0.88,0.92,0.96,0.97,0.98,1.00
Kalmia latifolia,1402,0.87,0.94,0.96,0.97,0.98,0.99,1.00
Koeberlinia spinosa,937,0.06,0.22,0.26,0.33,0.45,0.55,0.92
Larrea divaricata,1751,0.04,0.11,0.21,0.28,0.37,0.48,0.95
Liquidambar styraciflua,2209,0.71,0.88,0.92,0.96,0.98,0.99,1.00
Liriodendron tulipifera,2351,0.85,0.92,0.95,0.97,0.98,0.99,1.00
Lithocarpus densiflorus,46,0.51,0.61,0.66,0.71,0.80,0.84,0.86
Lyonia ferruginea,208,0.91,0.98,0.99,0.99,0.99,0.99,1.00
Maclura pomifera ,182,0.22,0.75,0.80,0.84,0.89,0.90,0.92
Magnolia acuminata ,753,0.88,0.93,0.96,0.97,0.99,0.99,1.00
Magnolia grandiflora ,573,0.86,0.91,0.93,0.98,0.99,0.99,1.00
Magnolia virginiana,1036,0.85,0.90,0.94,0.97,0.99,0.99,1.00
Morus microphylla,112,0.22,0.33,0.44,0.55,0.64,0.74,0.92
Morus rubra ,4197,0.35,0.86,0.92,0.96,0.98,0.99,1.00
