genus,species,silvics_pollin,silvic_phen_seq,flower_class,av_fruit_time,locality,flower_time,flower_locality,shade,height,imputed,imputed_pred
Quercus,laurifolia,wind,pro,mono,21,,2.5,,tolerant,21,N,N
Quercus,lyrata,wind,syn,mono,9.5,,4.5,,medium_tolerant,27,N,N
Quercus,michauxii,wind,syn,mono,9.5,,4.5,,intolerant,30.5,N,N
Quercus,nigra,wind,pro/syn,mono,21,,NA,,intolerant,38,N,N
Quercus,nuttallii,wind,syn,mono,11.5,,3.5,,intolerant,37,N,N
Quercus,phellos,wind,pro,mono,21,,3.5,,intolerant,37,N,N
Quercus,stellata,wind,syn,mono,10,,5,north,intolerant,18.3,N,N
Quercus,prinus,wind,syn,mono,9.5,,4.5,,medium_tolerant,24,N,flower
Quercus sp,,,undescribed,,,,,,,,,N
Robinia,pseudoacacia,insect,ser,perect,12.5,,5.5,,very_intolerant,18,N,N
Salix,nigra,ambo,pro/syn,dio,6.5,,4,range,very_intolerant,15,N,N
Sassafras,albidum,insect,syn,dio,8.5,,3.5,,intolerant,30,N,N
Tilia,heterophylla,insect,ser,perfect,9.5,,6.5,,tolerant,27,Y,N
Tilia,americana,insect,ser,perfect,9.5,,6,,tolerant,40,N,N
Ulmus,alata,wind,pro,perfect,4,,3.5,,tolerant,15,N,N
Ulmus,americana,wind,pro,perfect,4.5,range,3.5,range,medium_tolerant,38,N,N
Ulmus,thomasii,wind,pro,perfect,5.5,,4,,medium_tolerant,27,N,N
Ulmus,serotina,wind,ser,perfect,10.5,,9,,tolerant,25,N,N
Ulmus,rubra,wind,pro,perfect,5,,3.5,,tolerant,21.3,N,N
Ulmus,crassifolia,wind,ser,perfect,9.5,,8.5,,medium_tolerant,30,N,N
Castanopsis,chrysophylla,,evergreen,,,,,,,,Y,N
Casuarina,,,evergreen,,,,,,,,Y,N
Cecropia peltata,,,evergreen,,,,,,,,Y,N
Cedrela odorata,,,evergreen,,,,,,,,Y,N
Cordia alliodora,,,evergreen,,,,,,,,,
Dacryodes excelsa,,,evergreen,,,,,,,,,
Didymopanax morototoni ,,,evergreen,,,,,,,,,
Eucalyptus,sp,,evergreen,,,,,,,,,
Grevillea robusta,,,evergreen,,,,,,,,,
Ilex,opaca,,evergreen,,,,,,,,,
Lithocarpus densiflorus,,,evergreen,,,,,,,,,
Manilkara bidentata,,,evergreen,,,,,,,,,
Melaleuca quinquenervia ,,,evergreen,,,,,,,,,
Metrosideros polymorpha,,,evergreen,,,,,,,,,
Persea,borbonia,,evergreen,,,,,,,,,
Pithecellobium,saman,,evergreen,,,,,,,,,
Prosopis,pallida,,evergreen,,,,,,,,,
Sabal,palmetto,,,,,,,,,,,
Tabebuia,heterophylla,,dry_deciduous,,,,,,,,,
