specificEpithet,references,catalogNumber,flowers,leaves,bbch.f,bbch.v
umbellata,http://data.huh.harvard.edu/2b3c8a19-64ee-44fc-a6e6-b98bb32a6afc/image,barcode-01724908,,,,
umbellata,http://data.huh.harvard.edu/b07cda28-54a0-4b4b-8943-6741b8172035/image,barcode-01725017,,,,
umbellata,http://data.huh.harvard.edu/416b0547-cb03-498a-ad59-602a0d8cb519/image,barcode-01724914,,,,
umbellata,http://data.huh.harvard.edu/bd11fb2b-fe80-4d8d-81d3-c364d2a0ffa5/image,barcode-01724876,,,,
umbellata,http://data.huh.harvard.edu/814c928b-bce4-441c-bda0-e38671f0ec76/image,barcode-01724939,,,,
umbellata,http://data.huh.harvard.edu/b833835c-8a0d-45c3-8ef8-e1d99271da2d/image,barcode-01724949,,,,
umbellata,http://data.huh.harvard.edu/3c85ddb4-a531-4551-a823-a21bf48a1c35/image,barcode-01724940,,,,
umbellata,http://data.huh.harvard.edu/4e90a24f-dd2b-4461-8588-395e6431043a/image,barcode-01724836,,,,
umbellata,http://data.huh.harvard.edu/b3362e5b-4cd7-4449-a5ee-ff8260224624/image,barcode-01724847,,,,
umbellata,http://data.huh.harvard.edu/587c7236-e7cd-4611-b94f-e0bb2948d54f/image,barcode-01724985,,,,
hortulana,http://data.huh.harvard.edu/baee0adc-d123-4cc4-8439-6c67f84a6247/image,barcode-01722220,,,,
hortulana,http://data.huh.harvard.edu/c7312185-d617-4b48-a147-d0a167bb6edf/image,barcode-01722096,,,,
hortulana,http://data.huh.harvard.edu/a93a85d0-7f10-4956-827a-21df88b36975/image,barcode-01722168,,,,
hortulana,http://data.huh.harvard.edu/66e1ba7a-19eb-4ee6-a49e-10706809ea9e/image,barcode-01722199,,,,
hortulana,http://data.huh.harvard.edu/4f66fc38-e5af-442b-b559-951ce4f68b12/image,barcode-01722071,,,,
hortulana,http://data.huh.harvard.edu/4175e02b-b7e2-4cbf-a95b-cbb28501db70/image,barcode-01722222,,,,
hortulana,http://data.huh.harvard.edu/6a2993e9-e842-4f57-a3af-1e4a6e765577/image,barcode-01722090,,,,
hortulana,http://data.huh.harvard.edu/5918a2df-bfb2-49df-8c32-77523f0c44e5/image,barcode-01722225,,,,
hortulana,http://data.huh.harvard.edu/07b32970-0a8f-4829-8584-4fefe84f2dd3/image,barcode-01722116,,,,
hortulana,http://data.huh.harvard.edu/409089c2-72a0-4d1b-8ae7-b8de673a6d96/image,barcode-01722072,,,,
americana,http://data.huh.harvard.edu/aea50088-84fc-4238-b286-22f6b4f16af6/image,barcode-00484003,,,,
