"specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"subcordata",23734655,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734655",NA,NA,"county_centroid"
"subcordata",23568477,"Harvard",1896,5,14,"1896-05-14","California","mariposa ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568477",NA,NA,"county_centroid"
"subcordata",23568488,"Harvard",1880,8,27,"1880-08-27","California","siskiyou ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568488",NA,NA,"county_centroid"
"subcordata",23734658,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734658",NA,NA,"county_centroid"
"subcordata",23568479,"Harvard",1863,0,0,"1863-00-00","California","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568479",NA,NA,"county_centroid"
"subcordata",23568496,"Harvard",1912,0,0,"1912-00-00","California","shasta ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568496",NA,NA,"county_centroid"
"subcordata",23568475,"Harvard",1904,4,7,"1904-04-07","California","san mateo ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568475",NA,NA,"county_centroid"
"subcordata",23734660,"Harvard",NA,NA,NA,"","Oregon","klamath ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734660",NA,NA,"county_centroid"
"subcordata",23568473,"Harvard",1918,8,6,"1918-08-06","California","modoc ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568473",NA,NA,"county_centroid"
"subcordata",23568492,"Harvard",1896,5,7,"1896-05-07","California","amador ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568492",NA,NA,"county_centroid"
"subcordata",20002593,"NY",1892,5,17,"1892-05-17","Idaho","nez perce ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20002593",NA,NA,"county_centroid"
"subcordata",23568484,"Harvard",1989,4,27,"1989-04-27","California","modoc ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568484",NA,NA,"county_centroid"
"subcordata",23568481,"Harvard",1877,5,0,"1877-05-00","California","plumas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568481",NA,NA,"county_centroid"
"subcordata",23734662,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734662",NA,NA,"county_centroid"
"subcordata",23568501,"Harvard",1930,4,3,"1930-04-03","California","lake ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568501",NA,NA,"county_centroid"
"subcordata",23734657,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734657",NA,NA,"county_centroid"
"subcordata",23568485,"Harvard",1920,5,26,"1920-05-26","California","plumas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568485",NA,NA,"county_centroid"
"subcordata",23734652,"Harvard",NA,NA,NA,"","Oregon","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734652",NA,NA,"county_centroid"
"subcordata",23734659,"Harvard",NA,NA,NA,"","Oregon","klamath ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734659",NA,NA,"county_centroid"
"subcordata",16981827,"BLM",1977,5,12,"1977-05-12","California","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16981827",NA,NA,"county_centroid"
"subcordata",23568478,"Harvard",1878,0,0,"1878-00-00","California","plumas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568478",NA,NA,"county_centroid"
"texana",24656001,"NY",1987,7,26,"1987-07-26","Texas","goliad ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24656001",NA,NA,"county_centroid"
"texana",23734812,"Harvard",1910,5,0,"1910-05-00","Texas","lampasas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734812",NA,NA,"county_centroid"
"texana",25286625,"NY",1928,5,9,"1928-05-09","Texas","frio ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25286625",NA,NA,"county_centroid"
"texana",23734800,"Harvard",1872,0,0,"1872-00-00","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734800",NA,NA,"county_centroid"
"texana",23734796,"Harvard",1844,0,0,"1844-00-00","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734796",NA,NA,"county_centroid"
"texana",23734797,"Harvard",NA,NA,NA,"","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734797",NA,NA,"county_centroid"
