Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone
1372-84*D,1372-84,Rosaceae,Prunus,mahaleb,,Prunus mahaleb,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,St. Lucie Cherry,Intermediate (shrub/tree),1372-84,11/19/84,Seed,Prunus mahaleb,Pr. mahaleb,,,Collected directly from the wild; origin known,,,,"Hortus Botanicus, 04352 Kosice, Czechoslovakia",,,,1983,1577,,,,Czechoslovakia,,,Eupanonicum,,,,,,,,,,,27-SW,27,SW,42.2997216,-71.12101174,9/26/17,Poor,,9/26/17,40,C,basal,,,,,,,,,2.4
195-91*C,195-91,Rosaceae,Prunus,spinosa,,Prunus spinosa,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Davis, P.H. 1972. Flora of Turkey and East Aegean islands. Rosaceae to Dipsacaceae. Volume 4. 657 pp. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,Prunus kurdica,"Blackthorn, Sloe",Intermediate (shrub/tree),195-91,4/1/91,Seed,Prunus spinosa,Pr. spinosa,,,Collected directly from the wild; origin known,,,,"Jean Massart Experimental Garden, B-1160 Bruxelles, Belgium",,,,1990,69,,,,Belgium,"Walloon Brabant, Lasne",,"Ohain, bord de chemin",,,,,,,,,,,49-NE,49,NE,42.29503749,-71.12903166,7/30/15,Fair,,7/30/15,13.4,C,basal,,,,,,,,,4.6
226-94*A,1226-63,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,226-94,4/12/94,Scion,Prunus hortulana,Pr. hortulana,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Highland Park Herbarium, Rochester, NY, United States",,,,,,"Slavin, B. H.",,,United States,"Kansas, Parsons",,,,,,,,,,,,,49-NE,49,NE,42.2949959,-71.12876899,6/1/20,Alive,,7/30/15,30.9,C,basal,,,,,,,,"Dario Chavez and Jose Chaparro, 10 Oct 2012, Prunus hortulana, 3",4.6
262-92*A,262-92,Rosaceae,Prunus,maritima,,Prunus maritima forma flava,Accepted name,Gray Herbarium Card Index no date. Access Via the Internet - Gopher.,,,,Tree,262-92,4/9/92,Scion,Prunus maritima f. flava,Pr. mar. f. flava,forma,flava,Collected directly from the wild; origin known,,,,"Mr. Ken Turkington, Brookline, NH, United States",,,,,,"Turkington, K.",,4/8/92,United States,"MA, Plum Island",,Parker River Nat'l Wildlife Refuge ca. 5 miles S. of entry gate - along road,,,,,,Sand dunes.,,,,,49-NE,49,NE,42.29502882,-71.12880925,7/30/15,Good,,7/30/15,19.9,C,basal,,,,,,,,"Dario Chavez and Jose Chaparro, 10 Oct 2012, Prunus maritima forma flava, 3",4.6
183-2008*B,183-2008,Rosaceae,Prunus,serotina,,Prunus serotina,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Black Cherry,Tree,183-2008,4/15/08,Seed,Prunus serotina,Pr. serotina,,,Collected directly from the wild; origin known,XX,X,SA,"Botanic Garden of Smith College, Northampton, MA, United States",,,,8-Jul,111,,,7/1/07,United States,"Massachusetts, Hampshire Co., Northampton (Lowland)",,,42.317452,-72.644205,42,M,,Disturbed floodplain forest.,,,,,26-SW,26,SW,42.30010424,-71.1233591,2/24/20,Alive,,8/15/17,9.5,C,,,,,,,,,,2.12
568-2008*B,568-2008,Rosaceae,Prunus,virginiana,,Prunus virginiana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Common Chokecherry,Intermediate (shrub/tree),568-2008,10/16/08,Seed,Prunus virginiana,Pr. virginiana,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,28,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",28,10/7/08,United States,"New York, Franklin Co., Paul Smiths",,6. Black Pond near Adirondack Park Visitor Interpretive Center - ca 15.0 m from edge of Black Pond.,44.43245,-74.297033,496,M,10?° N,Roadside edge growing in full sun.,Very sandy.,"Multistemmed shrub, 1.5 m in height and bright red to purple fruit.",,"Abies balsamea, Betula papyrifera, Gaultheria procumbens, Pinus strobus, Prunus virginiana, Spiraea latifolia, Tsuga canadensis, Vaccinium angustifolium, Vaccinium myrtilloides",23-NW,23,NW,42.30174461,-71.11715903,7/16/18,Good,,7/16/18,2.8,C,,,4,M,C,,,,,1.1
613-78*B,613-78,Rosaceae,Prunus,sogdiana,,Prunus sogdiana,Accepted name,"Taylor, G. 1966. Index Kewensis, Supplement 13. Oxford: Clarendon Press. * Czerepanov, S.K. 1973. Svod dopolneniy i izmeneniy k ""Flore SSSR"" (t.1-30). Additions and Changes to the Flora of the USSR (v.1-30). Leningrad, USSR: Nauka. 668 pp.",,,,Tree,613-78,4/7/78,Seed,Prunus sogdiana,Pr. sogdiana,,,Collected directly from the wild; origin known,,,,"Cary Arboretum, Millbrook, NY, United States",,,,,,,,,Kyrgyzstan,Kirghiz Soviet Socialist Republic,Sary Chelec Reserve,Kirgizskiy Range [Khrebet] of the W Tien Shan Mts.,,,1800-1900,M,,,,,,,49-NE,49,NE,42.29528899,-71.12863936,4/10/18,Fair,,4/10/18,,,,,2.5,M,C,,,,,4.8
121-2017*MASS,727-90,Rosaceae,Prunus,pumila,Gus Mehlquist,Prunus pumila var. depressa 'Gus Mehlquist',Accepted name,"2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * 1993. Proceedings of the International Plant Propagators' Society 43.",,Prunus depressa 'Gus Mehlquist',Cultivar of sprawling sand cherry,Shrub,121-2017,4/27/17,Layer,Prunus pumila var. depressa 'Gus Mehlquist',Pr. pum. depr. 'Gus Mehlquist',var.,depressa,From a cultivated plant of known (indirect) wild origin,VO,,V,"Mr. Robert G. Nicholson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Boufford, D., & Nicholson, R.",,5/4/90,United States,"New Hampshire, Cheshire/Walpole",,Shore of Ct. River just below hydroelectric dam.,,,90,M,,Boulder strewn shore of river with mixed scrub and herb cover.,,,Thick taproots; difficult to remove good root mass.,,3-NW,3,NW,42.30728109,-71.12052743,10/15/19,Good,,10/15/19,,,,,0.4,M,,,,,,1.1
208-2013*A,208-2013,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,208-2013,8/30/13,Seed,Prunus hortulana,Pr. hortulana,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States",AMES 32079,,,,,"Carstens, J.",,8/14/13,United States,Missouri,,"Along Old Channel Creek, near Sand Creek Bottom Road, NE 1/4 of SW 1/4 of SE 1/4 of Section 27, Connesville Quad",40.318055,-92.672499,235,M,,,,Fruit diameter ranged between 18 mm and 22 mm. Fruits slightly oblong (2 mm longer than wide). Approximately 20 feet in height and 20 feet in spread. Leaves papery thin to the touch and glabrous.,Abundant fruit production. Fruits mostly green or starting to turn red at time of collection.,"Acer saccharinum, Parthenocissus sp., Solidago sp., Ulmus sp., Vitis riparia",49-SE,49,SE,42.29464569,-71.12917824,6/10/20,Alive,,6/18/19,,,,,1.8,M,C,,,,,4.6
256-2002*A,1729-77,Rosaceae,Prunus,ssiori,,Prunus ssiori,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd.",,,Japanese Bird Cherry,Tree,256-2002,5/10/02,Cutting,Prunus ssiori,Pr. ssiori,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",20,8/5/77,Japan,"Hokkaido Prefecture, Jyozankei",,,,,140,M,,,,,"Collected for SAS and REW for '77 Expedition to Japan and Korea by Samejima, J., prior to trip, given S&W colleciton number.",,26-NW,26,NW,42.30070938,-71.12345133,9/7/17,Fair,,9/7/17,13,C,basal,,,,,,,,,2.1
322-2007*A,322-2007,Rosaceae,Prunus,serotina,,Prunus serotina,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Black Cherry,Tree,322-2007,6/20/07,Seed,Prunus pensylvanica,Pr. serotina,,,Collected directly from the wild; origin known,XX,,U,"Botanic Garden of Smith College, Northampton, MA, United States",,,,7-Jun,87,,,,United States,"Massachusetts, Hampshire Co., Northhampton",,,42.317913,-72.643649,41-52,,,Disturbed conifer/deciduous forest.,,,,,BR-16-SE,BR-16-SE,,42.30220547,-71.11739351,7/9/18,Good,,7/9/18,17.3,C,,,,,,,,,"Dosmann, M., 19 Jun 2012, Prunus serotina, 2",1.8
439-2008*A,439-2008,Rosaceae,Prunus,maritima,,Prunus maritima,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Beach Plum,Shrub,439-2008,9/29/08,Seed,Prunus maritima,Pr. maritima,,,Collected directly from the wild; origin known,XX,X,SA,"Mrs. Irina Kadis, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Kadis, I.",,9/26/08,United States,"Massachusetts, Norfolk Co., Quincy",,Nut Island,,,,,,Ocean beach,,,,,BR-16-NW,BR-16-NW,,42.30269194,-71.11861861,7/10/18,Good,,10/14/14,,,,,1.3,M,C,,,,,1.8
602-2008*B,602-2008,Rosaceae,Prunus,serotina,,Prunus serotina,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Black Cherry,Tree,602-2008,10/16/08,Seed,Prunus serotina,Pr. serotina,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,62,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",62,10/9/08,United States,"New York, Essex Co., Keene Valley",,"24. Noonmark Mountain Trail - Au Sauble River Valley, off of NYS Route 73, in the Keene Valley, above Roaring Brook.",44.149783,-73.767833,383,M,0?°,Growing in full light,Sandy with high organic matter,Tree with single stems. 9.0 m in height with a D.B.H. of 12.7 cm. Dark brown-black textured bark.,,"Acer saccharum, Betula papyrifera, Fraxinus americana, Prunus serotina, Prunus virginiana, Tsuga canadensis, Ulmus americana",26-NW,26,NW,42.3003619,-71.12371523,5/19/20,Good,,8/17/17,5.7,C,,,,,,,,,,2.1
605-2008*A,605-2008,Rosaceae,Prunus,virginiana,,Prunus virginiana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Common Chokecherry,Intermediate (shrub/tree),605-2008,10/16/08,Seed,Prunus virginiana,Pr. virginiana,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,65,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",65,10/9/08,United States,"New York, Essex Co., Keene Valley",,"24. Noonmark Mountain Trail - Au Sauble River Valley, off of NYS Route 73, in the Keene Valley, above Roaring Brook.",44.149566,-73.768433,388,M,0?°,Flood plain. Growing in 0.25 shade.,Sandy with high organic matter.,2-stem tree with break at the base and dull bark. 6.0 m in height with a D.B.H. of 12.7 - 14.0 cm.,,"Acer saccharum, Betula papyrifera, Fraxinus americana, Prunus serotina, Prunus virginiana, Tsuga canadensis, Ulmus americana",23-NW,23,NW,42.30170932,-71.11716299,7/16/18,Good,,7/16/18,44,C,,,5.5,M,C,,,,,1.1
611-2016*C,727-90,Rosaceae,Prunus,pumila,Gus Mehlquist,Prunus pumila var. depressa 'Gus Mehlquist',Accepted name,"2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * 1993. Proceedings of the International Plant Propagators' Society 43.",,Prunus depressa 'Gus Mehlquist',Cultivar of sprawling sand cherry,Shrub,611-2016,6/30/16,Cutting,Prunus pumila var. depressa 'Gus Mehlquist',Pr. pum. depr. 'Gus Mehlquist',var.,depressa,From a cultivated plant of known (indirect) wild origin,VO,,V,"Mr. Robert G. Nicholson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Boufford, D., & Nicholson, R.",,5/4/90,United States,"New Hampshire, Cheshire/Walpole",,Shore of Ct. River just below hydroelectric dam.,,,90,M,,Boulder strewn shore of river with mixed scrub and herb cover.,,,Thick taproots; difficult to remove good root mass.,,WH1-NE,WH1,NE,42.29607063,-71.13354043,4/4/19,Alive,,,,,,,,,,,,,,7.1
81-2008*A,81-2008,Rosaceae,Prunus,serotina,,Prunus serotina,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Black Cherry,Tree,81-2008,3/6/08,Seed,Prunus serotina,Pr. serotina,,,Collected directly from the wild; origin known,XX,X,U,"W. J. Beal Botanical Garden, East Lansing, MI, United States",,,,2008,84,,20070314,8/24/07,United States,"Michigan, Livingston Co.",,North of Howell,42.65,-83.933333,279,M,,Forest edge.,,,,,BR-16-SE,BR-16-SE,,42.30223092,-71.11734414,6/27/18,Good,,6/27/18,12.3,C,,,,,,,,,"Dosmann, M., 19 Jun 2012, Prunus serotina, 2",1.8
1777-77*A,1777-77,Rosaceae,Prunus,grayana,,Prunus grayana,Accepted name,"eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"Gray's Chokecherry, Grays Chokecherry, Japanese Bird Cherry",Tree,1777-77,9/21/77,Seed,Prunus grayana,Pr. grayana,,,Collected directly from the wild; origin known,,,,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S. A. and Weaver, R. E.",177,9/14/77,Japan,Honshu,,Mt. Hakkoda,,,950-1500,M,,,,,,,26-NW,26,NW,42.30038345,-71.12358408,9/7/17,Good,,9/7/17,"18.0, ",C,,,,,,,,,,2.1
1777-77*D,1777-77,Rosaceae,Prunus,grayana,,Prunus grayana,Accepted name,"eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"Gray's Chokecherry, Grays Chokecherry, Japanese Bird Cherry",Tree,1777-77,9/21/77,Seed,Prunus grayana,Pr. grayana,,,Collected directly from the wild; origin known,,,,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S. A. and Weaver, R. E.",177,9/14/77,Japan,Honshu,,Mt. Hakkoda,,,950-1500,M,,,,,,,59-NE,59,NE,42.29266867,-71.12500836,5/28/15,Good,,5/28/15,36,C,,,,,,,,,,4.12
636-87*C,636-87,Rosaceae,Prunus,armeniaca,,Prunus armeniaca,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd.",,,"Apricot, Anzu",Tree,636-87,7/8/87,Seed,Prunus armeniaca,Pr. armen.,,,Collected directly from the wild; origin known,,,,"Mr. Calvin Sperling, Jamaica Plain, MA, United States",,,,,,"Sperling, C.",,,Turkey,Hakkari,,,,,,,,,,,,,53-SE,53,SE,42.29359692,-71.12882566,7/28/15,Good,,7/28/15,19.7,C,at ca. 1.0m,,,,,,,,,4.6
835-2016*A,835-2016,Rosaceae,Prunus,laurocerasus,Chestnut Hill,Prunus laurocerasus 'Chestnut Hill',Accepted name,"United States Patent Office 2014. USPTO Patent Full-Text and Image Database. Plant Patent 24,880 (PP24880) Prunus plant named `Chestnut Hill`. Http://www.Uspto.Gov/patft/index.Html.",,,Cultivar of Cherry Laurel,Shrub,835-2016,11/8/16,Plant,Prunus laurocerasus,Pr. lauroc. 'Chestnut Hill',,,From a cultivated plant of known (indirect) wild origin,,,,"T. Jozsef, Budakeszi, Hungary via Morris Arboretum of the University , Philadelphia, PA, United States",91-105*C (linea,,2009x008,,,"Stoitsev, A.",,9/17/91,Greece,,,Thessaly; Near Larissa,,,150,M,,,Limestone,,,,LG-PER-N,LG-PER-N,,42.30435816,-71.12428128,7/15/19,Good,,8/3/17,,,,,0.8,M,C,,,,,1.13
479-90*B,479-90,Rosaceae,Prunus,speciosa,,Prunus speciosa,Accepted name,"Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,"Prunus serrulata var. lannesiana, Prunus lannesiana var. albida, Prunus serrulata forma albida, Prunus lannesiana var. speciosa",Oriental Cherry,Tree,479-90,5/14/90,Seed,"Prunus lannesiana, Prunus serrulata var. lannesiana",Pr. speciosa,,,Collected directly from the wild; origin known,,,,"University of Tohoku Botanical Gard, Sendai, Japan",,,,1990,367,,,6/10/89,Japan,,,"Miyagi pref., Sendai",,,,,,,,,,,19-SE,19,SE,42.30086987,-71.12410507,10/5/17,Good,,10/3/17,"22.0, ",C,at ca. 1ft,,,,,,,,,2.1
499-66*A,13481,Rosaceae,Prunus,americana,,Prunus americana,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,"Prunus lanata, Prunus americana var. lanata",American Plum,Intermediate (shrub/tree),499-66,3/16/66,Scion,Prunus lanata,Pr. americana,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Dr. Ernest J. Palmer, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Palmer, E. J.",,,United States,"Missouri, Dodson",,,,,,,,,,,,,49-SE,49,SE,42.2944295,-71.12924466,2/25/16,Alive,,7/30/15,33,C,basal,,,,,,,,,4.6
975-82*C,975-82,Rosaceae,Prunus,cerasifera,,Prunus cerasifera,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,Prunus myrobalana,"Cherry Plum, Myrobalan Plum, Variant of Myrobalan Plum",Intermediate (shrub/tree),975-82,8/9/82,Seed,Prunus cerasifera,Pr. cerasif.,,,Collected directly from the wild; origin known,,,,"Botanic Garden of the University of, DK-1353 Copenhagen K, Denmark",,,,,2023,,,7/1/81,Denmark,,,Prambroen,,,,,,,,,,,BR-22-NE,BR-22-NE,,42.30171832,-71.11755311,4/18/18,Fair,,4/18/18,"13.2, ",C,,,,,,,,,,1.8
114-2010*B,114-2010,Rosaceae,Prunus,virginiana,,Prunus virginiana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Common Chokecherry,Intermediate (shrub/tree),114-2010,3/15/10,Seed,Prunus pumila,Pr. virginiana,,,Collected directly from the wild; origin known,XX,X,SA,"Botanic Garden of Smith College, Northampton, MA, United States",,,,10-Sep,87,,,7/1/09,United States,"Michigan, Alpena County",,Rockport Quarry.,45.2,-83.383333,198,M,,Abandoned limestone quarry.,,,,,BR-12,BR-12,,42.30241174,-71.11818001,6/11/18,Good,,6/11/18,1.1,C,,,1.8,M,C,,,,"Kadis, Irina, 15 Sep 2016, Prunus virginiana, 2",1.8
