Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone
439-2008*C,439-2008,Rosaceae,Prunus,maritima,,Prunus maritima,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Beach Plum,Shrub,439-2008,9/29/08,Seed,Prunus maritima,Pr. maritima,,,Collected directly from the wild; origin known,XX,X,SA,"Mrs. Irina Kadis, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Kadis, I.",,9/26/08,United States,"Massachusetts, Norfolk Co., Quincy",,Nut Island,,,,,,Ocean beach,,,,,BR-16,BR-16,,42.30185144,-71.11917281,5/19/20,Good,,5/23/18,,,,,2,M,C,,,,,1.8
209-2013*B,209-2013,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,209-2013,8/30/13,Seed,Prunus hortulana,Pr. hortulana,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States",Ames 32078,,,,,"Carstens, J.",,,United States,Missouri,,"Specimen 1 along South Rangeline Road, SW 1/4 of Section 30; Specimen 2 along State Road H (East Englewood Road), NW 1/4 of SE 1/4 of Section 30; Specimen 3 near State Road H (East Englewood Road), SE 1/4 of NE 1/4 of SE 1/4 of Section 30; Specimen 4 along South Rangeline Road, near airport, NW 1/4 of NW 1/4 of NW 1/4 of Section 30; Millersburg SW Quad, Boone County.",38.823888,-92.203611,267,M,,"Specimen 1 growing roadside, associated with Festuca and Solidago. Specinen 2 growing roadside.",,Specimen 1: fruit diameter ranged between 18 mm and 20 mm; fruits approximately 1 mm wider than long; approximately 10 feet in height and 6 feet in spread; leaves papery thin to the touch and glabrous; purple-copper colored bark with obvious lenticels. Specimen 2: fruit diameter ranged between 19 mm and 22 mm; approximately 15 feet in height and 10 feet in spread; leaves papery thin to the touch a,"Latitude, longitude, and elevation averaged between the four specimens collected. Specimen 1: half ripe, shiny-red fruits (not waxy) and half green fruits; few fruits already on ground; low to moderate fruit production at time of collection. Specimen 2: majority of fruits ripe, shiny-red fruits (not waxy) to dull-red colored fruits; fruits easily fell by disturbing branches; numerous fruits alread","Celtis occidentalis, Juniperus virginiana, Lonicera maackii, Quercus bicolor, Salix sp., Toxicodendron radicans, Ulmus sp., Vitis riparia",22-NE,22,NE,42.30144915,-71.11755387,7/10/18,Good,,7/10/18,4.7,C,basal,,2.1,M,C,,,,,1.1
210-2013*B,210-2013,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,210-2013,8/30/13,Seed,Prunus hortulana,Pr. hortulana,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States",Ames 32077,,,,,"Carstens, J.",,8/14/13,United States,Missouri,,"Property of Prairie Garden Trust (Henry and Lorna Domke), New Bloomfield Quad, northeast of New Bloomfield, Callaway County.",38.741111,-92.031111,235,M,,"Numerous specimens scattered throughout property, but localized/common to small drainage ditches.",,Specimen 1: fruit diameter ranged between 17 mm-20 mm; approximately 20 feet in height and 20 feet in spread; leaves papery thin to the touch and glabrous. Specimen 2: fruit diameter ranged between 15 mm and 17 mm; fruits mostly red. Specimen 3: fruit diameter ranged between 18 mm and 19 mm; fruits mostly red. Specimen 4: fruit diameter ranged between 18 mm and 19 mm; fruits mostly green (a few re,"Latitude and longitude averaged between the six specimens collected. Specimen 1: half ripe, shiny-red fruits (not waxy) and half green fruits; a few fruits already on ground, abundant fruit production at time of collection. Specimen 5: fruits mostly green with a few starting to turn red at time of collection.","Carya ovata, Cornus florida, Diospyros virginiana, Juglans nigra, Juniperus virginiana, Prunus serotina, Quercus imbricaria, Robinia pseudoacacia, Toxicodendron radicans",49-SE,49,SE,42.2945907,-71.12938063,4/1/17,Alive,,7/6/16,,,,,1.4,M,C,,,,,4.6
645-2007*A,645-2007,Rosaceae,Prunus,spinosa,,Prunus spinosa,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Davis, P.H. 1972. Flora of Turkey and East Aegean islands. Rosaceae to Dipsacaceae. Volume 4. 657 pp. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,Prunus kurdica,"Blackthorn, Sloe",Intermediate (shrub/tree),645-2007,12/14/07,Seed,Prunus spinosa,Pr. spinosa,,,Collected directly from the wild; origin known,XX,,U,"National Botanic Gardens, Glasnevin, Dublin 9, Ireland",,,,2007,33,,,9/7/06,Ireland,,,"Roadside hedge along shore of Lough Levally, Upper Massbrook, Co. Clare.",,,30,M,,,,,Grid Ref.: G 1479 0412 (This refers to the Irish National Grid).,,BR-16-SE,BR-16-SE,,42.30205631,-71.11743315,7/2/19,Poor,,7/9/18,7.2,C,basal,,2.3,M,C,,,,,1.8
107-78*A,107-78,Rosaceae,Prunus,nigra,,Prunus nigra,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Canada Plum, Canadian Plum",Intermediate (shrub/tree),107-78,3/7/78,Seed,Prunus nigra,Pr. nigra,,,Collected directly from the wild; origin known,,,,"Research Station, Morden, Manitoba, Canada",,,,,,,,,Canada,,,,,,,,,native stations,,,,,49-SE,49,SE,42.29454078,-71.12949768,7/30/15,Good,,7/30/15,8.6,C,Basal,,,,,,,,"Dario Chavez and Jose Chaparro, 10 Oct 2012, Prunus nigra, 3",4.6
1729-77*A,1729-77,Rosaceae,Prunus,ssiori,,Prunus ssiori,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd.",,,Japanese Bird Cherry,Tree,1729-77,9/12/77,Seed,Prunus ssiori,Pr. ssiori,,,Collected directly from the wild; origin known,XX,X,SA,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",20,8/5/77,Japan,"Hokkaido Prefecture, Jyozankei",,,,,140,M,,,,,"Collected for SAS and REW for '77 Expedition to Japan and Korea by Samejima, J., prior to trip, given S&W colleciton number.",,19-NE,19,NE,42.30166768,-71.12474788,12/18/19,Alive,,10/5/17,16.8,C,,,,,,,,,"Spongberg, S., 06 Jun 1991, Prunus ssiori, 2; Jinshuang Ma, 31 Jul 1996, Prunus ssiori, 2",2.7
301-94*A,301-94,Rosaceae,Prunus,mahaleb,,Prunus mahaleb,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,St. Lucie Cherry,Intermediate (shrub/tree),301-94,5/5/94,Seed,Prunus mahaleb,Pr. mahaleb,,,Collected directly from the wild; origin known,,,,"Istituto ed Orto Botanico ""Hanbury"", I-16136 Genova, Italy",,,,1994,,"Dr. Luigi Aita, et al.",,7/5/93,Italy,Savona,,"Liguria, Georges de Saorge",,,400,M,,,,,,,56-SW,56,SW,42.29315002,-71.12395437,7/9/15,Good,,7/9/15,31.3,C,,,,,,,,,,4.12
355-94*A,355-94,Rosaceae,Prunus,mahaleb,,Prunus mahaleb,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,St. Lucie Cherry,Intermediate (shrub/tree),355-94,5/19/94,Seed,Prunus mahaleb,Pr. mahaleb,,,Collected directly from the wild; origin known,,,,"Jardin Botanique de la Ville, 21033 Dijon - Mairie, France",,,,1994,2873,,,,France,"Bourgogne, Cote-d'Or, Talant",,(Talant Department),,,,,,,,,,,59-NE,59,NE,42.29303425,-71.12410558,7/9/15,Alive,,5/28/15,20.9,C,at ca. 0.1m,,,,,,,,,4.12
667-97*A,667-97,Rosaceae,Prunus,salicina,,Prunus salicina,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd. * 2003. Flora of China. Volume 9, Pittosporaceae through Connaraceae. St. Louis: Missouri Bot. Garden. 1-496 pp.",,Prunus triflora,Japanese Plum,Tree,667-97,12/15/97,Seed,Prunus thibetica,Pr. salicina,,,Collected directly from the wild; origin known,,,,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,Spongberg & Bell,251,9/21/97,China,Sichuan Province,,Longzhou Shan,,,10800,FT,,,,,,,49-NE,49,NE,42.29531095,-71.12845454,7/30/15,Good,,7/30/15,17.1,C,basal,,,,,,,,"Michael Dosmann, 18 Feb 2008, Prunus salicina, 2",4.8
479-90*A,479-90,Rosaceae,Prunus,speciosa,,Prunus speciosa,Accepted name,"Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,"Prunus serrulata var. lannesiana, Prunus lannesiana var. albida, Prunus serrulata forma albida, Prunus lannesiana var. speciosa",Oriental Cherry,Tree,479-90,5/14/90,Seed,"Prunus lannesiana, Prunus serrulata var. lannesiana",Pr. speciosa,,,Collected directly from the wild; origin known,,,,"University of Tohoku Botanical Gard, Sendai, Japan",,,,1990,367,,,6/10/89,Japan,,,"Miyagi pref., Sendai",,,,,,,,,,,19-SE,19,SE,42.30091141,-71.12414135,10/5/17,Fair,,10/3/17,,,,,1.5,M,C,,,,,2.1
