"specificEpithet","n","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",200,9176923,"LSU",1978,9,7,"1978-09-07","Louisiana","winn","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176923",-92.6347222194446,31.946807978739,"county_centroid"
"mexicana",200,16920052,"NCU",NA,NA,NA,"","Louisiana","claiborne","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920052",-92.995141578664,32.8254574917373,"county_centroid"
"mexicana",200,16572947,"VDB",NA,NA,NA,"","Kansas","bourbon","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16572947",-94.8595888762609,37.8548709964783,"county_centroid"
"mexicana",200,5668027,"LSU",1935,7,18,"1935-07-18","Louisiana","evangeline","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668027",-92.404514786544,30.7335604553653,"county_centroid"
"mexicana",200,12877156,"UARK",NA,NA,NA,"","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877156",-93.6583185509703,34.5477290251178,"county_centroid"
"mexicana",200,12877064,"UARK",NA,NA,NA,"","Arkansas","crawford","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877064",-94.2517575424175,35.584397199214,"county_centroid"
"mexicana",200,19212167,"UCHT",NA,NA,NA,"","Louisiana","caddo","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212167",-93.8884327797248,32.5912473883289,"county_centroid"
"mexicana",200,22723098,"KANU",2014,7,27,"2014-07-27","Kansas","Douglas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22723098",-95.15432,38.8025,"geo_referenced"
"mexicana",200,5668029,"LSU",1977,7,9,"1977-07-09","Louisiana","rapides","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668029",-92.5301100720082,31.2051079744881,"county_centroid"
"mexicana",200,20807966,"UCHT",NA,NA,NA,"","Texas","austin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20807966",-96.2806889668501,29.8902364526,"county_centroid"
"mexicana",200,12877065,"UARK",2003,7,22,"2003-07-22","Arkansas","cross","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877065",-90.7755108090697,35.2891573445256,"county_centroid"
"mexicana",200,15369609,"NCU",1937,8,30,"1937-08-30","North Carolina","orange","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369609",-79.1273705014159,36.0547802778376,"county_centroid"
"mexicana",200,22620183,"KANU",1965,4,17,"1965-04-17","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620183",-95.24192,38.30957,"geo_referenced"
"mexicana",200,12509353,"WCUH",NA,NA,NA,"","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12509353",-92.1593802032179,32.4833014034865,"county_centroid"
"mexicana",200,5465876,"EKY",2003,4,15,"2003-04-15","Kentucky","owen","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",-84.8205977147272,38.5073583037245,"county_centroid"
"mexicana",200,22620195,"KANU",1969,4,21,"1969-04-21","Kansas","Wilson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620195",-95.73477,37.41832,"geo_referenced"
"mexicana",200,12876989,"UARK",1978,10,21,"1978-10-21","Arkansas","arkansas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876989",-91.3733486189687,34.2966905705236,"county_centroid"
"mexicana",200,6345103,"MMNS",1985,3,16,"1985-03-16","Mississippi","Winston","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6345103",-88.8544,33.0961,"geo_referenced"
"mexicana",200,10246807,"APCR",NA,NA,NA,"","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246807",-93.0333960172532,35.4408190819314,"county_centroid"
"mexicana",200,13497872,"TEX",1940,3,7,"1940-03-07","Texas","harris","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497872",-95.4010569977123,29.8721701516355,"county_centroid"
"mexicana",200,21268918,"UAM",1993,3,29,"1993-03-29","Arkansas","faulkner","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268918",-92.3309435175229,35.1422425344511,"county_centroid"
"mexicana",200,16573966,"VDB",NA,NA,NA,"","Arkansas","sevier","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16573966",-94.2527073812027,34.000887456855,"county_centroid"
"mexicana",200,5894932,"MISS",1966,6,21,"1966-06-21","Mississippi","tippah","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894932",-88.910845513357,34.768664359124,"county_centroid"
"mexicana",200,12911154,"UARK",1924,5,24,"1924-05-24","Arkansas","Phillips","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911154",-90.621223,34.587086,"geo_referenced"
"mexicana",200,12877017,"UARK",1929,5,24,"1929-05-24","Arkansas","benton","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877017",-94.264025994959,36.3416775500572,"county_centroid"
"mexicana",200,12877089,"UARK",NA,NA,NA,"","Arkansas","garland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877089",-93.1444441239254,34.5764415853217,"county_centroid"
"mexicana",200,3077568,"DES",1971,2,28,"1971-02-28","Louisiana","Ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3077568",-91.985,32.56861,"geo_referenced"
"mexicana",200,16080409,"FLAS",2012,6,23,"2012-06-23","Arkansas","Pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080409",-93.1632,35.3014667,"geo_referenced"
"mexicana",200,13626270,"TEX",2004,4,19,"2004-04-19","TEXAS","Bell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13626270",-97.558333,31.182778,"geo_referenced"
"mexicana",200,11535439,"LSU",1987,3,12,"1987-03-12","Arkansas","drew","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439",-91.7233153302248,33.5863951559028,"county_centroid"
"mexicana",200,10246788,"APCR",NA,NA,NA,"","Arkansas","garland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246788",-93.1444441239254,34.5764415853217,"county_centroid"
"mexicana",200,19446377,"BEREA",NA,NA,NA,"","Louisiana","caddo","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377",-93.8884327797248,32.5912473883289,"county_centroid"
"mexicana",200,21267345,"UAM",1983,11,28,"1983-11-28","Louisiana","red river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21267345",-93.3387834620907,32.0992281033093,"county_centroid"
"mexicana",200,9176992,"LSU",NA,NA,NA,"","Louisiana","red river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176992",-93.3387834620907,32.0992281033093,"county_centroid"
"mexicana",200,12911155,"UARK",NA,NA,NA,"","Arkansas","polk","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911155",-94.2378527190756,34.4970142946061,"county_centroid"
"mexicana",200,21204454,"APSC",NA,NA,NA,"","Mississippi","monroe","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21204454",-88.4765644033536,33.8897415464654,"county_centroid"
"mexicana",200,10246804,"APCR",NA,NA,NA,"","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246804",-93.0333960172532,35.4408190819314,"county_centroid"
"mexicana",200,25174217,"SAT",2008,3,30,"2008-03-30","Texas","mcculloch","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25174217",-99.3657639424109,31.2021066181743,"county_centroid"
"mexicana",200,16920067,"NCU",NA,NA,NA,"","Louisiana","winn","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920067",-92.6347222194446,31.946807978739,"county_centroid"
"mexicana",200,21268914,"UAM",1990,3,20,"1990-03-20","Arkansas","lincoln","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268914",-91.7260978082412,33.9634447417876,"county_centroid"
