"","species","petal_low","petal_high","color","color_2","inflor_low","inflor_high","pedicel_low","pedicel_high","inflor_type","midrib_low","midrib_high","fruit_low","fruit_high","FLS","FLORA","chin_class","meanpdsi","sdmean","minpdsi","sdmin","FLSnum","meanpdsi.z","minpdsi.z","petal.z","inflor.z","fruit.z","logFLS"
"22","lusitanica",4,7,"white","",18,100,7,22,"raceme",100,280,8,12,"after","FNA","racemose",-0.183917237911373,0.272453351919608,-7.70500016212463,1.50613786202408,4,-0.462994581529971,-1.94523879740347,-0.421563793993789,3.81214460575533,-0.686747180457205,1.38629436111989
"23","mahaleb",6,7,"white","",4,10,6,18,"corymb",8,40,6,10,"with","FNA","corymbose",-0.102371955194565,0.215412720863064,-6.4595847641308,1.42124692859766,3,0.0481087710881452,-0.187480445205389,-0.421563793993789,-0.134546280203129,-0.821945730524842,1.09861228866811
"24","maritima",3,8,"white","",2,4,5,15,"umbellate_fasicle",NA,NA,11,18,"before","FNA","solitary",0.0256869665372211,0.0483722626701042,-6.5181081230576,0.682177025646426,1,0.850746790715566,-0.270079329977468,-0.216604601333825,-0.397659005933693,-0.281151530254292,0
"25","mexicana",5,10,"white","pink",2,5,4,20,"umbellate_fasicle",NA,NA,15,30,"before","FNA","solitary",-0.294554966620772,0.247598188856578,-5.80942712863385,0.970042626076039,1,-1.15644136576402,0.730141109724005,0.193313783986102,-0.353806884978599,0.530039770151534,0
"26","minutiflora",2,3.5,"white","",1,1,0,2,"solitary",NA,NA,9,12,"with","FNA","solitary",0.11836707615604,0.052928782547799,-6.27013333638509,0.792911963976438,3,1.4316401688365,0.0799081144609655,-1.13892096830366,-0.529215368798976,-0.686747180457205,1.09861228866811
"27","murrayana",4,8,"white","",1,4,4,14,"umbellate_fasicle",NA,NA,10,18,"with","FNA","solitary",0.28769850730896,NA,-5.57999992370605,NA,3,2.49296289999238,1.05395080914872,-0.216604601333825,-0.397659005933693,-0.281151530254292,1.09861228866811
"28","myrtifolia",1.5,1.5,"white","",12,30,2,6,"raceme",11,50,8,12,"before","FNA","racemose",-0.197399807162583,0.109406399033136,-7.0100000500679,0.827502220419749,1,-0.547499608879379,-0.964327325043168,-1.54883935362359,0.742496138898751,-0.686747180457205,0
"29","nigra",8,13,"white","pink",2,4,7,20,"umbellate_fasicle",NA,NA,15,30,"before/with","FNA","solitary",-0.130209983605999,0.170175992976277,-6.32534561948293,1.32260895302965,2,-0.126372316932282,0.00198242644114422,0.808191361965994,-0.397659005933693,0.530039770151534,0.693147180559945
"30","padus",5,9,"white","",15,50,3,17,"raceme",45,150,6,8,"after","FNA","racemose",-0.00383809294019427,0.126503889916841,-6.14199993269784,0.971284243880112,4,0.665691857034579,0.260753445978175,-0.0116454086738615,1.61953855800063,-0.95714428059248,1.38629436111989
"31","pensylvanica",4,7,"white","",2,8,8,30,"umbellate_fasicle/corymb",0,24,6,10,"with","FNA","corymbose",-0.0832087787192378,0.211217812408154,-6.37142268509457,1.80960645037443,3,0.168218278554893,-0.063049969219056,-0.421563793993789,-0.222250522113317,-0.821945730524842,1.09861228866811
"32","persica",10,17,"dark_pink","",1,2,0,3,"fasicle",NA,NA,40,80,"before","FNA","solitary",-0.205293173789901,0.213010775338323,-5.66625379693085,1.27115975895579,1,-0.596973054948318,0.932213542759905,1.62802813260585,-0.485363247843882,3.91000352184247,0
"33","pumila",3,9,"white","",2,5,3,19,"umbellate_fasicle",NA,NA,6,12,"before","FNA","solitary",-0.140891319594561,0.211116531828295,-6.30145160998068,1.33193484903878,1,-0.193319986402678,0.0357060296965239,-0.0116454086738615,-0.353806884978599,-0.686747180457205,0
"34","rivularis",4,7,"white","",2,4,3,15,"umbellate_fasicle",NA,NA,12,25,"before/with","FNA","solitary",0.101851085917848,0.219301133744574,-6.37735845637771,1.20481128027332,2,1.32812249495874,-0.0714276170034747,-0.421563793993789,-0.397659005933693,0.19204339498244,0.693147180559945
"35","serotina",2,4,"white","",18,90,1,10,"raceme",25,160,5,25,"after","FNA","racemose",-0.207596537100043,0.233423345250983,-5.73763319611247,1.26457212669155,4,-0.611409901211998,0.831469858934824,-1.03644137197368,3.37362339620439,0.19204339498244,1.38629436111989
"36","speciosa",8,18,"white","pink",2,6,10,40,"corymb",5,60,10,13,"with","FNA","solitary",NA,NA,NA,NA,3,NA,NA,1.83298732526581,-0.309954764023505,-0.619147905423386,1.09861228866811
"37","spinosa",4,8,"white","",1,2,0.5,8,"fasicle",NA,NA,10,15,"before","FNA","solitary",-0.0712047568796312,0.215310562645924,-6.70176466773538,1.76230760140297,1,0.243456178317051,-0.529289089117455,-0.216604601333825,-0.485363247843882,-0.483949355355748,0
"38","subcordata",5,10,"white","",2,5,5,15,"umbellate_fasicle",NA,NA,15,25,"with","FNA","solitary",-0.110699304686083,0.147552556847589,-7.16366661389669,0.991875583159911,3,-0.00408475993827012,-1.18120972946721,0.193313783986102,-0.353806884978599,0.19204339498244,1.09861228866811
"39","subhirtella",8,12,"pink","",2,5,8,22,"umbellate_fasicle",NA,NA,8,8,"before","FNA","solitary",-0.210096740259734,0.17353078124271,-5.3150000537143,1.52216015222907,1,-0.627080485390147,1.4279671699226,0.60323216930603,-0.353806884978599,-0.95714428059248,0
"40","texana",3,5,"white","",1,2,1,5,"fasicle",NA,NA,8,15,"before/with","FNA","solitary",0.0507961640026993,0.0649751434967563,-6.61435901201688,0.578190479844618,2,1.00812431861898,-0.405926216283197,-0.831482179313717,-0.485363247843882,-0.483949355355748,0.693147180559945
"41","tomentosa",9,13,"white","pink",1,2,0,5,"fasicle",NA,NA,8,15,"before/with","FNA","solitary",-0.124819096890004,0.226477533432342,-6.61294116693384,1.16850991969188,2,-0.0925837250930959,-0.403925093572777,0.808191361965994,-0.485363247843882,-0.483949355355748,0.693147180559945
"42","umbellata",3,8,"white","pink",2,6,5,22,"umbellate_fasicle",NA,NA,10,15,"before/with","FNA","solitary",-0.428806754070875,0.161177561845876,-5.45016420126831,0.787970476276858,2,-1.99789456053698,1.23719876472743,-0.216604601333825,-0.309954764023505,-0.483949355355748,0.693147180559945
"43","virginiana",2,7,"white","",18,64,2,16,"raceme",18,130,6,14,"after","FNA","racemose",-0.0607055431103843,0.205083431210851,-6.45249060427764,1.537772780126,4,0.309262355922102,-0.177467867270508,-0.421563793993789,2.23346825137195,-0.551548630389567,1.38629436111989
"44","yedoensis",13,15,"white","pink",2,6,15,25,"corymb",4,20,7,12,"before","FNA","corymbose",-0.18933710642159,0.225928240231741,-6.16666658719381,1.88476833804783,1,-0.496964823265978,0.225939344569993,1.21810974728592,-0.309954764023505,-0.686747180457205,0
