"","specificEpithet","id","references","fruit_type","obs_number","fruit_diam_mm","who_done_it","note","certain"
"51","mexicana",12508922,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508926","fleshy",5,16.021,"SC","",""
"52","mexicana",11405926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405926","dried",1,17.901,"SC","or fleshy?","U"
"53","mexicana",11405926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405927","dried",2,18.129,"SC","","U"
"54","mexicana",11535437,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535437","dried",1,14.533,"SC","",""
"55","mexicana",11535437,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535438","dried",2,16.394,"SC","",""
"56","mexicana",11535437,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439","dried",3,15.263,"SC","",""
"57","mexicana",11535437,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535440","dried",4,14.38,"SC","",""
"58","mexicana",12877133,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877133","fleshy",1,17.019,"SC","",""
"59","mexicana",6344507,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6344507","fleshy",1,15.482,"SC","",""
"60","mexicana",11406031,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11406031","fleshy",1,14.714,"SC","",""
"61","americana",7444158,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444158","dried",1,9.416,"SC","",""
"62","americana",7444158,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444159","dried",2,10.273,"SC","",""
"63","americana",7444158,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444160","dried",3,8.484,"SC","",""
"64","americana",7444158,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444161","dried",4,7.941,"SC","",""
"65","americana",14635065,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635065","fleshy",1,17.028,"SC","",""
"66","americana",14635065,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635066","fleshy",2,16.667,"SC","",""
"67","americana",24925381,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24925381","fleshy",1,12.89,"SC","possibly a pit??","U"
"68","americana",5734176,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734176","fleshy",1,12.959,"SC","","U"
"69","americana",5734176,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734177","fleshy",2,14.334,"SC","",""
"70","americana",13793789,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13793789","fleshy",1,31.475,"SC","",""
"71","americana",19700969,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19700969","fleshy",1,20.254,"SC","",""
"72","americana",13273676,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273676","dried",1,12.04,"SC","",""
"73","americana",24685186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24685186","pit",1,4.353,"SC","or fleshy? at the beginning of fruiting","U"
