,id,type,modified,language,license,rightsHolder,accessRights,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,sex,reproductiveCondition,occurrenceStatus,preparations,disposition,otherCatalogNumbers,associatedMedia,samplingProtocol,eventDate,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,higherGeography,continent,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,typeStatus,scientificName,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
13,7458078f-d4e8-496f-a6f6-8419b2452870,http://purl.org/dc/dcmitype/PhysicalObject,21:42.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/7458078f-d4e8-496f-a6f6-8419b2452870/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",7458078f-d4e8-496f-a6f6-8419b2452870,barcode-01722684,NA,3319,P. L. Ricker,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,3/26/10,NA,NA,1910,3,26,,,3319,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,San Antonio,Breckenridge Park,Breckenridge Park,,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
14,b05182ff-7368-40a9-a666-5f8f66597788,http://purl.org/dc/dcmitype/PhysicalObject,21:33.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/b05182ff-7368-40a9-a666-5f8f66597788/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",b05182ff-7368-40a9-a666-5f8f66597788,barcode-01722685,NA,9260,E. J. Palmer,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,3/25/16,NA,NA,1916,3,25,,Rocky river banks,9260,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,,San Antonio,San Antonio,,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
15,50d84faf-4fb0-419c-a11c-f334df1690f3,http://purl.org/dc/dcmitype/PhysicalObject,22:55.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/50d84faf-4fb0-419c-a11c-f334df1690f3/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",50d84faf-4fb0-419c-a11c-f334df1690f3,barcode-01722686,NA,223,S. H. Hastings,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,2/23/11,NA,NA,1911,2,23,,,223,North America;United States of America;Texas;Bexar County;,North America,NA,NA,United States of America,US,Texas,Bexar County,San Antonio,[no additional data],[no additional data],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
16,cd4e4453-d9a1-4c97-9310-657fdb7e236b,http://purl.org/dc/dcmitype/PhysicalObject,41:38.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/cd4e4453-d9a1-4c97-9310-657fdb7e236b/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",cd4e4453-d9a1-4c97-9310-657fdb7e236b,barcode-01722758,NA,4990,E. J. Palmer,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,3/22/14,NA,NA,1914,3,22,,Low woods,4990,North America;United States of America;Texas;Brazoria County;,North America,NA,NA,United States of America,US,Texas,Brazoria County,Columbia,Brazos River,Brazos River,,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
17,cefd03d2-0f02-4c65-b16b-b987eb78e4aa,http://purl.org/dc/dcmitype/PhysicalObject,20:40.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/cefd03d2-0f02-4c65-b16b-b987eb78e4aa/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",cefd03d2-0f02-4c65-b16b-b987eb78e4aa,barcode-01722591,NA,,R. G. Reeves,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,4/12/40,NA,NA,1940,4,12,,,,North America;United States of America;Texas;Brazos County;,North America,NA,NA,United States of America,US,Texas,Brazos County,,"North Oakwood, College Station","North Oakwood, College Station",,NA,NA,,NA,NA,,NA,,1940,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
18,f9232b54-0100-496d-a004-56f09c863bbe,http://purl.org/dc/dcmitype/PhysicalObject,01:08.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/f9232b54-0100-496d-a004-56f09c863bbe/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",f9232b54-0100-496d-a004-56f09c863bbe,barcode-01722741,NA,10374,E. J. Palmer,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,7/5/16,NA,NA,1916,7,5,,"Woods, along small streams",10374,North America;United States of America;Texas;Brown County;,North America,NA,NA,United States of America,US,Texas,Brown County,,Brownwood,Brownwood,,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
19,05f808ed-c81e-4e21-9d19-4fcb7241371b,http://purl.org/dc/dcmitype/PhysicalObject,02:14.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/05f808ed-c81e-4e21-9d19-4fcb7241371b/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",05f808ed-c81e-4e21-9d19-4fcb7241371b,barcode-01722745,NA,29534,E. J. Palmer,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,11/1/25,NA,NA,1925,11,1,,Rocky ground along small creek,29534,North America;United States of America;Texas;Brown County;,North America,NA,NA,United States of America,US,Texas,Brown County,,Near Brownwood,Near Brownwood,,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
20,cf4590d4-2a59-4ca6-8df6-384083a3329a,http://purl.org/dc/dcmitype/PhysicalObject,08:34.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/cf4590d4-2a59-4ca6-8df6-384083a3329a/image,urn:lsid:biocol.org:col:15406,urn:lsid:biocol.org:col:15406,NA,A,A,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",cf4590d4-2a59-4ca6-8df6-384083a3329a,barcode-01722513,NA,,[data not captured],undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,,NA,NA,NA,NA,NA,,,,North America;United States of America;Missouri;Butler County;,North America,NA,NA,United States of America,US,Missouri,Butler County,,[data not captured],[data not captured],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
21,91efdf94-bd12-4b2c-b12d-8d267d1c177b,http://purl.org/dc/dcmitype/PhysicalObject,01:31.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/91efdf94-bd12-4b2c-b12d-8d267d1c177b/image,urn:lsid:biocol.org:col:15631,urn:lsid:biocol.org:col:15631,NA,GH,GH,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",91efdf94-bd12-4b2c-b12d-8d267d1c177b,barcode-01722506,NA,,[data not captured],undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,,NA,NA,NA,NA,NA,,,,North America;United States of America;Louisiana;Caldwell County;,North America,NA,NA,United States of America,US,Louisiana,Caldwell County,,[data not captured],[data not captured],,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
22,a98733a6-b2ef-4cd8-89bf-9ecaa92d5429,http://purl.org/dc/dcmitype/PhysicalObject,22:32.0,en,https://huh.harvard.edu/pages/use,President and Fellows of Harvard College,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,http://data.huh.harvard.edu/a98733a6-b2ef-4cd8-89bf-9ecaa92d5429/image,urn:lsid:biocol.org:col:15631,urn:lsid:biocol.org:col:15631,NA,GH,GH,Harvard University Herbaria: All Records,PreservedSpecimen,NA,NA,"{huh_taxonomic_group: Vascular, huh_project_id: 7, huh_project_name: US and Canada - Mass Digitization}",a98733a6-b2ef-4cd8-89bf-9ecaa92d5429,barcode-01722558,NA,3948,E. L. Little,undetermined,NotDetermined,present,Sheet,in collection,,[see Simple Media extension],NA,9/26/36,NA,NA,1936,9,26,,,3948,North America;United States of America;Oklahoma;Canadian County;,North America,NA,NA,United States of America,US,Oklahoma,Canadian County,,Devil's Canyon,Devil's Canyon,,NA,NA,,NA,NA,,NA,,,,,NA,,Prunus mexicana S. Watson,Rosaceae,Prunus,mexicana,,S. Watson
