"Family","Genus","Species","Pollination","Phen.sequence","heigh_height","flower_class","flo_time","av_fruit_time","shade_tol","name","pro","pro2","pol","class","class2","flo_type","shade_bin","fruit_bin"
"Salicaceae","Salix","fragilis","ambo","syn",25,"dioecious",4.5,5.5,"intolerant","Salix_fragilis",0,1,0,"2talltree",1,1,0,0
"Salicaceae","Salix","alba","ambo","syn",25,"dioecious",4.5,5.5,"intolerant","Salix_alba",0,1,0,"2talltree",1,1,0,0
"Salicaceae","Salix","lucida","ambo","syn",6,"dioecious",5.5,6.5,"intolerant","Salix_lucida",0,1,0,"0shrub",0,1,0,0
"Salicaceae","Salix","discolor","ambo","pro",3,"dioecious",3.5,5.5,"intolerant","Salix_discolor",1,1,0,"0shrub",0,1,0,0
"Salicaceae","Salix","amygdaloides","ambo","syn",12,"dioecious",4,5,"intolerant","Salix_amygdaloides",0,1,0,"1smalltree",0,1,0,0
"Salicaceae","Salix","interior","ambo","syn",4,"dioecious",4.5,6,"intolerant","Salix_interior",0,1,0,"0shrub",0,1,0,0
"Salicaceae","Salix","eriocephala","ambo","pro/syn",6,"dioecious",4.5,5.5,"intolerant","Salix_eriocephala",1,1,0,"0shrub",0,1,0,0
"Salicaceae","Salix","cordata","ambo","pro/syn",3,"dioecious",5.5,6.5,"intolerant","Salix_cordata",1,1,0,"0shrub",0,1,0,0
"Salicaceae","Salix","bebbiana","ambo","pro/syn",4,"dioecious",4.5,5.5,"intolerant","Salix_bebbiana",1,1,0,"0shrub",0,1,0,0
"Fagaceae","Fagus","grandifolia","wind","syn",28,"monoecious",4.5,9.5,"tolerant","Fagus_grandifolia",0,1,1,"2talltree",1,1,1,1
"Fagaceae","Castanea","dentata","ambo","ser",30,"monoecious",6.5,9.5,"intolerant","Castanea_dentata",0,0,0,"2talltree",1,1,0,1
"Fagaceae","Quercus","ellipsoidalis","wind","syn",18,"monoecious",5,19,"intolerant","Quercus_ellipsoidalis",0,1,1,"1smalltree",1,1,0,1
"Fagaceae","Quercus","coccinea","wind","syn",21,"monoecious",5,19,"intolerant","Quercus_coccinea",0,1,1,"2talltree",1,1,0,1
"Fagaceae","Quercus","prinoides","wind","syn",4,"monoecious",5,19,"intolerant","Quercus_prinoides",0,1,1,"0shrub",0,1,0,1
"Fagaceae","Quercus","muehlenbergii","wind","syn",25,"monoecious",5.5,9.5,"moderately_tolerant","Quercus_muehlenbergii",0,1,1,"2talltree",1,1,1,1
"Fagaceae","Quercus","imbricaria","wind","syn",21,"monoecious",5,19,"intolerant","Quercus_imbricaria",0,1,1,"2talltree",1,1,0,1
"Fagaceae","Quercus","shumardii","wind","syn",28,"monoecious",5.5,19,"intolerant","Quercus_shumardii",0,1,1,"2talltree",1,1,0,1
"Fagaceae","Quercus","palustris","wind","syn",20,"monoecious",5,19,"intolerant","Quercus_palustris",0,1,1,"2talltree",1,1,0,1
"Fagaceae","Quercus","velutina","wind","syn",24,"monoecious",5,19,"intolerant","Quercus_velutina",0,1,1,"2talltree",1,1,0,1
"Fagaceae","Quercus","rubra","wind","syn",28,"monoecious",5.5,19,"moderately_tolerant","Quercus_rubra",0,1,1,"2talltree",1,1,1,1
"Fagaceae","Quercus","bicolor","wind","syn",24,"monoecious",5.5,9.5,"moderately_tolerant","Quercus_bicolor",0,1,1,"2talltree",1,1,1,1
"Fagaceae","Quercus","macrocarpa","wind","syn",26,"monoecious",5.5,9.5,"moderately_tolerant","Quercus_macrocarpa",0,1,1,"2talltree",1,1,1,1
"Fagaceae","Quercus","alba","wind","syn",28,"monoecious",5.5,9.5,"moderately_tolerant","Quercus_alba",0,1,1,"2talltree",1,1,1,1
"Myricaceae","Comptonia","peregrina","wind","pro",1,"monoecious",4.5,7.5,"intolerant","Comptonia_peregrina",1,1,1,"0shrub",0,1,0,0
