familu,genus,species,mich_pollin,mich_phen_seq,silvics_pollin,silvic_phen_seq,flower_class,high_height,notes,Proteranthous
Salicaceae,Populus,trichocarpa,NA,NA,NA,NA,dio,,,NA
Rosaceae,Prunus,nigra,insect,pro,NA,NA,,,,1
Rosaceae,Prunus,pensylvanica,insect,syn,NA,syn,perfect,,,0
Rosaceae,Prunus,serotina,insect,syn,insect,syn,perfect,,,0
Rosaceae,Prunus,virginiana,insect,syn/ser,NA,NA,,,,0
Rosaceae,Prunus,avium,insect,pro,NA,NA,,,,1
Fagaceae,Quercus,alba,wind,syn,wind,syn,mono,,,0
Fagaceae,Quercus,bicolor,wind,syn,wind,syn,mono,,,0
Fagaceae,Quercus,chrysolepis,NA,NA,wind,NA,mono,,,NA
Fagaceae,Quercus,macrocarpa,wind,syn,wind,ser,mono,,,0
Fagaceae,Quercus,prinoides,wind,syn,NA,NA,,,,0
Fagaceae,Quercus,rubra,wind,syn,wind,pro/syn,mono,,,1
Fagaceae,Quercus,shumardii,wind,syn,wind,NA,mono,,,0
Fagaceae,Quercus,velutina,wind,syn,wind,pro/syn,mono,,,1
Fagaceae,Quercus,coccinea,wind,syn,wind,NA,mono,,,0
Fagaceae,Quercus,ellipsoidalis,wind,syn,NA,NA,,,,0
Fagaceae,Quercus,palustris,wind,syn,wind,syn,mono,,,0
Fagaceae,Quercus,imbricaria,wind,syn,,,,,,0
Fagaceae,Quercus,douglasii,NA,NA,wind,NA,mono,,,NA
Fagaceae,Quercus,muehlenbergii,wind,syn,wind,NA,mono,,,0
Fagaceae,Quercus,falcata,NA,NA,wind,NA,mono,,,NA
Fagaceae,Quercus,garryana,NA,NA,wind,syn,mono,,,0
Fagaceae,Quercus,kelloggii,NA,NA,wind,NA,mono,,,NA
Fagaceae,Quercus,laevis,NA,NA,wind,NA,mono,,,NA
Fagaceae,Quercus,laurifolia,NA,NA,wind,pro?,mono,,"Flowering occurs in February and March, about the time the last of the previous year's leaves are shed",1
Fagaceae,Quercus,lyrata,NA,NA,wind,syn,mono,,,0
Fagaceae,Quercus,michauxii,NA,NA,wind,syn,mono,,,0
Fagaceae,Quercus,nigra,NA,NA,wind,pro/syn,mono,,,1
Fagaceae,Quercus,nuttallii,NA,NA,wind,syn,mono,,,0
Fagaceae,Quercus,phellos,NA,NA,wind,pro,mono,,,1
Fagaceae,Quercus,stellata,NA,NA,wind,syn,mono,,,0
Fagaceae,Quercus,prinus,NA,NA,wind,syn,mono,,,0
Rhamnaceae,Rhamnus,cathartica,insect,syn,NA,NA,,,,0
Anacardiaceae,Rhus,glabra,insect,ser,NA,NA,,,,0
Anacardiaceae,Rhus,typhina,insect,ser,NA,NA,,,,0
Fabaceae,Robinia,pseudoacacia,insect,ser,insect,ser,perect,,,0
Salicaceae,Salix,alba,ambo,syn,NA,NA,,,,0
Salicaceae,Salix,amygdaloides,ambo,syn,NA,NA,,,,0
Salicaceae,Salix,fragilis,ambo,syn,NA,NA,,,,0
Salicaceae,Salix,nigra,ambo,syn,ambo,pro/syn,dio,,,1
Lauraceae,Sassafras,albidum,insect,syn,NA,syn,dio,,,0
Rosaceae,Sorbus,americana,insect,ser,NA,NA,,,,0
Malvaceae,Tilia,americana,insect,ser,insect,ser,perfect,,,0
Malvaceae,Tilia,heterophylla,NA,NA,ambo,NA,perfect,,,NA
Malvaceae,Tilia,cordata,insect,ser,NA,NA,,,,0
Ulmaceae,Ulmus,alata,NA,NA,wind,pro,perfect,,,1
Ulmaceae,Ulmus,americana,wind,pro,wind,pro,perfect,,,1
Ulmaceae,Ulmus,thomasii,wind,pro,wind,pro,perfect,,,1
Ulmaceae,Ulmus,rubra,wind,pro,wind,pro,perfect,,,1
Ulmaceae,Ulmus,pumila,wind,pro,NA,NA,,,,1
Adoxaceae,Viburnum,lentago,insect,ser,NA,NA,,,,0
