Coefficients,Estimate,StdErr,z.value,lowerbootCI,upperbootCI,p.value
(Intercept),13.937331,2.505152,5.563467,13.845887,14.2976,2.65E-08
pol,0.895861,0.6751,1.327004,0.135511,1.491,0.1845
heigh_height,-0.045664,0.029568,-1.544408,-0.087431,-0.0086,0.1225
flo_time,-2.368564,0.472491,-5.012925,-2.782262,-2.1124,5.36E-07
fruiting,-0.257793,0.173466,-1.486124,-0.44051,0.0404,0.1372
shade_bin,-0.073819,0.425099,-0.173652,-0.740896,0.5812,0.8621
