Family,Genus,Species,Pollination,Phen sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred
Juglandaceae,Juglans,nigra,wind,syn,28,monoecious,5,10,intolerant,N,N
Malvaceae,Tilia,americana,insect,ser,30,perfect,6.5,10,tolerant,N,N
Malvaceae,Tilia,cordata,insect,ser,18,perfect,6.5,10,tolerant,N,N
Simaroubaceae,Ailanthus,altissima,insect,ser,20,polygamo_dioecious,6,10,intolerant,N,N
Anacardiaceae,Rhus,glabra,insect,ser,7,polygamo_dioecious,6,9.5,very_intolerant,N,N
Anacardiaceae,Rhus,typhina,insect,ser,9,polygamo_dioecious,6,9.5,very_intolerant,N,N
Sapindaceae,Acer,nigrum,wind,syn,27,polygamous,4.5,10,very_tolerant,N,N
Sapindaceae,Acer,saccharum,wind,syn,30,monoecious,4.5,9.5,very_tolerant,N,N
Sapindaceae,Acer,rubrum,wind,pro,30,polygamo_monecious,4,5.5,tolerant,N,N
Sapindaceae,Acer,saccharinum,wind,pro,30,polygamo_monecious,3.5,5,intolerant,N,N
Sapindaceae,Acer,spicatum,insect,ser,9,polygamo_monecious,6,7.5,tolerant,N,N
Sapindaceae,Acer,pensylvanicum,insect,syn/ser,12,dioecious,5.5,7.5,tolerant,N,N
Sapindaceae,Acer,platanoides,wind,pro/syn,18,dioecious,5.5,9.5,very_tolerant,N,N
Sapindaceae,Acer,negundo,wind,pro/syn,25,dioecious,4.5,9.5,intolerant,N,N
Sapindaceae,Aesculus,glabra,insect,ser,15,polygamo_monecious,4.5,10,moderately_tolerant,N,N
Sapindaceae,Aesculus,hippocastanum,insect,ser,20,perfect,6,10,moderately_tolerant,N,N
Cornaceae,Cornus,alternifolia,insect,ser,8,perfect,5.5,10,tolerant,N,N
Cornaceae,Cornus,florida,insect,syn,10,perfect,5.5,10,very_tolerant,N,N
Nyssaceae,Nyssa,sylvatica,insect,syn,18,polygamo_dioecious,5.5,10,tolerant,N,N
Oleaceae,Fraxinus,americana,wind,pro,28,dioecious,5,8.5,moderately_tolerant,N,N
Oleaceae,Fraxinus,nigra,wind,pro,20,polygamo_dioecious,5,8.5,moderately_tolerant,N,N
Oleaceae,Fraxinus,pennsylvanica,wind,pro/syn,18,dioecious,5,9,intolerant,N,N
Oleaceae,Fraxinus,profunda,wind,pro/syn,25,dioecious,5,9,intolerant,N,N
Oleaceae,Fraxinus,quadrangulata,wnd,pro,15,perfect,4,9.5,tolerant,N,N
Bignoniaceae,Catalpa,bignonioides,insect,ser,12,perfect,6.5,9,intolerant,N,N
Bignoniaceae,Catalpa,speciosa,insect,ser,15,perfect,6.5,9,intolerant,N,N
Adoxaceae,Viburnum,lentago,insect,ser,8,perfect,5.5,9.5,moderately_tolerant,N,N
Betulaceae,Alnus,viridis,wind,syn,3,monoecious,5.5,9.5,intolerant,N,N
Rosaceae,Amelanchier,laevis,insect,syn/ser,10,perfect,4,7,tolerant,N,N
Rosaceae,Amelanchier,sanguinea,insect,ser,8,perfect,4.5,7,intolerant,N,N
Ericaceae,Arctostaphylos,uva-ursi,insect,syn,0.3,perfect,5.5,8,very_intolerant,N,N
Rosaceae,Aronia,prunifolia,insect,syn/ser,2,perfect,6,9.5,intolerant,Y,N
Berberidaceae,Berberis,thunbergii,,unknown,,,,,,,
Betulaceae,Betula,pumila,wind,pro/syn,3,monoecious,5.5,8.5,intolerant,Y,N
Myricaceae,Comptonia,peregrina,wind,pro,1,monoecious,4.5,7.5,very_intolerant,N,N
Cornaceae,Cornus,amomum,insect,ser,4,perfect,6,8.5,very_intolerant,N,N
Betulaceae,Corylus,americana,wind,pro,3,monoecious,3.5,8.5,intolerant,N,N
Betulaceae,Corylus,cornuta,wind,pro,4,monoecious,4.5,8.5,intolerant,N,N
Rosaceae,Crataegus,chrysocarpa,insect,syn,6,perfect,5.5,9,intolerant,N,N
Rosaceae,Crataegus,crus-galli,insect,syn,10,perfect,5.5,9.5,intolerant,N,N
Rosaceae,Crataegus,macrosperma,insect,syn,7,perfect,5.5,9.5,intolerant,N,N
Rosaceae,Crataegus,punctata,insect,syn,10,perfect,5.5,8.5,intolerant,N,N
Rosaceae,Crataegus,succulenta,insect,syn,8,perfect,5.5,9.5,intolerant,N,N
Thymelaeaceae,Dirca,palustris,insect,pro,2,perfect,4.5,6,tolerant,N,N
Rhamnaceae,Frangula,alnus,insect,ser,6,perfect,6,7.5,moderately_tolerant,N,N
Aqufoliaceae,Ilex,mucronata,insect,syn,4,dioecious,5,7.5,moderately_tolerant,N,N
Aqufoliaceae,Ilex,verticillata,insect,ser,5,dioecious,6,9.5,moderately_tolerant,N,N
Lauraceae,Lindera,benzoin,insect,pro,5,dioecious,4,8,moderately_tolerant,N,N
Myricaceae,Myrica,gale,wind,pro,1.5,dioecious,4.5,7.5,intolerant,N,N
Rosaceae,Prunus,americana,insect,pro,10,perfect,4.5,8.5,very_intolerant,N,N
Rosaceae,Prunus,virginiana,insect,syn/ser,10,perfect,5.5,7.5,moderately_tolerant,N,N
Rutaceae,Ptelea,trifoliata,insect,syn,5,polygamous,6,9.5,moderately_tolerant,N,N
Rhamnaceae,Rhamnus,alnifolia,insect,syn,2,dioecious,5.5,8.5,intolerant,N,N
Anacardiaceae,Rhus,aromatica,insect,pro,2,dioecious,4.5,7.5,intolerant,N,N
Grossulariaceae,Ribes,americanum,insect,ser,1.5,perfect,4.5,7.5,intolerant,Y,N
Grossulariaceae,Ribes,cynosbati,insect,ser,1.2,perfect,4.5,8,moderately_tolerant,Y,N
Grossulariaceae,Ribes,lacustre,insect,ser,1,perfect,5.5,8,moderately_tolerant,Y,N
Grossulariaceae,Ribes,triste,insect,syn,1,perfect,5,7.5,moderately_tolerant,N,N
Salicaceae,Salix,bebbiana,ambo,pro/syn,4,dioecious,4.5,5.5,intolerant,N,N
Salicaceae,Salix,candida,ambo,pro/syn,1.5,dioecious,5,6,intolerant,N,N
Salicaceae,Salix,cordata,ambo,pro/syn,3,dioecious,5.5,6.5,intolerant,N,N
Salicaceae,Salix,discolor,ambo,pro,3,dioecious,3.5,5.5,intolerant,N,N
Salicaceae,Salix,eriocephala,ambo,pro/syn,6,dioecious,4.5,5.5,intolerant,N,N
Salicaceae,Salix,interior,ambo,syn,4,dioecious,4.5,6,very_intolerant,N,N
Salicaceae,Salix,humilis,ambo,pro,3,dioecious,4,5,intolerant,N,N
Salicaceae,Salix,lucida,ambo,syn,6,dioecious,5.5,6.5,intolerant,N,N
Salicaceae,Salix,myricoides,ambo,pro/syn,2.5,dioecious,5.5,5.5,,N,N
Salicaceae,Salix,pedicellaris,ambo,syn,1,dioecious,5.5,6.5,very_intolerant,N,N
Salicaceae,Salix,petiolaris,ambo,syn,3,dioecious,5,5,intolerant,N,N
Salicaceae,Salix,serissima,ambo,ser,4,dioecious,5.5,9,very_intolerant,N,N
Elaeagnaceae,Shepherdia,canadensis,insect,pro,3,dioecious,4.5,7.5,intolerant,N,N
Rosaceae,Sorbus,decora,insect,ser,10,perfect,6.5,8.5,intolerant,N,N
Staphyleaceae,Staphylea,trifolia,insect,syn/ser,4,perfect,4.5,9.5,moderately_tolerant,N,N
Oleaceae,Syringa,vulgaris,insect,syn/ser,7,perfect,5,9,intolerant,N,N
Ericaceae,Vaccinium,myrtilloides,insect,syn,0.5,perfect,5.5,7.5,moderately_tolerant,N,N
Ericaceae,Vaccinium,ovalifolium,insect,pro,1.5,perfect,5.5,7.5,moderately_tolerant,N,N
Ericaceae,Vaccinium,angustifolium,insect,ser,0.5,perfect,5.5,7.5,intolerant,Y,N
Ericaceae,Vaccinium,oxycoccos,insect,evergreen,,,,,,,
Ericaceae,Vaccinium,corymbosum,insect,ser,4,perfect,5.5,7.5,intolerant,Y,N
Ericaceae,Vaccinium,macrocarpon,insect,evergreen,,,,,,,
Ericaceae,Vaccinium,pallidum,insect,pro,0.8,perfect,5.5,7.5,intolerant,N,N
Rutaceae,Zanthoxylum,americanum,insect,pro,5,dioecious,4.5,8.5,moderately_tolerant,N,N
Ericaceae,Andromeda,glaucophylla,,evergreen,,,,,,,
Araliaceae,Aralia,hispida,insect,ser,1,polygamo_dioecious,6.5,8.5,intolerant,Y,pollination
Bignoniaceae,Campis,radicans,insect,ser,15,perfect,7.5,9,intolerant,Y,N
Rhamnaceae,Ceanothus,americanus,insect,ser,1,perfect,7,9.5,intolerant,Y,N
Rhamnaceae,Ceanothus,herbaceus,insect,ser,0.8,perfect,6,9.5,intolerant,Y,N
Celastraceae,Celastrus,scandens,insect,ser,15,monoecious,4.5,9.5,intolerant,Y,N
Rubiaceae,Cephalanthus,occidentalis,insect,ser,5,perfect,7.5,9.5,very_tolerant,Y,N
Ericaceae,Chamaedaphne,caliculata,,evergreen,,,,,,,
Ranunculaceae,Clematis,virginiana,insect,ser,5,monoecious,7.5,9,intolerant,Y,N
Cornaceae,Cornus,foemina,insect,ser,5,perfect,5.5,8,very_intolerant,Y,N
Cornaceae,Cornus,rugosa,insect,ser,3,perfect,5.5,8.5,intolerant,Y,N
Cornaceae,Cornus,sericea,insect,ser,3,perfect,6,9,very_intolerant,Y,N
Rosaceae,Dasiphora,fruticosa,insect,ser,1,perfect,7.5,persistant,very_intolerant,Y,N
Diervillaceae,Diervilla,lonicera,insect,ser,1,perfect,6,9.5,moderately_tolerant,Y,N
Elaeagnaceae,Elaeagnus,umbellata,insect,ser,7,perfect,6,8.5,intolerant,Y,N
Ericaceae,Epigaea,repens,,evergreen,,,,,,,
Celastraceae,Euonymus,atropurpureus,insect,ser,4,perfect,6,9,intolerant,Y,N
Celastraceae,Euonymus,obovatus,insect,ser,0.4,perfect,4.5,9,tolerant,Y,N
Ericaceae,Gaultheria,hispidula,insect,evergreen,0.5,perfect,5.5,8,moderately_tolerant,Y,N
Ericaceae,Gaultheria,procumbens,,evergreen,,,,,,,
Ericaceae,Gaylussacia,baccata,insect,ser,1.5,perfect,5.5,8.5,intolerant,Y,N
Hypericaceae,Hypericum,kalmianum,insect,ser,0.8,perfect,7.5,8.5,intolerant,Y,N
Hypericaceae,Hypericum,prolificum,insect,ser,2,perfect,7.5,8.5,intolerant,Y,N
Ericaceae,Kalmia,angustifolia,insect,ser,1.7,perfect,6.5,persitant,intolerant,Y,N
