HF.name,polination,flower_color,min_precip,min_temp,root_depth,shade_tol,fl_opn,seed_pound
ACPE,,,,,,,,
ACRU,,,,,,,,
ACSA,,,,,,,,
AMSP,,,,,,,,
BEAL,,,,,,,,
BELE,,,,,,,,
BEPA,,,,,,,,
BEPO,,,,,,,,
CADE,,,,,,,,
FAGR,,,,,,,,
FRAM,,,,,,,,
HAVI,,,,,,,,
ILVE,,,,,,,,
KAAN,,,,,,,,
KALA,,,,,,,,
NEMU,,,,,,,,
NYSY,,,,,,,,
PIST,,,,,,,,
POTR,,,,,,,,
PRSE,,,,,,,,
QUAL,,,,,,,,
QURU,,,,,,,,
QUVE,,,,,,,,
RHSP,,,,,,,,
TSCA,,,,,,,,
VACO,,,,,,,,
VIAL,,,,,,,,
VICA,,,,,,,,
CRSP,,,,,,,,
LYLI,,,,,,,,
ARSP,,,,,,,,
SAPU,,,,,,,,
COAL,,,,,,,,
