datetime,date,doy,time,distance,transect,lai.unmasked,sel.unmasked,lai.masked,sel.masked
2004-09-17T15:19:00,9/17/04,261,15:19:00,100,240,3.28,0,3.76,NA
2004-09-17T15:23:00,9/17/04,261,15:23:00,100,255,3.66,0,4.24,NA
2004-09-17T15:25:00,9/17/04,261,15:25:00,100,270,4.42,0,5.26,NA
2004-09-17T15:30:00,9/17/04,261,15:30:00,100,285,3.64,0,4.28,NA
2004-09-17T15:32:00,9/17/04,261,15:32:00,100,300,3.77,0,4.36,NA
2004-09-17T15:34:00,9/17/04,261,15:34:00,100,315,4.01,0,4.66,NA
2004-09-17T15:36:00,9/17/04,261,15:36:00,100,330,3.75,0,4.28,NA
2004-09-17T15:39:00,9/17/04,261,15:39:00,100,345,5.31,0,6.18,NA
2004-09-17T13:32:00,9/17/04,261,13:32:00,200,225,4.54,0,5.26,NA
2004-09-17T13:29:00,9/17/04,261,13:29:00,200,240,4.15,0,4.78,NA
2004-09-17T13:26:00,9/17/04,261,13:26:00,200,255,5.65,0,6.59,NA
2004-09-17T13:24:00,9/17/04,261,13:24:00,200,270,5.98,0,7.25,NA
2004-09-17T13:23:00,9/17/04,261,13:23:00,200,285,5.99,0,7.08,NA
2004-09-17T13:07:00,9/17/04,261,13:07:00,200,300,4.13,0,4.78,NA
2004-09-17T12:59:00,9/17/04,261,12:59:00,200,315,3.6,0,4.22,NA
2004-09-17T12:56:00,9/17/04,261,12:56:00,200,330,4.51,0,5.13,NA
2004-09-17T12:52:00,9/17/04,261,12:52:00,200,345,5.04,0,5.98,NA
2004-09-17T13:35:00,9/17/04,261,13:35:00,300,225,3.96,0,4.6,NA
2004-09-17T13:38:00,9/17/04,261,13:38:00,300,240,3.59,0,4.16,NA
2004-09-17T13:42:00,9/17/04,261,13:42:00,300,255,4.68,0,5.51,NA
2004-09-17T13:45:00,9/17/04,261,13:45:00,300,270,4.14,0,4.79,NA
2004-09-17T13:49:00,9/17/04,261,13:49:00,300,285,3.93,0,4.55,NA
2004-09-17T13:52:00,9/17/04,261,13:52:00,300,300,4.02,0,4.7,NA
2004-09-17T13:56:00,9/17/04,261,13:56:00,300,315,4.16,0,4.81,NA
2004-09-17T14:04:00,9/17/04,261,14:04:00,300,330,4.91,0,5.67,NA
2004-09-17T14:08:00,9/17/04,261,14:08:00,300,345,4.1,0,4.87,NA
2004-09-17T15:09:00,9/17/04,261,15:09:00,400,225,3.53,0,4.14,NA
2004-09-17T15:04:00,9/17/04,261,15:04:00,400,240,4,0,4.65,NA
2004-09-17T15:00:00,9/17/04,261,15:00:00,400,255,3.67,0,4.22,NA
2004-09-17T14:56:00,9/17/04,261,14:56:00,400,270,4.88,0,5.64,NA
2004-09-17T14:51:00,9/17/04,261,14:51:00,400,285,3.37,0,3.93,NA
2004-09-17T14:46:00,9/17/04,261,14:46:00,400,300,3.11,0,3.38,NA
2004-09-17T14:39:00,9/17/04,261,14:39:00,400,315,3.36,0,3.97,NA
2004-09-17T14:30:00,9/17/04,261,14:30:00,400,330,5.11,0,5.98,NA
2004-09-17T14:12:00,9/17/04,261,14:12:00,400,345,4.84,0,5.71,NA
2005-09-08T18:39:00,9/8/05,251,18:39:00,100,225,4,NA,NA,NA
2005-09-08T18:36:00,9/8/05,251,18:36:00,100,240,3.7,NA,NA,NA
2005-09-08T18:34:00,9/8/05,251,18:34:00,100,255,4.21,NA,NA,NA
2005-09-08T18:34:00,9/8/05,251,18:34:00,100,270,4.63,NA,NA,NA
2005-09-08T18:31:00,9/8/05,251,18:31:00,100,285,3.89,NA,NA,NA
2005-09-08T18:28:00,9/8/05,251,18:28:00,100,300,4.08,NA,NA,NA
2005-09-08T18:25:00,9/8/05,251,18:25:00,100,315,4.26,NA,NA,NA
