"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset"
"35488","6866","46.5667,15.95","15.95","46.5667","310","129","70","1995",177,111,-66
"35491","6870","45.8,15.1833","15.1833","45.8","220","129","70","1995",169,112,-57
"35535","6866","46.5667,15.95","15.95","46.5667","310","129","70","1996",168,116,-52
"35538","6870","45.8,15.1833","15.1833","45.8","220","129","70","1996",172,115,-57
"35593","6866","46.5667,15.95","15.95","46.5667","310","129","70","1997",172,117,-55
"35596","6870","45.8,15.1833","15.1833","45.8","220","129","70","1997",167,117,-50
"35644","6866","46.5667,15.95","15.95","46.5667","310","129","70","1998",163,114,-49
"35647","6870","45.8,15.1833","15.1833","45.8","220","129","70","1998",164,109,-55
"35703","6866","46.5667,15.95","15.95","46.5667","310","129","70","1999",167,111,-56
"35706","6870","45.8,15.1833","15.1833","45.8","220","129","70","1999",165,105,-60
"35779","6866","46.5667,15.95","15.95","46.5667","310","129","70","2000",155,112,-43
"35782","6870","45.8,15.1833","15.1833","45.8","220","129","70","2000",155,106,-49
"35917","6866","46.5667,15.95","15.95","46.5667","310","129","70","2001",171,125,-46
"36026","6866","46.5667,15.95","15.95","46.5667","310","129","70","2002",160,111,-49
"36029","6870","45.8,15.1833","15.1833","45.8","220","129","70","2002",162,107,-55
"36137","6866","46.5667,15.95","15.95","46.5667","310","129","70","2003",159,118,-41
"36140","6870","45.8,15.1833","15.1833","45.8","220","129","70","2003",159,112,-47
"36264","6866","46.5667,15.95","15.95","46.5667","310","129","70","2004",176,118,-58
"36267","6870","45.8,15.1833","15.1833","45.8","220","129","70","2004",177,121,-56
"36391","6866","46.5667,15.95","15.95","46.5667","310","129","70","2005",169,118,-51
"36491","6866","46.5667,15.95","15.95","46.5667","310","129","70","2006",161,110,-51
"36494","6870","45.8,15.1833","15.1833","45.8","220","129","70","2006",154,114,-40
"36616","6866","46.5667,15.95","15.95","46.5667","310","129","70","2007",138,98,-40
"36619","6870","45.8,15.1833","15.1833","45.8","220","129","70","2007",145,104,-41
"36716","6866","46.5667,15.95","15.95","46.5667","310","129","70","2008",141,111,-30
"36718","6870","45.8,15.1833","15.1833","45.8","220","129","70","2008",138,105,-33
"36812","6866","46.5667,15.95","15.95","46.5667","310","129","70","2009",145,95,-50
"36814","6870","45.8,15.1833","15.1833","45.8","220","129","70","2009",141,104,-37
"36930","6866","46.5667,15.95","15.95","46.5667","310","129","70","2010",160,109,-51
"36932","6870","45.8,15.1833","15.1833","45.8","220","129","70","2010",167,113,-54
"37048","6866","46.5667,15.95","15.95","46.5667","310","129","70","2011",163,95,-68
"37050","6870","45.8,15.1833","15.1833","45.8","220","129","70","2011",135,98,-37
"37163","6866","46.5667,15.95","15.95","46.5667","310","129","70","2012",160,103,-57
"37165","6870","45.8,15.1833","15.1833","45.8","220","129","70","2012",162,101,-61
"37276","6866","46.5667,15.95","15.95","46.5667","310","129","70","2013",138,108,-30
"37279","6870","45.8,15.1833","15.1833","45.8","220","129","70","2013",167,110,-57
