"year","GDD.flo","treeyear","tree.id","burst.flo","GDD.bb","burst.bb","species","GDD.diff","FLS.diff"
1995,614.802486148947,"BEPO-01 1995","BEPO-01",134,559.741588473017,126,"BEPO",-55.0608976759302,-8
1998,639.292408152087,"BEPO-01 1998","BEPO-01",122,578.917126229322,114,"BEPO",-60.3752819227651,-8
1990,830.049200369889,"BEPO-02 1990","BEPO-02",141,733.513798781658,129,"BEPO",-96.5354015882307,-12
1991,828.972314989761,"BEPO-02 1991","BEPO-02",135,730.644415740559,125,"BEPO",-98.3278992492025,-10
1992,822.97412890937,"BEPO-02 1992","BEPO-02",145,751.059721451056,138,"BEPO",-71.9144074583138,-7
1994,748.129557888084,"BEPO-02 1994","BEPO-02",135,748.129557888084,135,"BEPO",0,0
1995,648.834479756643,"BEPO-02 1995","BEPO-02",139,619.802486148947,135,"BEPO",-29.0319936076963,-4
1996,642.476336650783,"BEPO-02 1996","BEPO-02",132,553.29161279855,119,"BEPO",-89.1847238522332,-13
1997,595.71096328469,"BEPO-02 1997","BEPO-02",144,561.773538759742,137,"BEPO",-33.9374245249481,-7
1998,675.881432460819,"BEPO-02 1998","BEPO-02",126,639.292408152087,122,"BEPO",-36.5890243087324,-4
1999,654.606223849974,"BEPO-02 1999","BEPO-02",129,654.606223849974,129,"BEPO",0,0
2000,757.408380567407,"BEPO-02 2000","BEPO-02",131,709.651477601474,128,"BEPO",-47.7569029659325,-3
1990,811.54787400265,"BEPO-03 1990","BEPO-03",138,726.991251120915,128,"BEPO",-84.5566228817357,-10
1991,788.927186886359,"BEPO-03 1991","BEPO-03",132,760.407450712384,129,"BEPO",-28.5197361739754,-3
1992,759.29264902302,"BEPO-03 1992","BEPO-03",141,751.059721451056,138,"BEPO",-8.23292757196373,-3
1994,748.129557888084,"BEPO-03 1994","BEPO-03",135,702.452797003742,129,"BEPO",-45.6767608843417,-6
1995,614.802486148947,"BEPO-03 1995","BEPO-03",134,595.83167470969,131,"BEPO",-18.9708114392573,-3
1996,668.900254424202,"BEPO-03 1996","BEPO-03",136,553.29161279855,119,"BEPO",-115.608641625652,-17
1998,675.881432460819,"BEPO-03 1998","BEPO-03",126,639.292408152087,122,"BEPO",-36.5890243087324,-4
2000,728.127305822343,"BEPO-03 2000","BEPO-03",129,709.651477601474,128,"BEPO",-18.4758282208692,-1
1990,767.372957810993,"BEPO-04 1990","BEPO-04",133,699.729010601527,124,"BEPO",-67.6439472094659,-9
1991,788.927186886359,"BEPO-04 1991","BEPO-04",132,688.524033415531,119,"BEPO",-100.403153470828,-13
1992,759.29264902302,"BEPO-04 1992","BEPO-04",141,743.263204995864,137,"BEPO",-16.0294440271551,-4
1994,842.53096567205,"BEPO-04 1994","BEPO-04",145,688.026465591051,127,"BEPO",-154.504500081,-18
1995,614.802486148947,"BEPO-04 1995","BEPO-04",134,590.292717951228,130,"BEPO",-24.5097681977189,-4
1996,598.001841366578,"BEPO-04 1996","BEPO-04",126,539.272250418711,115,"BEPO",-58.7295909478673,-11
1997,595.71096328469,"BEPO-04 1997","BEPO-04",144,551.882977484565,135,"BEPO",-43.8279858001252,-9
1998,639.292408152087,"BEPO-04 1998","BEPO-04",122,639.292408152087,122,"BEPO",0,0
2000,709.651477601474,"BEPO-04 2000","BEPO-04",128,696.318965860522,127,"BEPO",-13.3325117409519,-1
1998,1252.30339072778,"FAGR-02 1998","FAGR-02",179,629.273335440269,121,"FAGR",-623.030055287506,-58
1999,624.922878748044,"FRAM-01 1999","FRAM-01",125,633.57836691379,126,"FRAM",8.65548816574551,1
1992,759.29264902302,"FRAM-02 1992","FRAM-02",141,751.059721451056,138,"FRAM",-8.23292757196373,-3
1998,713.456283154446,"FRAM-02 1998","FRAM-02",131,675.881432460819,126,"FRAM",-37.5748506936263,-5
1999,591.045811386217,"FRAM-02 1999","FRAM-02",120,654.606223849974,128,"FRAM",63.5604124637572,8
1992,759.29264902302,"FRAM-04 1992","FRAM-04",141,723.132393561758,134,"FRAM",-36.1602554612613,-7
1994,775.537749686213,"FRAM-04 1994","FRAM-04",139,748.129557888084,135,"FRAM",-27.4081917981295,-4
1995,624.958076639631,"FRAM-04 1995","FRAM-04",136,614.802486148947,134,"FRAM",-10.1555904906841,-2
1997,595.71096328469,"FRAM-04 1997","FRAM-04",144,582.127301862138,142,"FRAM",-13.583661422552,-2
1999,591.045811386217,"FRAM-04 1999","FRAM-04",120,679.690645770251,132,"FRAM",88.6448343840343,12
2000,852.738712364924,"FRAM-04 2000","FRAM-04",145,762.408380567407,132,"FRAM",-90.3303317975178,-13
2001,683.122666136615,"FRAM-04 2001","FRAM-04",124,697.971420119001,125,"FRAM",14.8487539823857,1
1992,1145.27989433711,"HAVI-03 1992","HAVI-03",172,691.931926146576,131,"HAVI",-453.34796819053,-41
1990,1446.98411669725,"ILVE-01 1990","ILVE-01",187,753.817805887923,131,"ILVE",-693.166310809329,-56
1992,1405.38555282312,"ILVE-01 1992","ILVE-01",193,751.059721451056,138,"ILVE",-654.325831372069,-55
1995,1109.59044428697,"ILVE-01 1995","ILVE-01",184,619.802486148947,135,"ILVE",-489.787958138028,-49
1997,1286.09966664375,"ILVE-01 1997","ILVE-01",195,561.773538759742,136,"ILVE",-724.326127884011,-59
1998,1252.30339072778,"ILVE-01 1998","ILVE-01",179,655.331442029191,124,"ILVE",-596.971948698585,-55
1999,1276.92191169035,"ILVE-01 1999","ILVE-01",178,663.727558533817,130,"ILVE",-613.194353156532,-48
1990,1334.72118152707,"ILVE-02 1990","ILVE-02",180,720.865973567331,127,"ILVE",-613.855207959739,-53
1991,1238.72566703725,"ILVE-02 1991","ILVE-02",165,688.524033415531,119,"ILVE",-550.201633621721,-46
1992,1260.74034925536,"ILVE-02 1992","ILVE-02",182,723.132393561758,134,"ILVE",-537.607955693602,-48
1995,1045.06647732117,"ILVE-02 1995","ILVE-02",178,580.323198265957,129,"ILVE",-464.743279055211,-49
1996,1163.15879044473,"ILVE-02 1996","ILVE-02",177,558.647945957679,120,"ILVE",-604.510844487052,-57
1997,1136.08490258201,"ILVE-02 1997","ILVE-02",185,542.343766737316,134,"ILVE",-593.741135844695,-51
1998,1156.21101833956,"ILVE-02 1998","ILVE-02",173,591.994519910666,116,"ILVE",-564.216498428889,-57
1999,1175.28535103138,"ILVE-02 1999","ILVE-02",172,624.922878748044,125,"ILVE",-550.362472283339,-47
2001,1227.37350527461,"ILVE-02 2001","ILVE-02",174,666.417140224382,123,"ILVE",-560.95636505023,-51
1990,1223.92167327543,"KAAN-01 1990","KAAN-01",173,885.912997109014,148,"KAAN",-338.008676166417,-25
1991,1166.29669603437,"KAAN-01 1991","KAAN-01",160,828.972314989761,135,"KAAN",-337.324381044605,-25
