Family,Genus,Species,Pollination,Phen.sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred,name,pro,pro2,pol,class,class2,flo_type,shade_bin,fruiting,pro3
Sapindaceae,Acer,saccharum,wind,syn,30,monoecious,4.5,9.5,tolerant,N,N,Acer_saccharum,0,1,1,2talltree,1,1,1,9.5,0
Simaroubaceae,Ailanthus,altissima,insect,ser,20,dioecious,6,10,intolerant,N,N,Ailanthus_altissima,0,0,0,2talltree,1,1,0,10,0
Rutaceae,Ptelea,trifoliata,insect,syn,5,perfect,6,9.5,moderately_tolerant,N,N,Ptelea_trifoliata,0,1,0,0shrub,0,0,1,9.5,0
Rutaceae,Zanthoxylum,americanum,insect,pro,5,dioecious,4.5,8.5,moderately_tolerant,N,N,Zanthoxylum_americanum,1,1,0,0shrub,0,1,1,8.5,1
Celastraceae,Euonymus,obovatus,insect,ser,0.4,perfect,4.5,9,tolerant,Y,N,Euonymus_americanus,0,0,0,0shrub,0,0,1,9,0
Celastraceae,Euonymus,atropurpureus,insect,ser,4,perfect,6,9,intolerant,Y,N,Euonymus_atropurpureus,0,0,0,0shrub,0,0,0,9,0
Celastraceae,Celastrus,scandens,insect,ser,15,monoecious,4.5,9.5,intolerant,Y,N,Celastrus_scandens,0,0,0,1smalltree,0,1,0,9.5,0
Hypericaceae,Hypericum,kalmianum,insect,ser,0.8,perfect,7.5,8.5,intolerant,Y,N,Hypericum_kalmianum,0,0,0,0shrub,0,0,0,8.5,0
Hypericaceae,Hypericum,prolificum,insect,ser,2,perfect,7.5,8.5,intolerant,Y,N,Hypericum_prolificum,0,0,0,0shrub,0,0,0,8.5,0
Salicaceae,Populus,heterophylla,wind,pro,18,dioecious,3.5,5.5,intolerant,N,N,Populus_heterophylla,1,1,1,1smalltree,1,1,0,5.5,1
Salicaceae,Populus,deltoides,wind,pro,32,dioecious,4.5,5.5,intolerant,N,N,Populus_deltoides,1,1,1,2talltree,1,1,0,5.5,1
Salicaceae,Populus,balsamifera,wind,pro,30,dioecious,4.5,5.5,intolerant,N,N,Populus_balsamifera,1,1,1,2talltree,1,1,0,5.5,1
Salicaceae,Populus,nigra,NA,pro,20,dioecious,4.5,NA,intolerant,N,N,Populus_nigra,1,1,0,2talltree,1,1,0,5.5,1
Salicaceae,Populus,grandidentata,wind,pro,32,dioecious,4,5.5,intolerant,N,N,Populus_grandidentata,1,1,1,2talltree,1,1,0,5.5,1
Salicaceae,Populus,tremuloides,wind,pro,32,dioecious,3.5,5.5,intolerant,N,N,Populus_tremuloides,1,1,1,2talltree,1,1,0,5.5,1
Salicaceae,Populus,alba,wind,pro,24,dioecious,4.5,5.5,intolerant,N,N,Populus_alba,1,1,1,2talltree,1,1,0,5.5,1
Salicaceae,Salix,serissima,ambo,ser,4,dioecious,5.5,9,intolerant,N,N,Salix_serissima,0,0,0,0shrub,0,1,0,9,0
Salicaceae,Salix,petiolaris,ambo,syn,3,dioecious,5,5,intolerant,N,N,Salix_petiolaris,0,1,0,0shrub,0,1,0,5,0
Salicaceae,Salix,pedicellaris,ambo,syn,1,dioecious,5.5,6.5,intolerant,N,N,Salix_pedicellaris,0,1,0,0shrub,0,1,0,6.5,0
Salicaceae,Salix,myricoides,ambo,pro/syn,2.5,dioecious,5.5,5.5,,N,N,Salix_myricoides,1,1,0,0shrub,0,1,0,5.5,0
Salicaceae,Salix,humilis,ambo,pro,3,dioecious,4,5,intolerant,N,N,Salix_humilis,1,1,0,0shrub,0,1,0,5,1
Salicaceae,Salix,candida,ambo,pro/syn,1.5,dioecious,5,6,intolerant,N,N,Salix_candida,1,1,0,0shrub,0,1,0,6,0
Salicaceae,Salix,nigra,ambo,syn,20,dioecious,4.5,6,intolerant,N,N,Salix_nigra,0,1,0,2talltree,1,1,0,6,0
Salicaceae,Salix,fragilis,ambo,syn,25,dioecious,4.5,5.5,intolerant,N,N,Salix_fragilis,0,1,0,2talltree,1,1,0,5.5,0
Salicaceae,Salix,alba,ambo,syn,25,dioecious,4.5,5.5,intolerant,N,N,Salix_alba,0,1,0,2talltree,1,1,0,5.5,0
Salicaceae,Salix,lucida,ambo,syn,6,dioecious,5.5,6.5,intolerant,N,N,Salix_lucida,0,1,0,0shrub,0,1,0,6.5,0
Salicaceae,Salix,discolor,ambo,pro,3,dioecious,3.5,5.5,intolerant,N,N,Salix_discolor,1,1,0,0shrub,0,1,0,5.5,1
Salicaceae,Salix,amygdaloides,ambo,syn,12,dioecious,4,5,intolerant,N,N,Salix_amygdaloides,0,1,0,1smalltree,0,1,0,5,0
Salicaceae,Salix,interior,ambo,syn,4,dioecious,4.5,6,intolerant,N,N,Salix_interior,0,1,0,0shrub,0,1,0,6,0
Salicaceae,Salix,eriocephala,ambo,pro/syn,6,dioecious,4.5,5.5,intolerant,N,N,Salix_eriocephala,1,1,0,0shrub,0,1,0,5.5,0
Salicaceae,Salix,cordata,ambo,pro/syn,3,dioecious,5.5,6.5,intolerant,N,N,Salix_cordata,1,1,0,0shrub,0,1,0,6.5,0
Salicaceae,Salix,bebbiana,ambo,pro/syn,4,dioecious,4.5,5.5,intolerant,N,N,Salix_bebbiana,1,1,0,0shrub,0,1,0,5.5,0
Fagaceae,Fagus,grandifolia,wind,syn,28,monoecious,4.5,9.5,tolerant,N,N,Fagus_grandifolia,0,1,1,2talltree,1,1,1,9.5,0
Fagaceae,Castanea,dentata,ambo,ser,30,monoecious,6.5,9.5,intolerant,N,N,Castanea_dentata,0,0,0,2talltree,1,1,0,9.5,0
Fagaceae,Quercus,ellipsoidalis,wind,syn,18,monoecious,5,19,intolerant,N,N,Quercus_ellipsoidalis,0,1,1,1smalltree,1,1,0,19,0
Fagaceae,Quercus,coccinea,wind,syn,21,monoecious,5,19,intolerant,N,N,Quercus_coccinea,0,1,1,2talltree,1,1,0,19,0
Fagaceae,Quercus,prinoides,wind,syn,4,monoecious,5,19,intolerant,N,N,Quercus_prinoides,0,1,1,0shrub,0,1,0,19,0
Fagaceae,Quercus,muehlenbergii,wind,syn,25,monoecious,5.5,9.5,moderately_tolerant,N,N,Quercus_muehlenbergii,0,1,1,2talltree,1,1,1,9.5,0
Fagaceae,Quercus,imbricaria,wind,syn,21,monoecious,5,19,intolerant,N,N,Quercus_imbricaria,0,1,1,2talltree,1,1,0,19,0
Fagaceae,Quercus,shumardii,wind,syn,28,monoecious,5.5,19,intolerant,N,N,Quercus_shumardii,0,1,1,2talltree,1,1,0,19,0
Fagaceae,Quercus,palustris,wind,syn,20,monoecious,5,19,intolerant,N,N,Quercus_palustris,0,1,1,2talltree,1,1,0,19,0
Fagaceae,Quercus,velutina,wind,syn,24,monoecious,5,19,intolerant,N,N,Quercus_velutina,0,1,1,2talltree,1,1,0,19,0
Fagaceae,Quercus,rubra,wind,syn,28,monoecious,5.5,19,moderately_tolerant,N,N,Quercus_rubra,0,1,1,2talltree,1,1,1,19,0
Fagaceae,Quercus,bicolor,wind,syn,24,monoecious,5.5,9.5,moderately_tolerant,N,N,Quercus_bicolor,0,1,1,2talltree,1,1,1,9.5,0
Fagaceae,Quercus,macrocarpa,wind,syn,26,monoecious,5.5,9.5,moderately_tolerant,N,N,Quercus_macrocarpa,0,1,1,2talltree,1,1,1,9.5,0
Fagaceae,Quercus,alba,wind,syn,28,monoecious,5.5,9.5,moderately_tolerant,N,N,Quercus_alba,0,1,1,2talltree,1,1,1,9.5,0
Myricaceae,Comptonia,peregrina,wind,pro,1,monoecious,4.5,7.5,intolerant,N,N,Comptonia_peregrina,1,1,1,0shrub,0,1,0,7.5,1
Myricaceae,Myrica,gale,wind,pro,1.5,dioecious,4.5,7.5,intolerant,N,N,Myrica_gale,1,1,1,0shrub,0,1,0,7.5,1
Juglandaceae,Carya,lacinosa,wind,syn,25,monoecious,5.5,10,tolerant,N,N,Carya_laciniosa,0,1,1,2talltree,1,1,1,10,0
