Family,Genus,Species,Pollination,Phen.sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred,name,pro,pro2,pol,class,class2,flo_type,shade_bin,fruiting,pro3
Ericaceae,Gaylussacia,baccata,insect,ser,1.5,perfect,5.5,8.5,intolerant,Y,N,Gaylussacia_baccata,0,0,0,0shrub,0,0,0,8.5,0
Ericaceae,Vaccinium,corymbosum,insect,ser,4,perfect,5.5,7.5,intolerant,Y,N,Vaccinium_corymbosum,0,0,0,0shrub,0,0,0,7.5,0
Ericaceae,Vaccinium,pallidum,insect,pro,0.8,perfect,5.5,7.5,intolerant,N,N,Vaccinium_pallidum,1,1,0,0shrub,0,0,0,7.5,1
Aqufoliaceae,Ilex,mucronata,insect,syn,4,dioecious,5,7.5,moderately_tolerant,N,N,Ilex_mucronata,0,1,0,0shrub,0,1,1,7.5,0
Aqufoliaceae,Ilex,verticillata,insect,ser,5,dioecious,6,9.5,moderately_tolerant,N,N,Ilex_verticillata,0,0,0,0shrub,0,1,1,9.5,0
Adoxaceae,Sambucus,canadensis,insect,ser,4,perfect,6.5,9.5,moderately_tolerant,Y,N,Sambucus_canadensis,0,0,0,0shrub,0,0,1,9.5,0
Adoxaceae,Sambucus,racemosa,insect,ser,4,perfect,4.5,6.5,moderately_tolerant,Y,N,Sambucus_racemosa,0,0,0,0shrub,0,0,1,6.5,0
Adoxaceae,Viburnum,trilobum,insect,ser,5,perfect,5.5,9,moderately_tolerant,Y,N,Viburnum_trilobum,0,0,0,0shrub,0,0,1,9,0
Adoxaceae,Viburnum,cassinoides,insect,ser,4,perfect,6,9,moderately_tolerant,Y,N,Viburnum_cassinoides,0,0,0,0shrub,0,0,1,9,0
Adoxaceae,Viburnum,acerifolium,insect,ser,2,perfect,5.5,9,tolerant,Y,N,Viburnum_acerifolium,0,0,0,0shrub,0,0,1,9,0
Adoxaceae,Viburnum,dentatum,insect,ser,3,perfect,5.5,8.5,moderately_tolerant,Y,N,Viburnum_dentatum,0,0,0,0shrub,0,0,1,8.5,0
Adoxaceae,Viburnum,rafinesquianum,insect,ser,2.5,perfect,5.5,8.5,moderately_tolerant,Y,N,Viburnum_rafinesquianum,0,0,0,0shrub,0,0,1,8.5,0
Adoxaceae,Viburnum,lentago,insect,ser,8,perfect,5.5,9.5,moderately_tolerant,N,N,Viburnum_lentago,0,0,0,0shrub,0,0,1,9.5,0
Diervillaceae,Diervilla,lonicera,insect,ser,1,perfect,6,9.5,moderately_tolerant,Y,N,Diervilla_lonicera,0,0,0,0shrub,0,0,1,9.5,0
Caprifoliaceae,Symphoricarpos,albus,insect,ser,1,perfect,6.5,9.5,intolerant,Y,N,Symphoricarpos_albus,0,0,0,0shrub,0,0,0,9.5,0
Caprifoliaceae,Lonicera,canadensis,insect,ser,1.5,perfect,5.5,8,moderately_tolerant,Y,N,Lonicera_canadensis,0,0,0,0shrub,0,0,1,8,0
Caprifoliaceae,Lonicera,dioica,insect,ser,3,perfect,5.5,8,intolerant,Y,N,Lonicera_dioica,0,0,0,0shrub,0,0,0,8,0
Caprifoliaceae,Lonicera,tatarica,insect,ser,3,perfect,5.5,9,moderately_tolerant,Y,N,Lonicera_tatarica,0,0,0,0shrub,0,0,1,9,0
Caprifoliaceae,Lonicera,maackii,insect,ser,5,perfect,6,9,moderately_tolerant,Y,N,Lonicera_maackii,0,0,0,0shrub,0,0,1,9,0
Araliaceae,Aralia,hispida,insect,ser,1,dioecious,6.5,8.5,intolerant,Y,pollination,Aralia_hispida,0,0,0,0shrub,0,1,0,8.5,0
Rubiaceae,Cephalanthus,occidentalis,insect,ser,5,perfect,7.5,9.5,tolerant,Y,N,Cephalanthus_occidentalis,0,0,0,0shrub,0,0,1,9.5,0
Oleaceae,Fraxinus,quadrangulata,wnd,pro,15,perfect,4,9.5,tolerant,N,N,Fraxinus_quadrangulata,1,1,0,1smalltree,0,0,1,9.5,1
Oleaceae,Fraxinus,profunda,wind,pro/syn,25,dioecious,5,9,intolerant,N,N,Fraxinus_profunda,1,1,1,2talltree,1,1,0,9,0
Oleaceae,Fraxinus,pennsylvanica,wind,pro/syn,18,dioecious,5,9,intolerant,N,N,Fraxinus_pennsylvanica,1,1,1,1smalltree,1,1,0,9,0
Oleaceae,Fraxinus,americana,wind,pro,28,dioecious,5,8.5,moderately_tolerant,N,N,Fraxinus_americana,1,1,1,2talltree,1,1,1,8.5,1
Oleaceae,Fraxinus,nigra,wind,pro,20,dioecious,5,8.5,moderately_tolerant,N,N,Fraxinus_nigra,1,1,1,2talltree,1,1,1,8.5,1
Oleaceae,Syringa,vulgaris,insect,syn/ser,7,perfect,5,9,intolerant,N,N,Syringa_vulgaris,0,0,0,0shrub,0,0,0,9,0
Oleaceae,Ligustrum,vulgare,insect,ser,5,perfect,6,9,intolerant,Y,N,Ligustrum_vulgare,0,0,0,0shrub,0,0,0,9,0
Bignoniaceae,Catalpa,bignonioides,insect,ser,12,perfect,6.5,9,intolerant,N,N,Catalpa_bignonioides,0,0,0,1smalltree,0,0,0,9,0
Bignoniaceae,Catalpa,speciosa,insect,ser,15,perfect,6.5,9,intolerant,N,N,Catalpa_speciosa,0,0,0,1smalltree,0,0,0,9,0
