"","id","name","GEN.SPA","treatment","Force","Light","Chill","good_flaskid","treatcode","Flo.poss.","Dead.alive","photoperiod","temp_day","temp_night","chilldays","p_z","f_z","c_z","phase","DOY","surv","floposs"
"27","PRUPEN 24 HF DB_WS0_12","PRUPEN 24 HF DB","PRU.PEN","WL0","W","L",0,"WS0_12","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",28,0,1
"28","COMPER 6 HF DB_WS0_11","COMPER 6 HF DB","COM.PER","WL0","W","L",0,"WS0_11","W_S_0","?","?",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"29","ILEMUC 10 HF DB_WS0_11","ILEMUC 10 HF DB","ILE.MUC","WL0","W","L",0,"WS0_11","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",33,0,1
"30","ILEMUC 12 HF DB_WS0_10","ILEMUC 12 HF DB","ILE.MUC","WL0","W","L",0,"WS0_10","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",63,0,1
"31","VIBACE07 HF DB_WS0_10","VIBACE07 HF DB","VIB.ACE","WL0","W","L",0,"WS0_10","W_S_0","?","?",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"32","ACERUB29 HF DB_WS0_1","ACERUB29 HF DB","ACE.RUB","WL0","W","L",0,"WS0_1","W_S_0","?","?",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"33","VACCOR 11 HF DB_WS0_1","VACCOR 11 HF DB","VAC.COR","WL0","W","L",0,"WS0_1","W_S_0","Y","A",12,24,18,28,7.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",21,0,1
"34","ILEMUC 13 HF DB_WL0_9","ILEMUC 13 HF DB","ILE.MUC","WS0","W","S",0,"WL0_9","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"35","ACERUB25 HF DB_WL0_8","ACERUB25 HF DB","ACE.RUB","WS0","W","S",0,"WL0_8","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"36","CORCOR06 HF_WL0_8","CORCOR06 HF","COR.COR","WS0","W","S",0,"WL0_8","W_L_0","?","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"37","ILEMUC 9 HF DB_WL0_8","ILEMUC 9 HF DB","ILE.MUC","WS0","W","S",0,"WL0_8","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"38","VACCOR 1 HF DB_WL0_6","VACCOR 1 HF DB","VAC.COR","WS0","W","S",0,"WL0_6","W_L_0","Y","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",26,0,1
"39","VIBACE02 HF DB_WL0_6","VIBACE02 HF DB","VIB.ACE","WS0","W","S",0,"WL0_6","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"40","ILEMUC 13 HF DB_WL0_5","ILEMUC 13 HF DB","ILE.MUC","WS0","W","S",0,"WL0_5","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"41","CORCOR 16 HF DB_WL0_4","CORCOR 16 HF DB","COR.COR","WS0","W","S",0,"WL0_4","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"42","ILEVER01 HF DB_WL0_4","ILEVER01 HF DB","ILE.VER","WS0","W","S",0,"WL0_4","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"43","VIBACE08 HF DB_WL0_3","VIBACE08 HF DB","VIB.ACE","WS0","W","S",0,"WL0_3","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"44","CORCOR 16 HF DB_WL0_24","CORCOR 16 HF DB","COR.COR","WS0","W","S",0,"WL0_24","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"45","PRUVIR 4 HF DB_WL0_24","PRUVIR 4 HF DB","PRU.VIR","WS0","W","S",0,"WL0_24","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"46","CORCOR 16 HF DB_WL0_23","CORCOR 16 HF DB","COR.COR","WS0","W","S",0,"WL0_23","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"47","VACCOR 6 HF DB_WL0_23","VACCOR 6 HF DB","VAC.COR","WS0","W","S",0,"WL0_23","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"48","ACEPEN14 HF DB_WL0_22","ACEPEN14 HF DB","ACE.PEN","WS0","W","S",0,"WL0_22","W_L_0","?","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"49","COMPER ? HF DB_WL0_22","COMPER ? HF DB","COM.PER","WS0","W","S",0,"WL0_22","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"50","ILEMUC 11 HF DB_WL0_21","ILEMUC 11 HF DB","ILE.MUC","WS0","W","S",0,"WL0_21","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"51","ACEPEN15 HF DB_WL0_20","ACEPEN15 HF DB","ACE.PEN","WS0","W","S",0,"WL0_20","W_L_0","?","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"52","ACERUB25 HF DB_WL0_20","ACERUB25 HF DB","ACE.RUB","WS0","W","S",0,"WL0_20","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"53","ACEPEN17 HF DB_WL0_2","ACEPEN17 HF DB","ACE.PEN","WS0","W","S",0,"WL0_2","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"54","PRUVIR 6 HF DB_WL0_2","PRUVIR 6 HF DB","PRU.VIR","WS0","W","S",0,"WL0_2","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"55","ILEMUC 10 HF DB_WL0_19","ILEMUC 10 HF DB","ILE.MUC","WS0","W","S",0,"WL0_19","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"56","PRUVIR 3 HF DB_WL0_19","PRUVIR 3 HF DB","PRU.VIR","WS0","W","S",0,"WL0_19","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"57","ACERUB25 HF DB_WL0_18","ACERUB25 HF DB","ACE.RUB","WS0","W","S",0,"WL0_18","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"58","VACCOR 7 HF DB_WL0_18","VACCOR 7 HF DB","VAC.COR","WS0","W","S",0,"WL0_18","W_L_0","Y","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",21,0,1
"59","ACERUB22 HF DB_WL0_17","ACERUB22 HF DB","ACE.RUB","WS0","W","S",0,"WL0_17","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"60","ILEMUC 10 HF DB_WL0_17","ILEMUC 10 HF DB","ILE.MUC","WS0","W","S",0,"WL0_17","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"61","VIBACE5 HF DB_WL0_17","VIBACE5 HF DB","VIB.ACE","WS0","W","S",0,"WL0_17","W_L_0","?","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"62","VACCOR 11 HF DB_WL0_16","VACCOR 11 HF DB","VAC.COR","WS0","W","S",0,"WL0_16","W_L_0","Y","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",28,0,1
"63","VIBACE01 HF DB_WL0_16","VIBACE01 HF DB","VIB.ACE","WS0","W","S",0,"WL0_16","W_L_0","?","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"64","ACEPEN18 HF DB_WL0_15","ACEPEN18 HF DB","ACE.PEN","WS0","W","S",0,"WL0_15","W_L_0","?","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"65","ACERUB23 HF DB_WL0_15","ACERUB23 HF DB","ACE.RUB","WS0","W","S",0,"WL0_15","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"66","COMPER 3 HF DB_WL0_14","COMPER 3 HF DB","COM.PER","WS0","W","S",0,"WL0_14","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"67","COMPER 5 HF DB_WL0_13","COMPER 5 HF DB","COM.PER","WS0","W","S",0,"WL0_13","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"68","VACCOR 11 HF DB_WL0_12","VACCOR 11 HF DB","VAC.COR","WS0","W","S",0,"WL0_12","W_L_0","Y","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",26,0,1
"69","COMPER 5 HF DB_WL0_11","COMPER 5 HF DB","COM.PER","WS0","W","S",0,"WL0_11","W_L_0","Y","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",47,0,1
"70","CORCOR 15 HF DB_WL0_10","CORCOR 15 HF DB","COR.COR","WS0","W","S",0,"WL0_10","W_L_0","?","?",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"71","CORCOR 17 HF DB_WL0_1","CORCOR 17 HF DB","COR.COR","WS0","W","S",0,"WL0_1","W_L_0","Y","A",8,24,18,28,3.00434216321592,17.0060790285023,25.0026052979295,"flo_day.60.",63,0,1
"72","ACERUB25 HF DB_CS0_9","ACERUB25 HF DB","ACE.RUB","CS0","C","S",0,"CS0_9","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"73","PRUPEN16 HF DB_CS0_9","PRUPEN16 HF DB","PRU.PEN","CS0","C","S",0,"CS0_9","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"74","ACERUB29 HF DB_CS0_8","ACERUB29 HF DB","ACE.RUB","CS0","C","S",0,"CS0_8","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"75","COMPER 6 HF DB_CS0_8","COMPER 6 HF DB","COM.PER","CS0","C","S",0,"CS0_8","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"76","VACCOR 7 HF DB_CS0_7","VACCOR 7 HF DB","VAC.COR","CS0","C","S",0,"CS0_7","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"77","VIBACE06 HF DB_CS0_7","VIBACE06 HF DB","VIB.ACE","CS0","C","S",0,"CS0_7","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
