"","name","species","pollination","flower_color","min_precip","min_temp","root_depth_in","shade_tol","seed_pound","height_mat","frost_free","moisture_use","fl_conspic","drought_tol","pol","flo_view"
"11","Hamamelis_virginiana","HAVI","insect","yellow",30,-28,20,"med",11000,20,120,"M","Y","L",0,0
"1","Acer_pensylvanicum","ACPE","insect","yellow",24,-47,28,"tol",11360,35,90,"L","N","L",0,1
"2","Acer_rubrum","ACRU","wind","red",25,-47,30,"med",22720,68,80,"H","Y","M",1,0
"3","Acer_saccharum","ACSA","wind","green",22,-47,40,"tol",6540,100,80,"M","N","M",1,1
"15","Populus_tremuloides","POTR","wind","blue",7,-70,32,"intol",3248000,65,70,"H","N","L",1,1
"9","Fagus_grandifolia","FAGR","wind","green",28,-44,32,"tol",1600,80,92,"M","N","H",1,1
"18","Quercus_velutina","QUVE","wind","yellow",30,-30,40,"med",245,80,140,"M","N","L",1,1
"17","Quercus_rubra","QURU","wind","yellow",30,-35,36,"med",125,81,100,"M","N","L",1,1
"5","Betula_alleghaniensis","BEAL","wind","yellow",25,-47,30,"med",446400,75,60,"M","N","M",1,1
"6","Betula_lenta","BELE","wind","yellow",29,-26,28,"into",646000,60,90,"M","N","M",1,1
"7","Betula_papyrifera","BEPA","wind","yellow",12,-62,24,"intol",1380800,70,80,"H","Y","L",1,0
"8","Betula_populifolia","BEPO","wind","brown",36,-35,18,"med",4256000,25,90,"L","N","M",1,1
"16","Prunus_serotina","PRSE","insect","white",21,-33,36,"intol",4800,80,120,"M","Y","M",0,0
"4","Amelanchier_arborea","AMSP","insect","white",26,-47,20,"tol",79832,36,120,"M","Y","L",0,0
"24","Cornus_alternifolia","COAL","insect","white",24,-47,20,"tol",8000,25,120,"M","Y","L",0,0
"14","Nyssa_sylvatica","NYSY","insect","green",40,-18,30,"tol",3360,95,140,"M","N","L",0,1
"13","Kalmia_latifolia","KALA","insect","purple",32,-23,14,"tol",1500,6,150,"L","Y","H",0,0
"22","Lyonia_ligustrina","LYLI","insect","white",39,-29,12,"tol",NA,9,128,NA,"N","H",0,1
"19","Vaccinium_corymbosum","VACO","insect","white",32,-33,16,"tol",975000,12,100,"M","N","L",0,1
"12","Ilex_verticillata","ILVE","insect","white",35,-28,16,"med",92000,10,140,"H","N","",0,1
"23","Sambucus_racemosa","SAPU","insect","white",24,-33,24,"med",284500,18,200,"H","Y","L",0,0
"21","Viburnum_nudum","VICA","insect","white",35,-33,14,"tol",27600,15,110,"M","Y","M",0,0
"10","Fraxinus_americana","FRAM","wind","yellow",28,-34,40,"intol",10000,90,90,"H","N","L",1,1
