"","species","mean.petal","mean.pdsi","meanspringT"
"1","alleghaniensis",4.23251351351351,-0.0213902555653347,3.65757578250134
"2","americana",5.54297777777778,-0.170196108690222,5.34296294707391
"3","angustifolia",2.97805172413793,-0.321202872026408,11.9909910124701
"4","gracilis",3.74096539792388,-0.0438851153897121,13.0313253309353
"5","hortulana",5.16553543307087,-0.220604075775482,7.33203885311255
"6","maritima",4.10282608695652,0.022377621684046,5.71777775662917
"7","mexicana",4.95775618374558,-0.331557480103802,10.8317708425845
"8","munsoniana",4.65557347670251,-0.245285285669543,9.0999999972923
"9","nigra",7.74481140350877,-0.1329528750599,0.603903898180605
"10","rivularis",4.24371171171171,0.106765065705404,12.6951515595118
"11","subcordata",4.44815492957746,-0.110699304686083,7.27333323806524
"12","texana",3.29226315789474,0.0507961640026994,17.6393939220544
"13","umbellata",4.15518374558304,-0.427439599240921,14.4941176269569
