specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,leaves,bbch.f,bbch.v,doy,bbch.v.scale,species,YEAR.hin
mexicana,19446377,BEREA,1983,3,10,3/10/83,Louisiana,caddo,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377,-93.88843278,32.59124739,county_centroid,Y,N,65,0,69,1,mexicana,3
mexicana,25174217,SAT,2008,3,30,3/30/08,Texas,mcculloch,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25174217,-99.36576394,31.20210662,county_centroid,Y,Y,65,10,90,3,mexicana,28
mexicana,21268914,UAM,1990,3,20,3/20/90,Arkansas,lincoln,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268914,-91.72609781,33.96344474,county_centroid,Y,N,67,0,79,1,mexicana,10
mexicana,11535436,LSU,1977,4,26,4/26/77,Wisconsin,dane,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535436,-89.42050383,43.06816145,county_centroid,Y,Y,65,15,116,4,mexicana,0
mexicana,22519514,KANU,2005,4,16,4/16/05,Kansas,Jackson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22519514,-95.5969444,39.4488889,geo_referenced,Y,Y,65,11,106,3,mexicana,25
mexicana,14221706,BRIT,1979,3,14,3/14/79,Texas,Smith,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14221706,-95.269183,32.375035,geo_referenced,Y,N,65,0,73,1,mexicana,0
mexicana,22620202,KANU,1969,4,20,4/20/69,Kansas,Anderson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620202,-95.24183,38.32978,geo_referenced,Y,Y,65,17,110,5,mexicana,0
mexicana,11535440,LSU,1991,3,14,3/14/91,Texas,gillespie,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535440,-98.93732734,30.30096526,county_centroid,Y,N,65,0,73,1,mexicana,11
mexicana,5894926,MISS,1964,3,8,3/8/64,Mississippi,pearl river,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894926,-89.57988952,30.77800527,county_centroid,Y,N,65,0,68,1,mexicana,0
mexicana,10246785,APCR,1971,4,3,4/3/71,Arkansas,scott,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246785,-94.0745859,34.86653654,county_centroid,Y,N,65,0,93,1,mexicana,0
mexicana,5465867,EKY,1977,4,16,4/16/77,Kentucky,harrison,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465867,-84.33002821,38.4375269,county_centroid,Y,N,65,0,106,1,mexicana,0
mexicana,5894933,MISS,1976,3,13,3/13/76,Mississippi,tishomingo,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894933,-88.24452228,34.74392738,county_centroid,Y,N,65,0,73,1,mexicana,0
mexicana,12911681,UARK,1982,3,19,3/19/82,Arkansas,scott,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911681,-94.0745859,34.86653654,county_centroid,Y,N,65,0,78,1,mexicana,2
mexicana,10246811,APCR,1998,3,28,3/28/98,Arkansas,pope,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246811,-93.03339602,35.44081908,county_centroid,Y,N,65,0,87,1,mexicana,18
mexicana,12911678,UARK,2005,3,21,3/21/05,Arkansas,saline,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911678,-92.67230801,34.65007785,county_centroid,Y,N,65,0,80,1,mexicana,25
