"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"296","4702","53.2167,14.3833","14.3833","53.2167","10","106","20","1951",111,114,3
"297","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1951",105,122,17
"323","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1952",101,106,5
"324","4697","53.0333,14","14","53.0333","50","106","20","1952",110,109,-1
"325","4702","53.2167,14.3833","14.3833","53.2167","10","106","20","1952",103,107,4
"326","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1952",112,114,2
"332","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1952",107,105,-2
"343","4848","52.9833,13.35","13.35","52.9833","45","106","20","1952",107,112,5
"363","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1952",96,102,6
"365","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1953",92,98,6
"367","4697","53.0333,14","14","53.0333","50","106","20","1953",95,91,-4
"368","4702","53.2167,14.3833","14.3833","53.2167","10","106","20","1953",93,95,2
"369","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1953",99,104,5
"376","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1953",90,95,5
"395","4948","52.8333,12.9833","12.9833","52.8333","40","106","20","1953",97,99,2
"408","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1953",92,106,14
"411","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1954",117,122,5
"413","4697","53.0333,14","14","53.0333","50","106","20","1954",123,125,2
"414","4702","53.2167,14.3833","14.3833","53.2167","10","106","20","1954",123,123,0
"415","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1954",115,123,8
"420","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1954",121,123,2
"432","4848","52.9833,13.35","13.35","52.9833","45","106","20","1954",121,123,2
"443","4948","52.8333,12.9833","12.9833","52.8333","40","106","20","1954",124,122,-2
"456","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1954",132,116,-16
"461","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1955",121,123,2
"463","4697","53.0333,14","14","53.0333","50","106","20","1955",121,125,4
"465","4710","53.1,13.8833","13.8833","53.1","75","106","20","1955",105,119,14
"466","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1955",125,129,4
"473","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1955",121,119,-2
"511","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1955",121,120,-1
"517","4697","53.0333,14","14","53.0333","50","106","20","1956",124,127,3
"519","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1956",138,139,1
"524","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1956",128,126,-2
"532","4848","52.9833,13.35","13.35","52.9833","45","106","20","1956",131,129,-2
"547","4948","52.8333,12.9833","12.9833","52.8333","40","106","20","1956",93,125,32
"563","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1956",131,119,-12
"569","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1957",96,99,3
"570","4697","53.0333,14","14","53.0333","50","106","20","1957",105,118,13
"571","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1957",118,120,2
"580","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1957",96,96,0
"609","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1957",98,96,-2
"612","4691","52.3833,13.05","13.05","52.3833","35","106","20","1958",122,123,1
"615","4789","52.8333,13.8333","13.8333","52.8333","40","106","20","1958",127,133,6
"639","5048","53.2167,13.3333","13.3333","53.2167","70","106","20","1958",128,127,-1
"643","5074","54.1,13.4","13.4","54.1","2","106","20","1958",113,133,20
"657","5159","53.7833,12.2","12.2","53.7833","10","106","20","1958",119,133,14
"666","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1958",124,122,-2
