"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"2311","2381","50.4833,8.26667","8.26667","50.4833","205","101","0","1951",130,149,19
"2315","2390","49.9833,7.96667","7.96667","49.9833","120","101","0","1951",124,101,-23
"2322","2404","50.3,9.36667","9.36667","50.3","150","101","0","1951",128,117,-11
"2326","2415","50.1667,8.06667","8.06667","50.1667","380","101","0","1951",140,118,-22
"2330","2430","50.5667,8.28333","8.28333","50.5667","200","101","0","1951",130,122,-8
"2331","2432","50.5167,8.38333","8.38333","50.5167","220","101","0","1951",137,140,3
"2334","2438","50.6167,8.35","8.35","50.6167","190","101","0","1951",134,121,-13
"2341","2496","49.75,7.3","7.3","49.75","450","101","0","1951",140,116,-24
"2347","2552","50.1667,7.55","7.55","50.1667","450","101","0","1951",143,120,-23
"2348","2565","49.9333,7.28333","7.28333","49.9333","440","101","0","1951",136,106,-30
"2349","2568","49.75,6.65","6.65","49.75","260","101","0","1951",128,108,-20
"2355","2615","50.2,6.41667","6.41667","50.2","450","101","0","1951",143,120,-23
"2363","2652","49.9833,6.88333","6.88333","49.9833","160","101","0","1951",127,110,-17
"2364","2656","49.9667,7","7","49.9667","140","101","0","1951",127,117,-10
"2372","2735","49.25,7.35","7.35","49.25","240","101","0","1951",126,110,-16
"2381","2842","48.7167,9.21667","9.21667","48.7167","391","101","0","1951",122,105,-17
"2391","2867","48.9833,9.36667","9.36667","48.9833","290","101","0","1951",102,90,-12
"2392","2869","48.9833,9.58333","9.58333","48.9833","290","101","0","1951",130,113,-17
"2401","2893","49.1333,10.1833","10.1833","49.1333","460","101","0","1951",138,109,-29
"2412","2914","48.6333,10.0167","10.0167","48.6333","620","101","0","1951",118,119,1
"2414","2916","48.6833,10.1667","10.1667","48.6833","490","101","0","1951",128,107,-21
"2427","2959","49.05,9.1","9.1","49.05","220","101","0","1951",115,112,-3
"2442","2985","48.65,9.46667","9.46667","48.65","310","101","0","1951",123,105,-18
"2459","3018","48.5,10.1167","10.1167","48.5","460","101","0","1951",138,149,11
"2475","3049","49.5333,8.48333","8.48333","49.5333","95","101","0","1951",118,114,-4
"2476","3053","49.1,8.65","8.65","49.1","140","101","0","1951",126,108,-18
"2484","3069","49.5333,9.31667","9.31667","49.5333","340","101","0","1951",137,123,-14
"2488","3076","49.4667,9.58333","9.58333","49.4667","340","101","0","1951",125,107,-18
"2491","3081","49.2833,8.73333","8.73333","49.2833","140","101","0","1951",123,117,-6
"2492","3082","49.4667,8.98333","8.98333","49.4667","130","101","0","1951",127,119,-8
"2495","3087","49.25,8.73333","8.73333","49.25","140","101","0","1951",128,121,-7
"2496","3088","49.3833,8.8","8.8","49.3833","130","101","0","1951",126,107,-19
"2497","3091","49.2667,8.75","8.75","49.2667","180","101","0","1951",118,104,-14
"2510","3124","49.4667,9.21667","9.21667","49.4667","390","101","0","1951",130,116,-14
"2513","3127","49.4167,9.28333","9.28333","49.4167","290","101","0","1951",130,114,-16
