"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"269","3515","47.7167,11.4167","11.4167","47.7167","620","129","70","1951",183,128,-55
"270","3516","47.6833,11.5667","11.5667","47.6833","680","129","70","1951",136,150,14
"291","3626","47.85,10.9","10.9","47.85","700","129","70","1951",191,137,-54
"296","3633","48.6333,11.3167","11.3167","48.6333","420","129","70","1951",186,129,-57
"299","3657","47.7167,12.4","12.4","47.7167","570","129","70","1951",196,137,-59
"302","3669","47.9833,12.1333","12.1333","47.9833","480","129","70","1951",186,127,-59
"310","3684","47.8333,11.15","11.15","47.8333","560","129","70","1951",196,131,-65
"311","3685","47.8833,11.0333","11.0333","47.8833","700","129","70","1951",188,132,-56
"316","3693","48.8333,12.9667","12.9667","48.8333","310","129","70","1951",194,125,-69
"317","3694","48.8833,12.6","12.6","48.8833","330","129","70","1951",172,119,-53
"321","3717","48.8667,13.4","13.4","48.8667","610","129","70","1951",199,135,-64
"324","3727","48.45,13.1833","13.1833","48.45","440","129","70","1951",166,116,-50
"327","3738","48.9333,11.8667","11.8667","48.9333","480","129","70","1951",138,132,-6
"328","3739","48.8167,11.7667","11.7667","48.8167","350","129","70","1951",185,124,-61
"329","3748","48.6667,12.7","12.7","48.6667","390","129","70","1951",173,136,-37
"339","3791","48.7667,11.9667","11.9667","48.7667","430","129","70","1951",187,128,-59
"342","3798","49.0833,12.8833","12.8833","49.0833","430","129","70","1951",183,123,-60
"347","3832","49.45,11.8667","11.8667","49.45","370","129","70","1951",187,124,-63
"348","3834","49.0167,12.1","12.1","49.0167","340","129","70","1951",193,133,-60
"351","3843","49.3167,11.95","11.95","49.3167","370","129","70","1951",193,139,-54
"353","3852","49.0333,11.4833","11.4833","49.0333","370","129","70","1951",184,126,-58
"356","3857","49.2,12.0333","12.0333","49.2","360","129","70","1951",193,145,-48
"358","3865","49.3167,12.85","12.85","49.3167","400","129","70","1951",194,139,-55
"360","3870","49.7,11.6333","11.6333","49.7","430","129","70","1951",161,130,-31
