"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"226","3832","49.45,11.8667","11.8667","49.45","370","102","40","1951",71,117,46
"227","3849","49.6167,11.8167","11.8167","49.6167","400","102","40","1951",75,119,44
"228","3853","49.1167,11.45","11.45","49.1167","380","102","40","1951",77,115,38
"232","3865","49.3167,12.85","12.85","49.3167","400","102","40","1951",86,128,42
"233","3870","49.7,11.6333","11.6333","49.7","430","102","40","1951",116,110,-6
"234","3873","49.75,11.7333","11.7333","49.75","470","102","40","1951",87,123,36
"236","3884","49.1667,11.45","11.45","49.1667","400","102","40","1951",76,119,43
"237","3886","49.3,11.2833","11.2833","49.3","440","102","40","1951",135,145,10
"244","3913","49.0333,11.9","11.9","49.0333","420","102","40","1951",143,129,-14
"247","3963","49.95,12.2833","12.2833","49.95","550","102","40","1951",89,134,45
"251","3967","49.7833,12.3167","12.3167","49.7833","600","102","40","1951",83,100,17
"252","3974","49.9167,12.3833","12.3833","49.9167","530","102","40","1951",114,124,10
"254","3982","49.55,12.4167","12.4167","49.55","630","102","40","1951",118,132,14
"255","3983","49.6167,12.35","12.35","49.6167","570","102","40","1951",117,129,12
"256","3986","49.4333,12.5833","12.5833","49.4333","530","102","40","1951",100,128,28
"257","3987","49.3833,12.7167","12.7167","49.3833","520","102","40","1951",85,119,34
"263","4015","49.8667,11","11","49.8667","290","102","40","1951",77,117,40
"265","4035","49.9,11.5833","11.5833","49.9","380","102","40","1951",106,120,14
"269","4055","49.95,11.1667","11.1667","49.95","450","102","40","1951",114,128,14
"270","4065","49.7,10.8167","10.8167","49.7","270","102","40","1951",78,91,13
"272","4086","50.2667,11.4833","11.4833","50.2667","380","102","40","1951",73,118,45
"273","4087","49.9667,11.3833","11.3833","49.9667","450","102","40","1951",86,128,42
"274","4093","50.1,11.65","11.65","50.1","470","102","40","1951",85,113,28
"280","4135","50.2167,11.9667","11.9667","50.2167","520","102","40","1951",93,115,22
"283","4142","50.2167,11.5667","11.5667","50.2167","580","102","40","1951",91,125,34
"286","4150","50.0667,12.1833","12.1833","50.0667","480","102","40","1951",81,122,41
"287","4151","50.15,11.9667","11.9667","50.15","590","102","40","1951",86,118,32
"288","4152","50.1333,12","12","50.1333","530","102","40","1951",115,138,23
"289","4154","50.0333,11.9667","11.9667","50.0333","600","102","40","1951",96,118,22
"291","4157","50.1,11.8833","11.8833","50.1","620","102","40","1951",135,161,26
"295","4170","49.4,10.5167","10.5167","49.4","460","102","40","1951",86,124,38
"298","4180","49.0667,10.3167","10.3167","49.0667","440","102","40","1951",93,120,27
"300","4197","49.55,11.0333","11.0333","49.55","300","102","40","1951",78,98,20
"308","4229","49.55,10.7167","10.7167","49.55","330","102","40","1951",88,118,30
"309","4231","49.45,10.6","10.6","49.45","330","102","40","1951",67,114,47
"312","4240","49.3833,10.3333","10.3333","49.3833","440","102","40","1951",104,122,18
"314","4256","49.45,10.3167","10.3167","49.45","350","102","40","1951",128,108,-20
"318","4264","48.9333,10.9833","10.9833","48.9333","410","102","40","1951",69,109,40
"319","4273","50.05,10.2333","10.2333","50.05","220","102","40","1951",65,114,49
"326","4322","50.2,10.7667","10.7667","50.2","310","102","40","1951",80,127,47
"328","4325","50.0333,10.8333","10.8333","50.0333","270","102","40","1951",82,119,37
"329","4329","50.0667,9.8","9.8","50.0667","240","102","40","1951",66,92,26
"330","4334","50.1,9.73333","9.73333","50.1","170","102","40","1951",135,144,9
"331","4335","50.1,9.8","9.8","50.1","240","102","40","1951",118,123,5
"332","4350","50.2,9.83333","9.83333","50.2","410","102","40","1951",73,111,38
"334","4364","50.15,10.4333","10.4333","50.15","290","102","40","1951",75,117,42
"335","4365","50.0667,10.6","10.6","50.0667","300","102","40","1951",105,105,0
"337","4371","50.0833,10.5667","10.5667","50.0833","360","102","40","1951",89,109,20
"338","4386","49.7167,10.2167","10.2167","49.7167","230","102","40","1951",122,118,-4
"339","4395","50.2667,10.5333","10.5333","50.2667","300","102","40","1951",105,125,20
"340","4405","49.85,9.6","9.6","49.85","150","102","40","1951",66,113,47
"346","4437","50.0167,10.2833","10.2833","50.0167","230","102","40","1951",106,120,14
"347","4445","49.8833,10.0333","10.0333","49.8833","260","102","40","1951",74,118,44
"349","4458","47.7333,10.3167","10.3167","47.7333","680","102","40","1951",72,100,28
"351","4463","48.2833,10.7","10.7","48.2833","530","102","40","1951",120,124,4
"352","4466","48.35,10.8333","10.8333","48.35","500","102","40","1951",72,115,43
"354","4469","48.55,10.3","10.3","48.55","440","102","40","1951",111,122,11
"360","4532","47.7,10.6","10.6","47.7","810","102","40","1951",105,115,10
"367","4591","48.4833,10.6667","10.6667","48.4833","450","102","40","1951",143,123,-20
"383","142","54.5,11.1","11.1","54.5","6","102","40","1952",104,124,20
"388","215","54.2333,9.66667","9.66667","54.2333","6","102","40","1952",116,106,-10
"390","244","54.5167,9.56667","9.56667","54.5167","18","102","40","1952",83,108,25
"396","519","51.95,10.1167","10.1167","51.95","130","102","40","1952",89,111,22
"397","531","51.95,9.73333","9.73333","51.95","200","102","40","1952",86,108,22
"399","553","51.7167,10","10","51.7167","130","102","40","1952",103,119,16
"402","568","51.6,10.55","10.55","51.6","340","102","40","1952",101,111,10
"404","642","52.8667,9.6","9.6","52.8667","35","102","40","1952",111,107,-4
