"","id","name","GEN.SPA","Force","Light","Chill","good_flaskid","flo_day","Lbb_day","leaf_day","Lexpand_day","treatcode","Flo.poss.","Dead.alive"
"55","ACESAC13 HF DB_WS0_14","ACESAC13 HF DB","ACE.SAC","W","L",0,"WS0_14",NA,NA,NA,NA,"W_S_0","N","?"
"56","PRUVIR 4 HF DB_WS0_14","PRUVIR 4 HF DB","PRU.VIR","W","L",0,"WS0_14",NA,NA,56,45,"W_S_0","N","A"
"57","VACCOR 1 HF DB_WS0_14","VACCOR 1 HF DB","VAC.COR","W","L",0,"WS0_14",26,30,37,35,"W_S_0","Y","A"
"58","ACESAC18 HF DB_WS0_13","ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_13",NA,NA,NA,NA,"W_S_0","N","?"
"59","BETALL25 HF DB_WS0_13","BETALL25 HF DB","BET.ALL","W","L",0,"WS0_13",NA,35,63,37,"W_S_0","N","A"
"60","CORCOR07_HF_WS0_13","CORCOR07_HF","COR.COR","W","L",0,"WS0_13",NA,90,NA,NA,"W_S_0","N","A"
"61","ACERUB23 HF DB_WS0_12","ACERUB23 HF DB","ACE.RUB","W","L",0,"WS0_12",NA,NA,NA,NA,"W_S_0","?","?"
"62","BETALL33 HF DB_WS0_12","BETALL33 HF DB","BET.ALL","W","L",0,"WS0_12",NA,76,79,68,"W_S_0","N","A"
"63","PRUPEN 24 HF DB_WS0_12","PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_12",28,16,21,19,"W_S_0","Y","A"
"64","COMPER 6 HF DB_WS0_11","COMPER 6 HF DB","COM.PER","W","L",0,"WS0_11",NA,NA,NA,NA,"W_S_0","?","?"
"65","CORCOR14 HF DB_WS0_11","CORCOR14 HF DB","COR.COR","W","L",0,"WS0_11",NA,63,76,68,"W_S_0","N","A"
"66","ILEMUC 10 HF DB_WS0_11","ILEMUC 10 HF DB","ILE.MUC","W","L",0,"WS0_11",33,NA,33,NA,"W_S_0","Y","A"
"67","ACEPEN14 HF DB_WS0_10","ACEPEN14 HF DB","ACE.PEN","W","L",0,"WS0_10",NA,68,76,73,"W_S_0","N","A"
"68","ILEMUC 12 HF DB_WS0_10","ILEMUC 12 HF DB","ILE.MUC","W","L",0,"WS0_10",63,50,63,82,"W_S_0","Y","A"
"69","VIBACE07 HF DB_WS0_10","VIBACE07 HF DB","VIB.ACE","W","L",0,"WS0_10",NA,NA,NA,NA,"W_S_0","?","?"
"70","ACERUB29 HF DB_WS0_1","ACERUB29 HF DB","ACE.RUB","W","L",0,"WS0_1",NA,NA,NA,NA,"W_S_0","?","?"
"71","CORCOR08_HF_WS0_1","CORCOR08_HF","COR.COR","W","L",0,"WS0_1",NA,73,NA,79,"W_S_0","?","D"
"72","VACCOR 11 HF DB_WS0_1","VACCOR 11 HF DB","VAC.COR","W","L",0,"WS0_1",21,16,26,19,"W_S_0","Y","A"
