name,GEN.SPA,Force,Light,Chill,good_flaskid,term.F,term.L,lat.F,lat.L,date
CORCOR08_HF,COR.COR,W,S,0,WS0_1,0,0,0,0,11/23/17
VACCOR 11 HF DB,VAC.COR,W,S,0,WS0_1,0,0,0,0,11/23/17
ACERUB22 HF DB,ACE.RUB,W,L,0,WL0_9,0,0,0,0,11/23/17
BETALL25 HF DB,BET.ALL,W,L,0,WL0_9,0,0,0,0,11/23/17
ILEMUC 13 HF DB,ILE.MUC,W,L,0,WL0_9,0,0,0,0,11/23/17
ACERUB25 HF DB,ACE.RUB,W,L,0,WL0_8,0,0,0,0,11/23/17
CORCOR06 HF,COR.COR,W,L,0,WL0_8,0,0,0,0,11/23/17
ILEMUC 9 HF DB,ILE.MUC,W,L,0,WL0_8,0,0,0,0,11/23/17
PRUPEN 23 HF DB,PRU.PEN,W,L,0,WL0_7,0,0,0,0,11/23/17
PRUVIR 5 HF DB,PRU.VIR,W,L,0,WL0_7,0,0,0,0,11/23/17
VIBACE04 HF DB,VIB.ACE,W,L,0,WL0_7,0,0,0,0,11/23/17
PRUVIR 7 HF DB,PRU.VIR,W,L,0,WL0_6,0,0,0,0,11/23/17
VACCOR 1 HF DB,VAC.COR,W,L,0,WL0_6,0,0,0,0,11/23/17
VIBACE02 HF DB,VIB.ACE,W,L,0,WL0_6,0,0,0,0,11/23/17
ACESAC12 HF DB,ACE.SAC,W,L,0,WL0_5,0,0,0,0,11/23/17
BETALL26 HF DB,BET.ALL,W,L,0,WL0_5,0,0,0,0,11/23/17
ILEMUC 13 HF DB,ILE.MUC,W,L,0,WL0_5,0,0,0,0,11/23/17
CORCOR 16 HF DB,COR.COR,W,L,0,WL0_4,0,0,0,0,11/23/17
ILEVER01 HF DB,ILE.VER,W,L,0,WL0_4,0,0,0,0,11/23/17
VIBACE HF9 DB,VIB.ACE,W,L,0,WL0_4,0,0,0,0,11/23/17
COMPER 8 HF DB,COM.PER,W,L,0,WL0_3,0,0,0,0,11/23/17
ILEVER08 HF DB,ILE.VER,W,L,0,WL0_3,0,0,0,0,11/23/17
VIBACE08 HF DB,VIB.ACE,W,L,0,WL0_3,0,0,0,0,11/23/17
CORCOR 16 HF DB,COR.COR,W,L,0,WL0_24,0,0,0,0,11/23/17
ILEVER01 HF DB,ILE.VER,W,L,0,WL0_24,0,0,0,0,11/23/17
PRUVIR 4 HF DB,PRU.VIR,W,L,0,WL0_24,0,0,0,0,11/23/17
CORCOR 16 HF DB,COR.COR,W,L,0,WL0_23,0,0,0,0,11/23/17
PRUPEN 26 HF DB,PRU.PEN,W,L,0,WL0_23,0,0,0,0,11/23/17
