"id","leaf_day","flo_day","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"COMPER 8 HF DB_WS0_15",NA,NA,"COMPER 8 HF DB","COM.PER","W","L",0,"WS0_15"
"PRUVIR 6 HF DB_WS0_15",82,96,"PRUVIR 6 HF DB","PRU.VIR","W","L",0,"WS0_15"
"ACESAC13 HF DB_WS0_14",NA,NA,"ACESAC13 HF DB","ACE.SAC","W","L",0,"WS0_14"
"PRUVIR 4 HF DB_WS0_14",56,NA,"PRUVIR 4 HF DB","PRU.VIR","W","L",0,"WS0_14"
"VACCOR 1 HF DB_WS0_14",37,26,"VACCOR 1 HF DB","VAC.COR","W","L",0,"WS0_14"
"ACESAC18 HF DB_WS0_13",NA,NA,"ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_13"
"BETALL25 HF DB_WS0_13",63,NA,"BETALL25 HF DB","BET.ALL","W","L",0,"WS0_13"
"CORCOR07_HF_WS0_13",NA,NA,"CORCOR07_HF","COR.COR","W","L",0,"WS0_13"
"ACERUB23 HF DB_WS0_12",NA,NA,"ACERUB23 HF DB","ACE.RUB","W","L",0,"WS0_12"
"BETALL33 HF DB_WS0_12",79,NA,"BETALL33 HF DB","BET.ALL","W","L",0,"WS0_12"
"PRUPEN 24 HF DB_WS0_12",21,28,"PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_12"
"COMPER 6 HF DB_WS0_11",NA,NA,"COMPER 6 HF DB","COM.PER","W","L",0,"WS0_11"
"CORCOR14 HF DB_WS0_11",76,NA,"CORCOR14 HF DB","COR.COR","W","L",0,"WS0_11"
"ILEMUC 10 HF DB_WS0_11",33,33,"ILEMUC 10 HF DB","ILE.MUC","W","L",0,"WS0_11"
"ACEPEN14 HF DB_WS0_10",76,NA,"ACEPEN14 HF DB","ACE.PEN","W","L",0,"WS0_10"
"ILEMUC 12 HF DB_WS0_10",63,63,"ILEMUC 12 HF DB","ILE.MUC","W","L",0,"WS0_10"
"VIBACE07 HF DB_WS0_10",NA,NA,"VIBACE07 HF DB","VIB.ACE","W","L",0,"WS0_10"
"ACERUB29 HF DB_WS0_1",NA,NA,"ACERUB29 HF DB","ACE.RUB","W","L",0,"WS0_1"
"CORCOR08_HF_WS0_1",NA,NA,"CORCOR08_HF","COR.COR","W","L",0,"WS0_1"
"VACCOR 11 HF DB_WS0_1",26,21,"VACCOR 11 HF DB","VAC.COR","W","L",0,"WS0_1"
"ACERUB22 HF DB_WL0_9",NA,NA,"ACERUB22 HF DB","ACE.RUB","W","S",0,"WL0_9"
"BETALL25 HF DB_WL0_9",61,NA,"BETALL25 HF DB","BET.ALL","W","S",0,"WL0_9"
"ILEMUC 13 HF DB_WL0_9",NA,NA,"ILEMUC 13 HF DB","ILE.MUC","W","S",0,"WL0_9"
"ACERUB25 HF DB_WL0_8",NA,NA,"ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_8"
"CORCOR06 HF_WL0_8",NA,NA,"CORCOR06 HF","COR.COR","W","S",0,"WL0_8"
"ILEMUC 9 HF DB_WL0_8",NA,NA,"ILEMUC 9 HF DB","ILE.MUC","W","S",0,"WL0_8"
"PRUPEN 23 HF DB_WL0_7",54,NA,"PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_7"
"PRUVIR 5 HF DB_WL0_7",21,NA,"PRUVIR 5 HF DB","PRU.VIR","W","S",0,"WL0_7"
"VIBACE04 HF DB_WL0_7",NA,NA,"VIBACE04 HF DB","VIB.ACE","W","S",0,"WL0_7"
"PRUVIR 7 HF DB_WL0_6",NA,NA,"PRUVIR 7 HF DB","AME.SPP","W","S",0,"WL0_6"
"VACCOR 1 HF DB_WL0_6",54,26,"VACCOR 1 HF DB","VAC.COR","W","S",0,"WL0_6"
"VIBACE02 HF DB_WL0_6",NA,NA,"VIBACE02 HF DB","VIB.ACE","W","S",0,"WL0_6"
"ACESAC12 HF DB_WL0_5",NA,NA,"ACESAC12 HF DB","ACE.SAC","W","S",0,"WL0_5"
"BETALL26 HF DB_WL0_5",63,NA,"BETALL26 HF DB","BET.ALL","W","S",0,"WL0_5"
"ILEMUC 13 HF DB_WL0_5",NA,NA,"ILEMUC 13 HF DB","ILE.MUC","W","S",0,"WL0_5"
"CORCOR 16 HF DB_WL0_4",NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_4"
"ILEVER01 HF DB_WL0_4",37,NA,"ILEVER01 HF DB","ILE.VER","W","S",0,"WL0_4"
"VIBACE HF9 DB_WL0_4",NA,NA,"VIBACE HF9 DB","VIB.ACE","W","S",0,"WL0_4"
"COMPER 8 HF DB_WL0_3",40,NA,"COMPER 8 HF DB","COM.PER","W","S",0,"WL0_3"
"ILEVER08 HF DB_WL0_3",45,NA,"ILEVER08 HF DB","ILE.VER","W","S",0,"WL0_3"
"VIBACE08 HF DB_WL0_3",NA,NA,"VIBACE08 HF DB","VIB.ACE","W","S",0,"WL0_3"
"CORCOR 16 HF DB_WL0_24",NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_24"
"ILEVER01 HF DB_WL0_24",37,NA,"ILEVER01 HF DB","ILE.VER","W","S",0,"WL0_24"
"PRUVIR 4 HF DB_WL0_24",NA,NA,"PRUVIR 4 HF DB","PRU.VIR","W","S",0,"WL0_24"
"CORCOR 16 HF DB_WL0_23",NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_23"
"PRUPEN 26 HF DB_WL0_23",42,NA,"PRUPEN 26 HF DB","PRU.PEN","W","S",0,"WL0_23"
"VACCOR 6 HF DB_WL0_23",NA,NA,"VACCOR 6 HF DB","VAC.COR","W","S",0,"WL0_23"
"ACEPEN14 HF DB_WL0_22",NA,NA,"ACEPEN14 HF DB","ACE.PEN","W","S",0,"WL0_22"
"ACESAC13 HF DB_WL0_22",NA,NA,"ACESAC13 HF DB","ACE.SAC","W","S",0,"WL0_22"
"COMPER ? HF DB_WL0_22",NA,NA,"COMPER ? HF DB","COM.PER","W","S",0,"WL0_22"
"ACEPEN17 HF DB_WL0_21",98,NA,"ACEPEN17 HF DB","ACE.PEN","W","S",0,"WL0_21"
"ACESAC16 HF DB_WL0_21",NA,NA,"ACESAC16 HF DB","ACE.SAC","W","S",0,"WL0_21"
"ILEMUC 11 HF DB_WL0_21",NA,NA,"ILEMUC 11 HF DB","ILE.MUC","W","S",0,"WL0_21"
"ACEPEN15 HF DB_WL0_20",117,NA,"ACEPEN15 HF DB","ACE.PEN","W","S",0,"WL0_20"
"ACERUB25 HF DB_WL0_20",NA,NA,"ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_20"
"PRUPEN 21 HF DB_WL0_20",52,NA,"PRUPEN 21 HF DB","BET.SPP","W","S",0,"WL0_20"
"ACEPEN17 HF DB_WL0_2",NA,NA,"ACEPEN17 HF DB","ACE.PEN","W","S",0,"WL0_2"
"PRUPEN 23 HF DB_WL0_2",NA,NA,"PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_2"
"PRUVIR 6 HF DB_WL0_2",NA,NA,"PRUVIR 6 HF DB","PRU.VIR","W","S",0,"WL0_2"
"ACESAC17 HF DB_WL0_19",NA,NA,"ACESAC17 HF DB","ACE.SAC","W","S",0,"WL0_19"
"ILEMUC 10 HF DB_WL0_19",NA,NA,"ILEMUC 10 HF DB","ILE.MUC","W","S",0,"WL0_19"
"PRUVIR 3 HF DB_WL0_19",NA,NA,"PRUVIR 3 HF DB","PRU.VIR","W","S",0,"WL0_19"
"ACERUB25 HF DB_WL0_18",NA,NA,"ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_18"
"BETALL32 HF DB_WL0_18",54,NA,"BETALL32 HF DB","BET.ALL","W","S",0,"WL0_18"
"VACCOR 7 HF DB_WL0_18",54,21,"VACCOR 7 HF DB","VAC.COR","W","S",0,"WL0_18"
"ACERUB22 HF DB_WL0_17",NA,NA,"ACERUB22 HF DB","ACE.RUB","W","S",0,"WL0_17"
"ILEMUC 10 HF DB_WL0_17",NA,NA,"ILEMUC 10 HF DB","ILE.MUC","W","S",0,"WL0_17"
"VIBACE5 HF DB_WL0_17",NA,NA,"VIBACE5 HF DB","VIB.ACE","W","S",0,"WL0_17"
"ACESAC17 HF DB_WL0_16",NA,NA,"ACESAC17 HF DB","ACE.SAC","W","S",0,"WL0_16"
"VACCOR 11 HF DB_WL0_16",30,28,"VACCOR 11 HF DB","VAC.COR","W","S",0,"WL0_16"
"VIBACE01 HF DB_WL0_16",NA,NA,"VIBACE01 HF DB","VIB.ACE","W","S",0,"WL0_16"
"ACEPEN18 HF DB_WL0_15",104,NA,"ACEPEN18 HF DB","ACE.PEN","W","S",0,"WL0_15"
"ACERUB23 HF DB_WL0_15",NA,NA,"ACERUB23 HF DB","ACE.RUB","W","S",0,"WL0_15"
"BETALL32 HF DB_WL0_15",73,NA,"BETALL32 HF DB","BET.ALL","W","S",0,"WL0_15"
"COMPER 3 HF DB_WL0_14",NA,NA,"COMPER 3 HF DB","COM.PER","W","S",0,"WL0_14"
"ILEVER10 HF DB_WL0_14",NA,NA,"ILEVER10 HF DB","ILE.VER","W","S",0,"WL0_14"
