"","id","leaf_day","flo_day","flo_dayF","flo_dayM","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"53","CORCOR14 HF DB_WS1_20",40,NA,NA,24,"CORCOR14 HF DB","COR.COR","W","S",1,"WS1_20"
"54","CORCOR08_HF_WS1_2",45,NA,37,NA,"CORCOR08_HF","COR.COR","W","S",1,"WS1_2"
"55","CORCOR07_HF_WS1_19",NA,NA,NA,NA,"CORCOR07_HF","COR.COR","W","S",1,"WS1_19"
"56","COMPER 3 HF DB_WS1_13",26,NA,12,30,"COMPER 3 HF DB","COM.PER","W","S",1,"WS1_13"
"57","COMPER 3 HF DB_WS1_12",22,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","S",1,"WS1_12"
"58","CORCOR10_HF_WS1_12",65,NA,NA,NA,"CORCOR10_HF","COR.COR","W","S",1,"WS1_12"
"59","COMPER 2 HF DB_WS1_11",48,NA,9,19,"COMPER 2 HF DB","COM.PER","W","S",1,"WS1_11"
"60","COMPER 3 HF DB_WS1_10",26,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","S",1,"WS1_10"
"61","COMPER ? HF DB_WL1_9",42,NA,NA,14,"COMPER ? HF DB","COM.PER","W","L",1,"WL1_9"
"62","COMPER 4 HF DB_WL1_8",33,NA,12,33,"COMPER 4 HF DB","COM.PER","W","L",1,"WL1_8"
"63","CORCOR06 HF_WL1_7",26,NA,NA,NA,"CORCOR06 HF","COR.COR","W","L",1,"WL1_7"
"64","CORCOR10_HF_WL1_5",NA,NA,NA,NA,"CORCOR10_HF","COR.COR","W","L",1,"WL1_5"
"65","CORCOR09_HF_WL1_4",48,NA,NA,NA,"CORCOR09_HF","COR.COR","W","L",1,"WL1_4"
"66","CORCOR 15 HF DB_WL1_22",NA,NA,NA,NA,"CORCOR 15 HF DB","COR.COR","W","L",1,"WL1_22"
"67","COMPER 6 HF DB_WL1_20",30,NA,17,17,"COMPER 6 HF DB","COM.PER","W","L",1,"WL1_20"
"68","COMPER 5 HF DB_WL1_2",35,NA,30,17,"COMPER 5 HF DB","COM.PER","W","L",1,"WL1_2"
"69","CORCOR16 HF_WL1_18",54,NA,28,37,"CORCOR16 HF","COR.COR","W","L",1,"WL1_18"
"70","COMPER 5 HF DB_WL1_14",42,NA,NA,12,"COMPER 5 HF DB","COM.PER","W","L",1,"WL1_14"
"71","CORCOR16_HF_WL1_14",54,NA,NA,NA,"CORCOR16_HF","COR.COR","W","L",1,"WL1_14"
"72","COMPER 3 HF DB_WL1_13",45,NA,NA,37,"COMPER 3 HF DB","COM.PER","W","L",1,"WL1_13"
"73","COMPER 8 HF DB_CS1_9",62,NA,35,51,"COMPER 8 HF DB","COM.PER","C","S",1,"CS1_9"
"74","COMPER 6 HF DB_CS1_8",NA,NA,NA,28,"COMPER 6 HF DB","COM.PER","C","S",1,"CS1_8"
"75","CORCOR 16 HF DB_CS1_8",NA,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","C","S",1,"CS1_8"
"76","COMPER 8 HF DB_CS1_4",68,NA,NA,28,"COMPER 8 HF DB","COM.PER","C","S",1,"CS1_4"
"77","CORCOR14 HF DB_CS1_3",62,NA,NA,NA,"CORCOR14 HF DB","COR.COR","C","S",1,"CS1_3"
