,nomen,name,flask_id,treat,new_num
108,Acer_saccharum,ACESAC19 HF DB,CL1_15,CL1,
110,Acer_saccharum,ACESAC18 HF DB,CL1_15,CL1,16
420,Prunus_pensylvanica,PRUPEN 21 HF DB,CL1_15,CL1,
34,Acer_pensylvanicum,ACEPEN20 HF DB,CL1_16,CL1,
238,Comptonia_peregrina,COMPER 1 HF DB,CL1_16,CL1,
352,Ilex_verticilata,ILEVER09 HF DB1,CL1_16,CL1,15
303,Ilex_mucronata,ILEMUC 12 HF DB,CL1_17,CL1,
454,Prunus_virginiana,PRUVIR 6 HF DB,CL1_17,CL1,
527,Vaccinium_corymbosum,VACCOR 4 HF DB,CL1_17,CL1,
456,Prunus_virginiana,PRUVIR 4 HF DB,CL1_18,CL1,
536,Viburnum_acerifolium,VIBACE5 HF DB,CL1_18,CL1,
555,Viburnum_acerifolium,VIBACE02 HF DB,CL1_18,CL1,19
79,Acer_rubrum,ACERUB22 HF DB,CL1_19,CL1,18
97,Acer_saccharum,ACESAC17 HF DB,CL1_19,CL1,
460,Prunus_virginiana,PRUVIR 5 HF DB,CL1_19,CL1,
132,Acer_saccharum,ACESAC17 HF DB,CL1_2,CL1,
189,Betula_allagheniensis,BETALL33 HF DB,CL1_2,CL1,
367,Ilex_verticilata,ILEVER07 HF DB,CL1_2,CL1,
137,Acer_saccharum,ACESAC17 HF DB,CL1_20,CL1,
225,Comptonia_peregrina,COMPER 1 HF DB,CL1_20,CL1,
525,Vaccinium_corymbosum,VACCOR 8 HF DB,CL1_20,CL1,
245,Corylus_cornuta,CORCOR 15 HF DB,CL1_21,CL1,
257,Corylus_cornuta,CORCOR 17 HF DB,CL1_21,CL1,23
504,Vaccinium_corymbosum,VACCOR 6 HF DB,CL1_21,CL1,
261,Corylus_cornuta,CORCOR 15 HF DB,CL1_22,CL1,
421,Prunus_pensylvanica,PRUPEN 22 HF DB,CL1_22,CL1,
564,Viburnum_acerifolium,VIBACE07 HF DB,CL1_22,CL1,
168,Betula_allagheniensis,BETALL26 HF DB,CL1_23,CL1,21
375,Ilex_verticilata,ILEVER03 HF DB,CL1_23,CL1,
431,Prunus_pensylvanica,PRUPEN 22 HF DB,CL1_23,CL1,
39,Acer_pensylvanicum,ACEPEN17 HF DB,CL1_24,CL1,
207,Comptonia_peregrina,COMPER 1 HF DB,CL1_24,CL1,
302,Ilex_mucronata,ILEMUC 14 HF DB,CL1_24,CL1,
218,Comptonia_peregrina,COMPER 1 HF DB,CL1_3,CL1,
273,Corylus_cornuta,CORCOR07_HF,CL1_3,CL1,
312,Ilex_mucronata,ILEMUC 9 HF DB,CL1_3,CL1,
22,Acer_pensylvanicum,ACEPEN20 HF DB,CL1_4,CL1,
64,Acer_rubrum,ACERUB23 HF DB,CL1_4,CL1,
161,Betula_allagheniensis,BETALL25 HF DB,CL1_4,CL1,
134,Acer_saccharum,ACESAC18 HF DB,CL1_5,CL1,
230,Comptonia_peregrina,COMPER 2 HF DB,CL1_5,CL1,
441,Prunus_virginiana,PRUVIR 2 HF DB,CL1_5,CL1,
309,Ilex_mucronata,ILEMUC 11 HF DB,CL1_6,CL1,
383,Ilex_verticilata,ILEVER09 HF DB,CL1_6,CL1,
