ACERUB27 HF DB,CL0_1
COMPER 2 HF DB,CL0_1
PRUPEN 21 HF DB,CL0_1
ILEMUC 12 HF DB,CL0_10
ILEVER07 HF DB,CL0_10
VIBACE06 HF DB,CL0_10
ACEPEN17 HF DB,CL0_11
ACESAC11 HF DB,CL0_11
ILEVER05 HF DB,CL0_11
ACESAC11 HF DB,CL0_12
CORCOR09_HF,CL0_12
ILEVER08 HF DB,CL0_12
PRUPEN 24 HF DB,CL0_13
PRUVIR 7 HF DB,CL0_13
VACCOR 10 HF DB,CL0_13
ACERUB26 HF DB,CL0_14
BETALL26 HF DB,CL0_14
VIBACE4 HF DB,CL0_14
BETALL34 HF DB,CL0_15
CORCOR07_HF,CL0_15
ILEVER04 HF DB,CL0_15
CORCOR09_HF,CL0_16
VACCOR 1 HF DB,CL0_16
VIBACE01 HF DB,CL0_16
ACERUB23 HF DB,CL0_17
BETALL31 HF DB,CL0_17
CORCOR 16 HF DB,CL0_17
COMPER 6 HF DB,CL0_18
ILEMUC 12 HF DB,CL0_18
VIBACE10 HF DB,CL0_18
ACERUB23 HF DB,CL0_19
PRUVIR 6 HF DB,CL0_19
VACCOR 11 HF DB,CL0_19
BETALL33 HF DB,CL0_2
ILEVER04 HF DB,CL0_2
PRUPEN 22 HF DB,CL0_2
ACEPEN17 HF DB,CL0_20
CORCOR10_HF,CL0_20
PRUVIR 2 HF DB,CL0_20
PRUPEN 23 HF DB,CL0_21
ILEMUC 11 HF DB,CL0_21
VACCOR 3 HF DB,CL0_21
ACEPEN19 HF DB,CL0_22
ACESAC18 HF DB,CL0_22
VIBACE06 HF DB,CL0_22
VACCOR 11 HF DB,CL0_23
ACESAC12 HF DB,CL0_23
PRUPEN 23 HF DB,CL0_23
COMPER 4 HF DB,CL0_24
PRUPEN17 HF DB,CL0_24
PRUVIR 4 HF DB,CL0_24
COMPER 4 HF DB,CL0_3
CORCOR07_HF,CL0_3
ILEMUC 13 HF DB,CL0_3
BETALL32 HF DB,CL0_4
COMPER 2 HF DB,CL0_4
PRUVIR 2 HF DB,CL0_4
ACEPEN16 HF DB,CL0_5
ILEMUC 13 HF DB,CL0_5
VIBACE06 HF DB,CL0_5
ACEPEN18 HF DB,CL0_6
ACERUB25 HF DB,CL0_6
ILEMUC 10 HF DB,CL0_6
ACERUB25 HF DB,CL0_7
ACEPEN20 HF DB,CL0_7
ACESAC11 HF DB,CL0_7
ACESAC19 HF DB,CL0_8
COMPER 1 HF DB,CL0_8
PRUVIR 5 HF DB,CL0_8
BETALL32 HF DB,CL0_9
ILEVER06 HF DB,CL0_9
VACCOR 6 HF DB,CL0_9
BETALL26 HF DB,CL1_1
CORCOR07_HF,CL1_1
