name,lat,lon,ele,DBH,locality,CreationTime
ACEPEN 21 HF DB,42.467242,-72.21247796,251.769989,,,2017-08-03T17:22:11Z
ACEPEN 22 HF DB,42.46723697,-72.21247,252.163345,,,2017-08-03T17:22:48Z
ACEPEN13 HF DB,42.47364099,-72.16903497,271.009766,,,2017-07-20T15:09:04Z
ACEPEN14 HF DB,42.47301302,-72.16902701,273.80426,,,2017-07-20T15:17:30Z
ACEPEN15 HF DB,42.53709099,-72.18658802,390.311676,,,2017-07-20T18:39:30Z
ACEPEN16 HF DB,42.53726701,-72.18648199,391.302887,,,2017-07-20T18:41:20Z
ACEPEN17 HF DB,42.53774897,-72.18679103,393.042297,,,2017-07-20T18:44:13Z
ACEPEN18 HF DB,42.53767597,-72.186757,392.660248,,,2017-07-20T18:45:51Z
ACEPEN19 HF DB,42.53773699,-72.18650596,392.274872,,,2017-07-20T18:49:43Z
ACEPEN20 HF DB,42.53847199,-72.185923,394.52301,,,2017-07-20T18:53:48Z
ACERUB18 HF DB,42.47254296,-72.16993704,276.190125,,,2017-07-20T13:52:00Z
ACERUB19 HF DB,42.47282702,-72.169011,275.141754,,,2017-07-20T14:18:23Z
ACERUB20 HF DB,42.47312098,-72.16896901,272.742493,,,2017-07-20T14:24:49Z
ACERUB21 HF DB,42.47357897,-72.16902601,272.79657,,,2017-07-20T15:11:00Z
ACERUB22 HF DB,42.47311997,-72.16919599,274.365295,,,2017-07-20T15:14:05Z
ACERUB23 HF DB,42.47318502,-72.16929297,276.028076,,,2017-07-20T15:22:05Z
ACERUB24 HF DB,42.47280498,-72.16951098,281.799438,,,2017-07-20T15:29:23Z
ACERUB25 HF DB,42.472607,-72.16974802,282.754364,,,2017-07-20T15:34:21Z
ACERUB26 HF DB,42.498335,-72.20647098,256.858124,,,2017-07-20T16:28:27Z
ACERUB27 HF DB,42.49941199,-72.20676402,254.847321,,,2017-07-20T16:56:59Z
ACERUB28 HF DB,42.49950402,-72.20679897,253.89032,,,2017-07-20T16:59:32Z
ACERUB29 HF DB,42.50195104,-72.20691103,254.447845,,,2017-07-20T17:18:02Z
ACESAC11 HF DB,42.47239301,-72.16970301,272.439911,,,2017-07-20T13:34:03Z
ACESAC12 HF DB,42.47251899,-72.16981097,273.700836,,,2017-07-20T13:44:58Z
