"Genus","species","tree_id","name","lat","lon","ele","CreationTime","DBH","locality","note","nomen","assignment","group","flask_id"
"Acer","rubrum",26,"ACERUB26 HF DB",42.498335,-72.20647098,256.858124,"2017-07-20T16:28:27Z","23.9","tom swamp gate12","","Acer_rubrum","CL1",13,"CL1_13"
"Acer","rubrum",29,"ACERUB29 HF DB",42.50195104,-72.20691103,254.447845,"2017-07-20T17:18:02Z","10.6","tom swamp gate12","","Acer_rubrum","CS0",8,"CS0_8"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","WS1",9,"WS1_9"
"Acer","rubrum",29,"ACERUB29 HF DB",42.50195104,-72.20691103,254.447845,"2017-07-20T17:18:02Z","10.6","tom swamp gate12","","Acer_rubrum","WS1",18,"WS1_18"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","CL0",8,"CL0_8"
"Acer","rubrum",28,"ACERUB28 HF DB",42.49950402,-72.20679897,253.89032,"2017-07-20T16:59:32Z","16.9","tom swamp gate12","","Acer_rubrum","WL1",16,"WL1_16"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","WS0",12,"WS0_12"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","CL1",4,"CL1_4"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","CS0",8,"CS0_8"
"Acer","rubrum",27,"ACERUB27 HF DB",42.49941199,-72.20676402,254.847321,"2017-07-20T16:56:59Z","23.8","tom swamp gate12","","Acer_rubrum","CL1",14,"CL1_14"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","WL0",15,"WL0_15"
"Acer","rubrum",22,"ACERUB22 HF DB",42.47311997,-72.16919599,274.365295,"2017-07-20T15:14:05Z","5.9","slab city gate23","","Acer_rubrum","CS1",11,"CS1_11"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","WL0",18,"WL0_18"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","CS1",24,"CS1_24"
"Acer","rubrum",28,"ACERUB28 HF DB",42.49950402,-72.20679897,253.89032,"2017-07-20T16:59:32Z","16.9","tom swamp gate12","","Acer_rubrum","WS1",14,"WS1_14"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","CL0",17,"CL0_17"
"Acer","rubrum",26,"ACERUB26 HF DB",42.498335,-72.20647098,256.858124,"2017-07-20T16:28:27Z","23.9","tom swamp gate12","","Acer_rubrum","CL0",14,"CL0_14"
"Acer","rubrum",27,"ACERUB27 HF DB",42.49941199,-72.20676402,254.847321,"2017-07-20T16:56:59Z","23.8","tom swamp gate12","","Acer_rubrum","CS1",20,"CS1_20"
"Acer","rubrum",28,"ACERUB28 HF DB",42.49950402,-72.20679897,253.89032,"2017-07-20T16:59:32Z","16.9","tom swamp gate12","","Acer_rubrum","CS1",5,"CS1_5"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","WL1",15,"WL1_15"
"Acer","rubrum",22,"ACERUB22 HF DB",42.47311997,-72.16919599,274.365295,"2017-07-20T15:14:05Z","5.9","slab city gate23","","Acer_rubrum","WL1",13,"WL1_13"
"Acer","rubrum",22,"ACERUB22 HF DB",42.47311997,-72.16919599,274.365295,"2017-07-20T15:14:05Z","5.9","slab city gate23","","Acer_rubrum","WL0",17,"WL0_17"
"Acer","rubrum",22,"ACERUB22 HF DB",42.47311997,-72.16919599,274.365295,"2017-07-20T15:14:05Z","5.9","slab city gate23","","Acer_rubrum","CL1",19,"CL1_19"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","WS1",1,"WS1_1"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","WL0",20,"WL0_20"
"Acer","rubrum",26,"ACERUB26 HF DB",42.498335,-72.20647098,256.858124,"2017-07-20T16:28:27Z","23.9","tom swamp gate12","","Acer_rubrum","WS1",17,"WS1_17"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","CS0",15,"CS0_15"
"Acer","rubrum",22,"ACERUB22 HF DB",42.47311997,-72.16919599,274.365295,"2017-07-20T15:14:05Z","5.9","slab city gate23","","Acer_rubrum","WL0",9,"WL0_9"
"Acer","rubrum",28,"ACERUB28 HF DB",42.49950402,-72.20679897,253.89032,"2017-07-20T16:59:32Z","16.9","tom swamp gate12","","Acer_rubrum","WS1",21,"WS1_21"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","WS0",24,"WS0_24"
"Acer","rubrum",23,"ACERUB23 HF DB",42.47318502,-72.16929297,276.028076,"2017-07-20T15:22:05Z","12.4","slab city gate23","","Acer_rubrum","CL0",19,"CL0_19"
"Acer","rubrum",28,"ACERUB28 HF DB",42.49950402,-72.20679897,253.89032,"2017-07-20T16:59:32Z","16.9","tom swamp gate12","","Acer_rubrum","CS1",22,"CS1_22"
"Acer","rubrum",22,"ACERUB22 HF DB",42.47311997,-72.16919599,274.365295,"2017-07-20T15:14:05Z","5.9","slab city gate23","","Acer_rubrum","CL1",11,"CL1_11"
"Acer","rubrum",22,"ACERUB22 HF DB",42.47311997,-72.16919599,274.365295,"2017-07-20T15:14:05Z","5.9","slab city gate23","","Acer_rubrum","WS0",16,"WS0_16"
"Acer","rubrum",27,"ACERUB27 HF DB",42.49941199,-72.20676402,254.847321,"2017-07-20T16:56:59Z","23.8","tom swamp gate12","","Acer_rubrum","WL1",12,"WL1_12"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","CL0",6,"CL0_6"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","WL1",8,"WL1_8"
"Acer","rubrum",27,"ACERUB27 HF DB",42.49941199,-72.20676402,254.847321,"2017-07-20T16:56:59Z","23.8","tom swamp gate12","","Acer_rubrum","CL0",1,"CL0_1"
"Acer","rubrum",26,"ACERUB26 HF DB",42.498335,-72.20647098,256.858124,"2017-07-20T16:28:27Z","23.9","tom swamp gate12","","Acer_rubrum","WS0",3,"WS0_3"
"Acer","rubrum",25,"ACERUB25 HF DB",42.472607,-72.16974802,282.754364,"2017-07-20T15:34:21Z","10.1","slab city gate23","","Acer_rubrum","CS1",17,"CS1_17"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","CL1",19,"CL1_19"
"Acer","saccharum",12,"ACESAC12 HF DB",42.47251899,-72.16981097,273.700836,"2017-07-20T13:44:58Z","14.4","slab city gate23","","Acer_saccharum","WL0",5,"WL0_5"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","WL1",17,"WL1_17"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","WL0",22,"WL0_22"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","WL0",21,"WL0_21"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","WL1",17,"WL1_17"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","WS1",22,"WS1_22"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","WS1",20,"WS1_20"
"Acer","saccharum",12,"ACESAC12 HF DB",42.47251899,-72.16981097,273.700836,"2017-07-20T13:44:58Z","14.4","slab city gate23","","Acer_saccharum","CS1",16,"CS1_16"
"Acer","saccharum",18,"ACESAC18 HF DB",42.49884403,-72.20673996,253.976944,"2017-07-20T16:50:13Z","25.7","tom swamp gate12","","Acer_saccharum","CL0",22,"CL0_22"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","CL0",12,"CL0_12"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","CL1",15,"CL1_15"
"Acer","saccharum",12,"ACESAC12 HF DB",42.47251899,-72.16981097,273.700836,"2017-07-20T13:44:58Z","14.4","slab city gate23","","Acer_saccharum","CL0",23,"CL0_23"
"Acer","saccharum",18,"ACESAC18 HF DB",42.49884403,-72.20673996,253.976944,"2017-07-20T16:50:13Z","25.7","tom swamp gate12","","Acer_saccharum","CL1",15,"CL1_15"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","CS0",2,"CS0_2"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","WS1",7,"WS1_7"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","CS0",11,"CS0_11"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","CS0",16,"CS0_16"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","CS1",3,"CS1_3"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","WL1",20,"WL1_20"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","CS0",19,"CS0_19"
"Acer","saccharum",18,"ACESAC18 HF DB",42.49884403,-72.20673996,253.976944,"2017-07-20T16:50:13Z","25.7","tom swamp gate12","","Acer_saccharum","WS1",15,"WS1_15"
"Acer","saccharum",12,"ACESAC12 HF DB",42.47251899,-72.16981097,273.700836,"2017-07-20T13:44:58Z","14.4","slab city gate23","","Acer_saccharum","WS1",3,"WS1_3"
"Acer","saccharum",12,"ACESAC12 HF DB",42.47251899,-72.16981097,273.700836,"2017-07-20T13:44:58Z","14.4","slab city gate23","","Acer_saccharum","WS0",8,"WS0_8"
"Acer","saccharum",12,"ACESAC12 HF DB",42.47251899,-72.16981097,273.700836,"2017-07-20T13:44:58Z","14.4","slab city gate23","","Acer_saccharum","CS1",10,"CS1_10"
"Acer","saccharum",18,"ACESAC18 HF DB",42.49884403,-72.20673996,253.976944,"2017-07-20T16:50:13Z","25.7","tom swamp gate12","","Acer_saccharum","WS0",18,"WS0_18"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","CS1",16,"CS1_16"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","WL0",16,"WL0_16"
"Acer","saccharum",12,"ACESAC12 HF DB",42.47251899,-72.16981097,273.700836,"2017-07-20T13:44:58Z","14.4","slab city gate23","","Acer_saccharum","WL1",10,"WL1_10"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","WL0",19,"WL0_19"
"Acer","saccharum",18,"ACESAC18 HF DB",42.49884403,-72.20673996,253.976944,"2017-07-20T16:50:13Z","25.7","tom swamp gate12","","Acer_saccharum","WL1",6,"WL1_6"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","CS0",10,"CS0_10"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","CS1",1,"CS1_1"
"Acer","saccharum",18,"ACESAC18 HF DB",42.49884403,-72.20673996,253.976944,"2017-07-20T16:50:13Z","25.7","tom swamp gate12","","Acer_saccharum","WL0",10,"WL0_10"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","CL0",7,"CL0_7"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","CL1",2,"CL1_2"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","CS1",7,"CS1_7"
"Acer","saccharum",18,"ACESAC18 HF DB",42.49884403,-72.20673996,253.976944,"2017-07-20T16:50:13Z","25.7","tom swamp gate12","","Acer_saccharum","CL1",5,"CL1_5"
"Acer","saccharum",18,"ACESAC18 HF DB",42.49884403,-72.20673996,253.976944,"2017-07-20T16:50:13Z","25.7","tom swamp gate12","","Acer_saccharum","WS0",13,"WS0_13"
"Acer","saccharum",11,"ACESAC11 HF DB",42.47239301,-72.16970301,272.439911,"2017-07-20T13:34:03Z","8.4","slab city gate23","","Acer_saccharum","CL0",11,"CL0_11"
"Acer","saccharum",17,"ACESAC17 HF DB",42.47254204,-72.16999202,281.749329,"2017-07-20T15:38:24Z","21","slab city gate23","","Acer_saccharum","CL1",20,"CL1_20"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","WS0",14,"WS0_14"
"Acer","saccharum",19,"ACESAC19 HF DB",42.53428096,-72.18898801,362.296356,"2017-07-20T18:27:13Z","89.2","prospect hill, enter by solar panels","","Acer_saccharum","WL1",3,"WL1_3"
