"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"132","7742","50.85,5.68333","5.68333","50.85","0","222","130","1899",121,NA,NA,"Prunus avium"
"133","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1899",110,NA,NA,"Prunus avium"
"134","8005","52.15,6.2","6.2","52.15","0","222","130","1899",103,NA,NA,"Prunus avium"
"135","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1900",118,NA,NA,"Prunus avium"
"137","7923","52.1,5.11667","5.11667","52.1","0","222","100","1900",117,NA,NA,"Prunus avium"
"138","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1900",116,NA,NA,"Prunus avium"
"139","8005","52.15,6.2","6.2","52.15","0","222","100","1900",117,NA,NA,"Prunus avium"
"140","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1900",120,NA,NA,"Prunus avium"
"141","7635","53.2167,6.56667","6.56667","53.2167","0","222","130","1900",123,NA,NA,"Prunus avium"
"142","7645","52.35,5.63333","5.63333","52.35","0","222","130","1900",113,NA,NA,"Prunus avium"
"143","7923","52.1,5.11667","5.11667","52.1","0","222","130","1900",125,NA,NA,"Prunus avium"
"144","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1900",111,NA,NA,"Prunus avium"
"145","7996","52.0167,4.58333","4.58333","52.0167","0","222","130","1900",131,NA,NA,"Prunus avium"
"146","8005","52.15,6.2","6.2","52.15","0","222","130","1900",117,NA,NA,"Prunus avium"
"147","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1901",117,NA,NA,"Prunus avium"
"148","7645","52.35,5.63333","5.63333","52.35","0","222","100","1901",114,NA,NA,"Prunus avium"
"150","8005","52.15,6.2","6.2","52.15","0","222","100","1901",116,NA,NA,"Prunus avium"
"152","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1901",116,NA,NA,"Prunus avium"
"153","7645","52.35,5.63333","5.63333","52.35","0","222","130","1901",114,NA,NA,"Prunus avium"
"154","7996","52.0167,4.58333","4.58333","52.0167","0","222","130","1901",134,NA,NA,"Prunus avium"
"155","8005","52.15,6.2","6.2","52.15","0","222","130","1901",117,NA,NA,"Prunus avium"
"156","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1902",113,NA,NA,"Prunus avium"
"157","7645","52.35,5.63333","5.63333","52.35","0","222","100","1902",111,NA,NA,"Prunus avium"
"159","7909","53.1,4.76667","4.76667","53.1","0","222","100","1902",126,NA,NA,"Prunus avium"
"160","7923","52.1,5.11667","5.11667","52.1","0","222","100","1902",112,NA,NA,"Prunus avium"
"161","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1902",112,NA,NA,"Prunus avium"
"162","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1902",112,NA,NA,"Prunus avium"
"163","7645","52.35,5.63333","5.63333","52.35","0","222","130","1902",109,NA,NA,"Prunus avium"
"164","7742","50.85,5.68333","5.68333","50.85","0","222","130","1902",103,NA,NA,"Prunus avium"
"165","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1902",110,NA,NA,"Prunus avium"
"166","7996","52.0167,4.58333","4.58333","52.0167","0","222","130","1902",137,NA,NA,"Prunus avium"
"167","8005","52.15,6.2","6.2","52.15","0","222","130","1902",110,NA,NA,"Prunus avium"
"168","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1903",96,NA,NA,"Prunus avium"
"170","7645","52.35,5.63333","5.63333","52.35","0","222","100","1903",98,NA,NA,"Prunus avium"
"172","7909","53.1,4.76667","4.76667","53.1","0","222","100","1903",123,NA,NA,"Prunus avium"
"173","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1903",101,NA,NA,"Prunus avium"
"174","7996","52.0167,4.58333","4.58333","52.0167","0","222","100","1903",125,NA,NA,"Prunus avium"
"175","8005","52.15,6.2","6.2","52.15","0","222","100","1903",99,NA,NA,"Prunus avium"
"176","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1903",96,NA,NA,"Prunus avium"
"177","7645","52.35,5.63333","5.63333","52.35","0","222","130","1903",89,NA,NA,"Prunus avium"
"178","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1903",91,NA,NA,"Prunus avium"
"179","8005","52.15,6.2","6.2","52.15","0","222","130","1903",91,NA,NA,"Prunus avium"
"180","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1904",112,NA,NA,"Prunus avium"
"181","7645","52.35,5.63333","5.63333","52.35","0","222","100","1904",111,NA,NA,"Prunus avium"
"182","7742","50.85,5.68333","5.68333","50.85","0","222","100","1904",105,NA,NA,"Prunus avium"
"184","7909","53.1,4.76667","4.76667","53.1","0","222","100","1904",120,NA,NA,"Prunus avium"
"185","7923","52.1,5.11667","5.11667","52.1","0","222","100","1904",119,NA,NA,"Prunus avium"
"186","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1904",111,NA,NA,"Prunus avium"
"187","8005","52.15,6.2","6.2","52.15","0","222","100","1904",109,NA,NA,"Prunus avium"
"188","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1904",112,NA,NA,"Prunus avium"
"189","7645","52.35,5.63333","5.63333","52.35","0","222","130","1904",112,NA,NA,"Prunus avium"
"190","7923","52.1,5.11667","5.11667","52.1","0","222","130","1904",119,NA,NA,"Prunus avium"
"191","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1904",112,NA,NA,"Prunus avium"
"192","8005","52.15,6.2","6.2","52.15","0","222","130","1904",110,NA,NA,"Prunus avium"
"193","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1905",115,NA,NA,"Prunus avium"
"195","7645","52.35,5.63333","5.63333","52.35","0","222","100","1905",114,NA,NA,"Prunus avium"
"196","7814","51.5833,4.51667","4.51667","51.5833","0","222","100","1905",103,NA,NA,"Prunus avium"
"197","7909","53.1,4.76667","4.76667","53.1","0","222","100","1905",121,NA,NA,"Prunus avium"
"198","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1905",118,NA,NA,"Prunus avium"
"199","8005","52.15,6.2","6.2","52.15","0","222","100","1905",112,NA,NA,"Prunus avium"
"200","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1905",118,NA,NA,"Prunus avium"
"201","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1905",118,NA,NA,"Prunus avium"
"202","7645","52.35,5.63333","5.63333","52.35","0","222","130","1905",109,NA,NA,"Prunus avium"
"203","7742","50.85,5.68333","5.68333","50.85","0","222","130","1905",103,NA,NA,"Prunus avium"
"204","7814","51.5833,4.51667","4.51667","51.5833","0","222","130","1905",103,NA,NA,"Prunus avium"
"206","8005","52.15,6.2","6.2","52.15","0","222","130","1905",116,NA,NA,"Prunus avium"
"207","7492","51.9833,5.91667","5.91667","51.9833","0","222","100","1906",105,NA,NA,"Prunus avium"
"208","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1906",109,NA,NA,"Prunus avium"
"209","7645","52.35,5.63333","5.63333","52.35","0","222","100","1906",107,NA,NA,"Prunus avium"
"210","7814","51.5833,4.51667","4.51667","51.5833","0","222","100","1906",102,NA,NA,"Prunus avium"
"211","7909","53.1,4.76667","4.76667","53.1","0","222","100","1906",112,NA,NA,"Prunus avium"
"212","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1906",104,NA,NA,"Prunus avium"
"213","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1906",110,NA,NA,"Prunus avium"
"214","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1906",109,NA,NA,"Prunus avium"
"215","7645","52.35,5.63333","5.63333","52.35","0","222","130","1906",105,NA,NA,"Prunus avium"
"216","7742","50.85,5.68333","5.68333","50.85","0","222","130","1906",102,NA,NA,"Prunus avium"
"217","7814","51.5833,4.51667","4.51667","51.5833","0","222","130","1906",103,NA,NA,"Prunus avium"
"218","7492","51.9833,5.91667","5.91667","51.9833","0","222","100","1907",126,NA,NA,"Prunus avium"
"219","7545","52.7,6.76667","6.76667","52.7","0","222","100","1907",122,NA,NA,"Prunus avium"
"220","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1907",120,NA,NA,"Prunus avium"
"222","7645","52.35,5.63333","5.63333","52.35","0","222","100","1907",114,NA,NA,"Prunus avium"
"225","7814","51.5833,4.51667","4.51667","51.5833","0","222","100","1907",109,NA,NA,"Prunus avium"
"226","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1907",115,NA,NA,"Prunus avium"
"228","7545","52.7,6.76667","6.76667","52.7","0","222","130","1907",110,NA,NA,"Prunus avium"
"229","7645","52.35,5.63333","5.63333","52.35","0","222","130","1907",111,NA,NA,"Prunus avium"
"232","7814","51.5833,4.51667","4.51667","51.5833","0","222","130","1907",105,NA,NA,"Prunus avium"
"233","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1907",108,NA,NA,"Prunus avium"
"234","7545","52.7,6.76667","6.76667","52.7","0","222","100","1908",124,NA,NA,"Prunus avium"
"235","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1908",107,NA,NA,"Prunus avium"
