"","name","y","c","d","e","f","g"
"116","Cornus_alternifolia",0,0,8,1,10,5.5
"117","Cornus_amomum",0,0,4,0,8.5,6
"118","Nyssa_sylvatica",0,0,18,1,10,5.5
"119","Vaccinium_myrtilloides",0,0,0.5,1,7.5,5.5
"120","Vaccinium_ovalifolium",1,0,1.5,1,7.5,5.5
"121","Vaccinium_pallidum",1,0,0.8,0,7.5,5.5
"122","Ilex_mucronata",0,0,4,1,7.5,5
"123","Ilex_verticillata",0,0,5,1,9.5,6
"124","Viburnum_lentago",0,0,8,1,9.5,5.5
"125","Fraxinus_quadrangulata",1,0,15,1,9.5,4
"126","Fraxinus_profunda",1,1,25,0,9,5
"127","Fraxinus_pennsylvanica",1,1,18,0,9,5
"128","Fraxinus_americana",1,1,28,1,8.5,5
"129","Fraxinus_nigra",1,1,20,1,8.5,5
"130","Syringa_vulgaris",0,0,7,0,9,5
"131","Catalpa_bignonioides",0,0,12,0,9,6.5
"132","Catalpa_speciosa",0,0,15,0,9,6.5
