name,GEN.SPA,good_flaskid,,,,
PRUVIR 6 HF DB,PRU.VIR,WS0_2,,,,
CORCOR16 HF,COR.COR,WS0_19,,,,
PRUPEN 23 HF DB,PRU.PEN,WS0_19,,,,
PRUVIR 6 HF DB,PRU.VIR,WS0_19,,,,
ACESAC18 HF DB,ACE.SAC,WS0_18,,,,
ILEMUC 10 HF DB,ILE.MUC,WS0_18,,,,
VIBACE02 HF DB,VIB.ACE,WS0_18,,,,
ACEPEN19 HF DB,ACE.PEN,WS0_17,,,,
ACERUB25 HF DB,ACE.RUB,WS0_17,,,,
PRUPEN 24 HF DB,PRU.PEN,WS0_17,,,,
COMPER 3 HF DB,COM.PER,WS0_16,,,,
VACCOR 2 HF DB,VAC.COR,WS0_16,,,,
VIBACE02 HF DB,VIB.ACE,WS0_16,,,,
ACERUB26 HF DB,ACE.RUB,WS0_15,,,,
COMPER 8 HF DB,COM.PER,WS0_15,,,,
PRUVIR 6 HF DB,PRU.VIR,WS0_15,,,,
ACESAC13 HF DB,ACE.SAC,WS0_14,,,,
PRUVIR 4 HF DB,PRU.VIR,WS0_14,,,,
VACCOR 1 HF DB,VAC.COR,WS0_14,,,,
ACESAC18 HF DB,ACE.SAC,WS0_13,,,,
BETALL25 HF DB,BET.ALL,WS0_13,,,,
CORCOR07_HF,COR.COR,WS0_13,,,,
ACERUB23 HF DB,ACE.RUB,WS0_12,,,,
BETALL33 HF DB,BET.ALL,WS0_12,,,,
PRUPEN 24 HF DB,PRU.PEN,WS0_12,,,,
COMPER 6 HF DB,COM.PER,WS0_11,,,,
CORCOR14 HF DB,COR.COR,WS0_11,,,,
ILEMUC 10 HF DB,ILE.MUC,WS0_11,,,,
ACEPEN14 HF DB,ACE.PEN,WS0_10,,,,
ILEMUC 12 HF DB,ILE.MUC,WS0_10,,,,
VIBACE07 HF DB,VIB.ACE,WS0_10,,,,
ACERUB29 HF DB,ACE.RUB,WS0_1,,,,
CORCOR08_HF,COR.COR,WS0_1,,,,
VACCOR 11 HF DB,VAC.COR,WS0_1,,,,
COMPER ? HF DB,COM.PER,WL1_9,,,,
ILEMUC 13 HF DB,ILE.MUC,WL1_9,,,,
VIBACE08 HF DB,VIB.ACE,WL1_9,,,,
ACERUB25 HF DB,ACE.RUB,WL1_8,,,,
BETALL31 HF DB,BET.ALL,WL1_8,,,,
COMPER 4 HF DB,COM.PER,WL1_8,,,,
BETALL31 HF DB,BET.ALL,WL1_7,,,,
CORCOR06 HF,COR.COR,WL1_7,,,,
PRUPEN 26 HF DB,PRU.PEN,WL1_7,,,,
ACEPEN17 HF DB,ACE.PEN,WL1_6,,,,
ACESAC18 HF DB,ACE.SAC,WL1_6,,,,
PRUPEN17 HF DB,PRU.PEN,WL1_6,,,,
BETALL34 HF DB,BET.ALL,WL1_5,,,,
CORCOR10_HF,COR.COR,WL1_5,,,,
ILEMUC 9 HF DB,ILE.MUC,WL1_5,,,,
ACEPEN20 HF DB,ACE.PEN,WL1_4,,,,
CORCOR09_HF,COR.COR,WL1_4,,,,
ILEMUC 9 HF DB,ILE.MUC,WL1_4,,,,
ACESAC13 HF DB,ACE.SAC,WL1_3,,,,
BETALL31 HF DB,BET.ALL,WL1_3,,,,
PRUPEN 24 HF DB,PRU.PEN,WL1_3,,,,
ACEPEN14 HF DB,ACE.PEN,WL1_24,,,,
ILEMUC 12 HF DB,ILE.MUC,WL1_24,,,,
ILEVER06 HF DB,ILE.VER,WL1_24,,,,
ILEMUC 14 HF DB,ILE.MUC,WL1_23,,,,
ILEVER04 HF DB,ILE.VER,WL1_23,,,,
VACCOR 7 HF DB,VAC.COR,WL1_23,,,,
CORCOR 15 HF DB,COR.COR,WL1_22,,,,
PRUPEN 23 HF DB,PRU.PEN,WL1_22,,,,
VACCOR 7 HF DB,VAC.COR,WL1_22,,,,
BETALL26 HF DB,BET.ALL,WL1_21,,,,
ILEMUC 13 HF DB,ILE.MUC,WL1_21,,,,
VACCOR 2 HF DB,VAC.COR,WL1_21,,,,
ACERUB23 HF DB,ACE.RUB,WL1_20,,,,
ACESAC13 HF DB,ACE.SAC,WL1_20,,,,
COMPER 6 HF DB,COM.PER,WL1_20,,,,
ACEPEN19 HF DB,ACE.PEN,WL1_2,,,,
COMPER 5 HF DB,COM.PER,WL1_2,,,,
VIBACE06 HF DB,VIB.ACE,WL1_2,,,,
ILEVER07 HF DB,ILE.VER,WL1_19,,,,
PRUVIR 2 HF DB,PRU.VIR,WL1_19,,,,
VIBACE06 HF DB,VIB.ACE,WL1_19,,,,
ACESAC11 HF DB,ACE.SAC,WL1_18,,,,
CORCOR16 HF,COR.COR,WL1_18,,,,
VIBACE4 HF DB,VIB.ACE,WL1_18,,,,
ACEPEN14 HF DB,ACE.PEN,WL1_17,,,,
ACESAC17 HF DB,ACE.SAC,WL1_17,,,,
VIBACE11 HF DB,VIB.ACE,WL1_17,,,,
ACEPEN16 HF DB,ACE.PEN,WL1_16,,,,
ACERUB28 HF DB,ACE.RUB,WL1_16,,,,
ILEVER06 HF DB,ILE.VER,WL1_16,,,,
ACERUB23 HF DB,ACE.RUB,WL1_15,,,,
ILEVER05 HF DB,ILE.VER,WL1_15,,,,
PRUVIR 4 HF DB,PRU.VIR,WL1_15,,,,
BETALL31 HF DB,BET.ALL,WL1_14,,,,
COMPER 5 HF DB,COM.PER,WL1_14,,,,
CORCOR16_HF,COR.COR,WL1_14,,,,
ACERUB22 HF DB,ACE.RUB,WL1_13,,,,
COMPER 3 HF DB,COM.PER,WL1_13,,,,
ILEVER05 HF DB,ILE.VER,WL1_13,,,,
PRUPEN 22 HF DB,PRU.PEN,WL1_12,,,,
PRUVIR 3 HF DB,PRU.VIR,WL1_12,,,,
VACCOR 9 HF DB,VAC.COR,WL1_12,,,,
PRUVIR 6 HF DB,PRU.VIR,WL1_11,,,,
VACCOR 7 HF DB,VAC.COR,WL1_11,,,,
VIBACE09 HF DB,VIB.ACE,WL1_11,,,,
ACESAC12 HF DB,ACE.SAC,WL1_10,,,,
PRUVIR 2 HF DB,PRU.VIR,WL1_10,,,,
VACCOR 6 HF DB,VAC.COR,WL1_10,,,,
ACERUB27 HF DB,ACE.RUB,WL1_1,,,,
PRUPEN 24 HF DB,PRU.PEN,WL1_1,,,,
PRUVIR 2 HF DB,PRU.VIR,WL1_1,,,,
ACERUB22 HF DB,ACE.RUB,WL0_9,,,,
BETALL25 HF DB,BET.ALL,WL0_9,,,,
ILEMUC 13 HF DB,ILE.MUC,WL0_9,,,,
ACERUB25 HF DB,ACE.RUB,WL0_8,,,,
CORCOR06 HF,COR.COR,WL0_8,,,,
ILEMUC 9 HF DB,ILE.MUC,WL0_8,,,,
PRUPEN 23 HF DB,PRU.PEN,WL0_7,,,,
PRUVIR 5 HF DB,PRU.VIR,WL0_7,,,,
VIBACE04 HF DB,VIB.ACE,WL0_7,,,,
PRUVIR 7 HF DB,PRU.VIR,WL0_6,,,,
VACCOR 1 HF DB,VAC.COR,WL0_6,,,,
VIBACE02 HF DB,VIB.ACE,WL0_6,,,,
ACESAC12 HF DB,ACE.SAC,WL0_5,,,,
BETALL26 HF DB,BET.ALL,WL0_5,,,,
ILEMUC 13 HF DB,ILE.MUC,WL0_5,,,,
CORCOR 16 HF DB,COR.COR,WL0_4,,,,
ILEVER01 HF DB,ILE.VER,WL0_4,,,,
VIBACE HF9 DB,VIB.ACE,WL0_4,,,,
COMPER 8 HF DB,COM.PER,WL0_3,,,,
ILEVER08 HF DB,ILE.VER,WL0_3,,,,
VIBACE08 HF DB,VIB.ACE,WL0_3,,,,
CORCOR 16 HF DB,COR.COR,WL0_24,,,,
ILEVER01 HF DB,ILE.VER,WL0_24,,,,
PRUVIR 4 HF DB,PRU.VIR,WL0_24,,,,
CORCOR 16 HF DB,COR.COR,WL0_23,,,,
PRUPEN 26 HF DB,PRU.PEN,WL0_23,,,,
VACCOR 6 HF DB,VAC.COR,WL0_23,,,,
ACEPEN14 HF DB,ACE.PEN,WL0_22,,,,
ACESAC13 HF DB,ACE.SAC,WL0_22,,,,
COMPER ? HF DB,COM.PER,WL0_22,,,,
ACEPEN17 HF DB,ACE.PEN,WL0_21,,,,
ACESAC16 HF DB,ACE.SAC,WL0_21,,,,
ILEMUC 11 HF DB,ILE.MUC,WL0_21,,,,
ACEPEN15 HF DB,ACE.PEN,WL0_20,,,,
ACERUB25 HF DB,ACE.RUB,WL0_20,,,,
PRUPEN 21 HF DB,PRU.PEN,WL0_20,,,,
ACEPEN17 HF DB,ACE.PEN,WL0_2,,,,
PRUPEN 23 HF DB,PRU.PEN,WL0_2,,,,
PRUVIR 6 HF DB,PRU.VIR,WL0_2,,,,
ACESAC17 HF DB,ACE.SAC,WL0_19,,,,
ILEMUC 10 HF DB,ILE.MUC,WL0_19,,,,
PRUVIR 3 HF DB,PRU.VIR,WL0_19,,,,
ACERUB25 HF DB,ACE.RUB,WL0_18,,,,
BETALL32 HF DB,BET.ALL,WL0_18,,,,
VACCOR 7 HF DB,VAC.COR,WL0_18,,,,
ACERUB22 HF DB,ACE.RUB,WL0_17,,,,
ILEMUC 10 HF DB,ILE.MUC,WL0_17,,,,
VIBACE5 HF DB,VIB.ACE,WL0_17,,,,
ACESAC17 HF DB,ACE.SAC,WL0_16,,,,
VACCOR 11 HF DB,VAC.COR,WL0_16,,,,
VIBACE01 HF DB,VIB.ACE,WL0_16,,,,
ACEPEN18 HF DB,ACE.PEN,WL0_15,,,,
ACERUB23 HF DB,ACE.RUB,WL0_15,,,,
BETALL32 HF DB,BET.ALL,WL0_15,,,,
COMPER 3 HF DB,COM.PER,WL0_14,,,,
ILEVER10 HF DB,ILE.VER,WL0_14,,,,
VACCOR 2 HF DB,VAC.COR,WL0_14,,,,
COMPER 5 HF DB,COM.PER,WL0_13,,,,
ILEVER07 HF DB,ILE.VER,WL0_13,,,,
PRUPEN 24 HF DB,PRU.PEN,WL0_13,,,,
BETALL25 HF DB,BET.ALL,WL0_12,,,,
ILEVER04 HF DB,ILE.VER,WL0_12,,,,
VACCOR 11 HF DB,VAC.COR,WL0_12,,,,
COMPER 5 HF DB,COM.PER,WL0_11,,,,
PRUPEN 23 HF DB,PRU.PEN,WL0_11,,,,
PRUVIR 5 HF DB,PRU.VIR,WL0_11,,,,
ACESAC18 HF DB,ACE.SAC,WL0_10,,,,
COMPER 6 HF DB,COM.PER,WL0_10,,,,
CORCOR 15 HF DB,COR.COR,WL0_10,,,,
ACEPEN18 HF DB,ACE.PEN,WL0_1,,,,
BETALL32 HF DB,BET.ALL,WL0_1,,,,
CORCOR 17 HF DB,COR.COR,WL0_1,,,,
ACEPEN15 HF DB,ACE.PEN,CS1_9,,,,
COMPER 8 HF DB,COM.PER,CS1_9,,,,
PRUPEN 21 HF DB,PRU.PEN,CS1_9,,,,
COMPER 6 HF DB,COM.PER,CS1_8,,,,
CORCOR 16 HF DB,COR.COR,CS1_8,,,,
PRUPEN 22 HF DB,PRU.PEN,CS1_8,,,,
ACESAC11 HF DB,ACE.SAC,CS1_7,,,,
BETALL26 HF DB,BET.ALL,CS1_7,,,,
PRUPEN 21 HF DB,PRU.PEN,CS1_7,,,,
ACEPEN18 HF DB,ACE.PEN,CS1_6,,,,
BETALL32 HF DB,BET.ALL,CS1_6,,,,
VACCOR 6 HF DB,VAC.COR,CS1_6,,,,
ACERUB28 HF DB,ACE.RUB,CS1_5,,,,
PRUVIR 7 HF DB,PRU.VIR,CS1_5,,,,
VACCOR 9 HF DB,VAC.COR,CS1_5,,,,
COMPER 8 HF DB,COM.PER,CS1_4,,,,
VACCOR 9 HF DB,VAC.COR,CS1_4,,,,
VIBACE10 HF DB,VIB.ACE,CS1_4,,,,
ACESAC11 HF DB,ACE.SAC,CS1_3,,,,
CORCOR14 HF DB,COR.COR,CS1_3,,,,
ILEVER03 HF DB,ILE.VER,CS1_3,,,,
ACERUB23 HF DB,ACE.RUB,CS1_24,,,,
VACCOR 3 HF DB,VAC.COR,CS1_24,,,,
VIBACE02 HF DB,VIB.ACE,CS1_24,,,,
CORCOR 15 HF DB,COR.COR,CS1_23,,,,
ILEMUC 12 HF DB,ILE.MUC,CS1_23,,,,
VACCOR 3 HF DB,VAC.COR,CS1_23,,,,
ACERUB28 HF DB,ACE.RUB,CS1_22,,,,
COMPER 6 HF DB,COM.PER,CS1_22,,,,
CORCOR 15 HF DB,COR.COR,CS1_22,,,,
BETALL26 HF DB,BET.ALL,CS1_21,,,,
ILEVER01 HF DB,ILE.VER,CS1_21,,,,
VIBACE07 HF DB,VIB.ACE,CS1_21,,,,
ACERUB27 HF DB,ACE.RUB,CS1_20,,,,
ILEMUC 13 HF DB,ILE.MUC,CS1_20,,,,
PRUPEN16 HF DB,PRU.PEN,CS1_20,,,,
ILEMUC 14 HF DB,ILE.MUC,CS1_2,,,,
PRUPEN 21 HF DB,PRU.PEN,CS1_2,,,,
VIBACE4 HF DB,VIB.ACE,CS1_2,,,,
ACEPEN18 HF DB,ACE.PEN,CS1_19,,,,
ILEMUC 11 HF DB,ILE.MUC,CS1_19,,,,
PRUVIR 4 HF DB,PRU.VIR,CS1_19,,,,
ACEPEN19 HF DB,ACE.PEN,CS1_18,,,,
PRUVIR 4 HF DB,PRU.VIR,CS1_18,,,,
VIBACE01 HF DB,VIB.ACE,CS1_18,,,,
ACERUB25 HF DB,ACE.RUB,CS1_17,,,,
ACESAC12 HF DB,ACE.SAC,CS1_17,,,,
BETALL25 HF DB,BET.ALL,CS1_17,,,,
ACEPEN20 HF DB,ACE.PEN,CS1_16,,,,
ACESAC19 HF DB,ACE.SAC,CS1_16,,,,
ILEMUC 10 HF DB,ILE.MUC,CS1_16,,,,
COMPER 1 HF DB,COM.PER,CS1_15,,,,
CORCOR09_HF,COR.COR,CS1_15,,,,
ILEVER01 HF DB,ILE.VER,CS1_15,,,,
ILEMUC 11 HF DB,ILE.MUC,CS1_14,,,,
ILEVER05 HF DB,ILE.VER,CS1_14,,,,
PRUVIR 5 HF DB,PRU.VIR,CS1_14,,,,
ILEVER6 HF DB,ILE.VER,CS1_13,check that its not muc,,,
PRUPEN16 HF DB,PRU.PEN,CS1_13,,,,
PRUVIR 5 HF DB,PRU.VIR,CS1_13,,,,
ACEPEN14 HF DB,ACE.PEN,CS1_12,,,,
COMPER 6 HF DB,COM.PER,CS1_12,,,,
ILEVER05 HF DB,ILE.VER,CS1_12,,,,
ACERUB22 HF DB,ACE.RUB,CS1_11,,,,
PRUVIR 7 HF DB,PRU.VIR,CS1_11,,,,
VACCOR 10 HF DB,VAC.COR,CS1_11,,,,
ACESAC12 HF DB,ACE.SAC,CS1_10,,,,
BETALL26 HF DB,BET.ALL,CS1_10,,,,
VIBACE? HF DB,VIB.ACE,CS1_10,,,,
ACESAC17 HF DB,ACE.SAC,CS1_1,,,,
BETALL34 HF DB,BET.ALL,CS1_1,,,,
CORCOR06 HF,COR.COR,CS1_1,,,,
ACERUB25 HF DB,ACE.RUB,CS0_9,,,,
ILEVER09 HF DB1,ILE.VER,CS0_9,,,,
PRUPEN16 HF DB,PRU.PEN,CS0_9,,,,
ACERUB29 HF DB,ACE.RUB,CS0_8,,,,
BETALL32 HF DB,BET.ALL,CS0_8,,,,
COMPER 6 HF DB,COM.PER,CS0_8,,,,
BETALL26 HF DB,BET.ALL,CS0_7,,,,
VACCOR 7 HF DB,VAC.COR,CS0_7,,,,
VIBACE06 HF DB,VIB.ACE,CS0_7,,,,
ACESAC17 HF DB,ACE.SAC,CS0_6,,,,
BETALL31 HF DB,BET.ALL,CS0_6,,,,
VIBACE06 HF DB,VIB.ACE,CS0_6,,,,
ILEVER03 HF DB,ILE.VER,CS0_5,,,,
PRUPEN 24 HF DB,PRU.PEN,CS0_5,,,,
VACCOR 10 HF DB,VAC.COR,CS0_5,,,,
BETALL32 HF DB,BET.ALL,CS0_4,,,,
COMPER 2 HF DB,COM.PER,CS0_4,,,,
VACCOR 3 HF DB,VAC.COR,CS0_4,,,,
ACEPEN14 HF DB,ACE.PEN,CS0_3,,,,
CORCOR10_HF,COR.COR,CS0_3,,,,
PRUVIR 5 HF DB,PRU.VIR,CS0_3,,,,
CORCOR14 HF DB,COR.COR,CS0_24,,,,
PRUPEN 23 HF DB,PRU.PEN,CS0_24,,,,
PRUVIR 6 HF DB,PRU.VIR,CS0_24,,,,
CORCOR09_HF,COR.COR,CS0_23,,,,
ILEMUC 11 HF DB,ILE.MUC,CS0_23,,,,
VACCOR 8 HF DB,VAC.COR,CS0_23,,,,
COMPER 4 HF DB,COM.PER,CS0_22,,,,
ILEMUC 14 HF DB,ILE.MUC,CS0_22,,,,
PRUVIR 3 HF DB,PRU.VIR,CS0_22,,,,
CORCOR 15_HF,COR.COR,CS0_21,,,,
ILEVER01 HF DB,ILE.VER,CS0_21,,,,
VIBACE09 HF DB,VIB.ACE,CS0_21,,,,
COMPER 8 HF DB,COM.PER,CS0_20,,,,
ILEVER08 HF DB,ILE.VER,CS0_20,,,,
PRUPEN16 HF DB,PRU.PEN,CS0_20,,,,
ACESAC11 HF DB,ACE.SAC,CS0_2,,,,
COMPER 5 HF DB,COM.PER,CS0_2,,,,
CORCOR09_HF,COR.COR,CS0_2,,,,
ACEPEN16 HF DB,ACE.PEN,CS0_19,,,,
ACERUB25 HF DB,ACE.RUB,CS0_19,,,,
ILEVER08 HF DB,ILE.VER,CS0_19,,,,
ACEPEN20 HF DB,ACE.PEN,CS0_18,,,,
ACERUB23 HF DB,ACE.RUB,CS0_18,,,,
ACESAC17 HF DB,ACE.SAC,CS0_18,,,,
ILEMUC 9 HF DB,ILE.MUC,CS0_17,,,,
PRUPEN 24 HF DB,PRU.PEN,CS0_17,,,,
VIBACE07 HF DB,VIB.ACE,CS0_17,,,,
ACERUB28 HF DB,ACE.RUB,CS0_16,,,,
ACESAC19 HF DB,ACE.SAC,CS0_16,,,,
VIBACE11 HF DB,VIB.ACE,CS0_16,,,,
ACEPEN16 HF DB,ACE.PEN,CS0_15,,,,
ACERUB23 HF DB,ACE.RUB,CS0_15,,,,
ILEVER01 HF DB,ILE.VER,CS0_15,,,,
BETALL31 HF DB,BET.ALL,CS0_14,,,,
ILEMUC 9 HF DB,ILE.MUC,CS0_14,,,,
PRUPEN 23 HF DB,PRU.PEN,CS0_14,,,,
BETALL31 HF DB,BET.ALL,CS0_13,,,,
COMPER 6 HF DB,COM.PER,CS0_13,,,,
ILEMUC 10 HF DB,ILE.MUC,CS0_13,,,,
ILEMUC 12 HF DB,ILE.MUC,CS0_12,,,,
PRUVIR 3 HF DB,PRU.VIR,CS0_12,,,,
VACCOR 3 HF DB,VAC.COR,CS0_12,,,,
ACESAC17 HF DB,ACE.SAC,CS0_11,,,,
VACCOR 3 HF DB,VAC.COR,CS0_11,,,,
VIBACE4 HF DB,VIB.ACE,CS0_11,,,,
ACEPEN14 HF DB,ACE.PEN,CS0_10,,,,
ACESAC11 HF DB,ACE.SAC,CS0_10,,,,
PRUVIR 7 HF DB,PRU.VIR,CS0_10,,,,
ACEPEN20 HF DB,ACE.PEN,CS0_1,,,,
CORCOR06 HF,COR.COR,CS0_1,,,,
PRUVIR 2 HF DB,PRU.VIR,CS0_1,,,,
ACEPEN16 HF DB,ACE.PEN,CL1_9,,,,
ILEVER01 HF DB,ILE.VER,CL1_9,,,,
VIBACE5 HF DB,VIB.ACE,CL1_9,,,,
COMPER 3 HF DB,COM.PER,CL1_8,,,,
ILEVER06 HF DB,ILE.VER,CL1_8,,,,
PRUPEN 21 HF DB,PRU.PEN,CL1_8,,,,
ACEPEN16 HF DB,ACE.PEN,CL1_7,,,,
BETALL32 HF DB,BET.ALL,CL1_7,,,,
ILEMUC 12 HF DB,ILE.MUC,CL1_7,,,,
ILEMUC 11 HF DB,ILE.MUC,CL1_6,,,,
ILEVER09 HF DB,ILE.VER,CL1_6,,,,
VIBACE07 HF DB,VIB.ACE,CL1_6,,,,
ACESAC18 HF DB,ACE.SAC,CL1_5,,,,
COMPER 2 HF DB,COM.PER,CL1_5,,,,
PRUVIR 2 HF DB,PRU.VIR,CL1_5,,,,
ACEPEN20 HF DB,ACE.PEN,CL1_4,,,,
ACERUB23 HF DB,ACE.RUB,CL1_4,,,,
BETALL25 HF DB,BET.ALL,CL1_4,,,,
COMPER 1 HF DB,COM.PER,CL1_3,,,,
CORCOR07_HF,COR.COR,CL1_3,,,,
ILEMUC 9 HF DB,ILE.MUC,CL1_3,,,,
ACEPEN17 HF DB,ACE.PEN,CL1_24,,,,
COMPER 1 HF DB,COM.PER,CL1_24,,,,
ILEMUC 14 HF DB,ILE.MUC,CL1_24,,,,
CORCOR 17 HF DB,COR.COR,CL1_23,,,,
ILEVER03 HF DB,ILE.VER,CL1_23,,,,
PRUPEN 22 HF DB,PRU.PEN,CL1_23,,,,
CORCOR 15 HF DB,COR.COR,CL1_22,,,,
PRUPEN 22 HF DB,PRU.PEN,CL1_22,,,,
VIBACE07 HF DB,VIB.ACE,CL1_22,,,,
BETALL26 HF DB,BET.ALL,CL1_21,,,,
CORCOR 15 HF DB,COR.COR,CL1_21,,,,
VACCOR 6 HF DB,VAC.COR,CL1_21,,,,
