"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"118","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1904",122,111,-11,"Betula pendula"
"120","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1904",110,110,0,"Betula pendula"
"121","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1905",121,119,-2,"Betula pendula"
"122","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1905",120,114,-6,"Betula pendula"
"123","7645","52.35,5.63333","5.63333","52.35","0","106","20","1905",115,105,-10,"Betula pendula"
"125","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1905",101,90,-11,"Betula pendula"
"126","7857","52.1,4.28333","4.28333","52.1","0","106","20","1905",119,110,-9,"Betula pendula"
"127","7909","53.1,4.76667","4.76667","53.1","0","106","20","1905",123,118,-5,"Betula pendula"
"128","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1905",126,117,-9,"Betula pendula"
"130","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1905",110,107,-3,"Betula pendula"
"131","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1906",108,108,0,"Betula pendula"
"132","7645","52.35,5.63333","5.63333","52.35","0","106","20","1906",106,107,1,"Betula pendula"
"134","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1906",103,102,-1,"Betula pendula"
"135","7857","52.1,4.28333","4.28333","52.1","0","106","20","1906",120,113,-7,"Betula pendula"
"136","7909","53.1,4.76667","4.76667","53.1","0","106","20","1906",124,118,-6,"Betula pendula"
"137","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1906",115,111,-4,"Betula pendula"
"138","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1906",104,104,0,"Betula pendula"
"139","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1907",118,118,0,"Betula pendula"
"140","7645","52.35,5.63333","5.63333","52.35","0","106","20","1907",118,109,-9,"Betula pendula"
"143","7814","51.5833,4.51667","4.51667","51.5833","0","106","20","1907",106,105,-1,"Betula pendula"
"144","7857","52.1,4.28333","4.28333","52.1","0","106","20","1907",124,176,52,"Betula pendula"
"145","7909","53.1,4.76667","4.76667","53.1","0","106","20","1907",128,125,-3,"Betula pendula"
"146","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1907",123,121,-2,"Betula pendula"
"147","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1907",110,110,0,"Betula pendula"
"148","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1908",105,105,0,"Betula pendula"
"149","7645","52.35,5.63333","5.63333","52.35","0","106","20","1908",124,121,-3,"Betula pendula"
"152","7857","52.1,4.28333","4.28333","52.1","0","106","20","1908",133,124,-9,"Betula pendula"
"153","7909","53.1,4.76667","4.76667","53.1","0","106","20","1908",128,126,-2,"Betula pendula"
"154","7920","53.4167,6.73333","6.73333","53.4167","0","106","20","1908",130,122,-8,"Betula pendula"
"155","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1908",125,123,-2,"Betula pendula"
"157","7645","52.35,5.63333","5.63333","52.35","0","106","20","1909",115,112,-3,"Betula pendula"
"160","7857","52.1,4.28333","4.28333","52.1","0","106","20","1909",128,115,-13,"Betula pendula"
"161","7909","53.1,4.76667","4.76667","53.1","0","106","20","1909",122,121,-1,"Betula pendula"
"163","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1909",112,112,0,"Betula pendula"
"165","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1910",98,100,2,"Betula pendula"
"166","7645","52.35,5.63333","5.63333","52.35","0","106","20","1910",110,106,-4,"Betula pendula"
"169","7857","52.1,4.28333","4.28333","52.1","0","106","20","1910",121,106,-15,"Betula pendula"
"171","7909","53.1,4.76667","4.76667","53.1","0","106","20","1910",117,109,-8,"Betula pendula"
"174","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1910",107,107,0,"Betula pendula"
"176","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1911",109,109,0,"Betula pendula"
"177","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1911",122,106,-16,"Betula pendula"
"179","7645","52.35,5.63333","5.63333","52.35","0","106","20","1911",112,111,-1,"Betula pendula"
"182","7909","53.1,4.76667","4.76667","53.1","0","106","20","1911",123,122,-1,"Betula pendula"
"184","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1911",109,109,0,"Betula pendula"
"186","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1912",109,109,0,"Betula pendula"
"187","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1912",100,96,-4,"Betula pendula"
"188","7645","52.35,5.63333","5.63333","52.35","0","106","20","1912",104,109,5,"Betula pendula"
"194","7909","53.1,4.76667","4.76667","53.1","0","106","20","1912",113,112,-1,"Betula pendula"
"195","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1912",99,99,0,"Betula pendula"
"197","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1913",106,112,6,"Betula pendula"
"199","7645","52.35,5.63333","5.63333","52.35","0","106","20","1913",100,94,-6,"Betula pendula"
"203","7857","52.1,4.28333","4.28333","52.1","0","106","20","1913",114,112,-2,"Betula pendula"
"206","7909","53.1,4.76667","4.76667","53.1","0","106","20","1913",117,121,4,"Betula pendula"
"208","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1913",98,98,0,"Betula pendula"
"209","7566","52.2667,6.16667","6.16667","52.2667","0","106","20","1914",100,105,5,"Betula pendula"
"210","7645","52.35,5.63333","5.63333","52.35","0","106","20","1914",106,104,-2,"Betula pendula"
"213","7857","52.1,4.28333","4.28333","52.1","0","106","20","1914",105,103,-2,"Betula pendula"
"216","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1914",103,100,-3,"Betula pendula"
"217","7645","52.35,5.63333","5.63333","52.35","0","106","20","1915",112,109,-3,"Betula pendula"
"221","7909","53.1,4.76667","4.76667","53.1","0","106","20","1915",104,100,-4,"Betula pendula"
"222","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1915",116,115,-1,"Betula pendula"
"227","7645","52.35,5.63333","5.63333","52.35","0","106","20","1916",114,102,-12,"Betula pendula"
"231","7909","53.1,4.76667","4.76667","53.1","0","106","20","1916",121,113,-8,"Betula pendula"
"232","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1916",113,111,-2,"Betula pendula"
"235","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1917",125,126,1,"Betula pendula"
"238","7645","52.35,5.63333","5.63333","52.35","0","106","20","1917",128,123,-5,"Betula pendula"
"241","7909","53.1,4.76667","4.76667","53.1","0","106","20","1917",138,133,-5,"Betula pendula"
"242","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1917",126,126,0,"Betula pendula"
"248","7645","52.35,5.63333","5.63333","52.35","0","106","20","1918",103,101,-2,"Betula pendula"
"253","7909","53.1,4.76667","4.76667","53.1","0","106","20","1918",117,116,-1,"Betula pendula"
"254","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1918",106,104,-2,"Betula pendula"
"258","7645","52.35,5.63333","5.63333","52.35","0","106","20","1919",123,113,-10,"Betula pendula"
"263","7909","53.1,4.76667","4.76667","53.1","0","106","20","1919",128,126,-2,"Betula pendula"
"264","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1919",120,120,0,"Betula pendula"
"266","7492","51.9833,5.91667","5.91667","51.9833","0","106","20","1920",92,94,2,"Betula pendula"
"271","7645","52.35,5.63333","5.63333","52.35","0","106","20","1920",97,93,-4,"Betula pendula"
"276","7909","53.1,4.76667","4.76667","53.1","0","106","20","1920",101,100,-1,"Betula pendula"
"279","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1920",93,95,2,"Betula pendula"
"284","7645","52.35,5.63333","5.63333","52.35","0","106","20","1921",103,96,-7,"Betula pendula"
"291","7954","51.9667,5.68333","5.68333","51.9667","0","106","20","1921",98,97,-1,"Betula pendula"
"293","4686","52.4333,12.5","12.5","52.4333","30","106","20","1951",104,118,14,"Betula pendula"
"294","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1951",107,116,9,"Betula pendula"
"296","4697","53.0333,14","14","53.0333","50","106","20","1951",113,116,3,"Betula pendula"
"297","4702","53.2167,14.3833","14.3833","53.2167","10","106","20","1951",111,114,3,"Betula pendula"
"298","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1951",105,122,17,"Betula pendula"
"309","4914","52.1,13.1833","13.1833","52.1","50","106","20","1951",135,121,-14,"Betula pendula"
"310","4923","52.75,12.5833","12.5833","52.75","30","106","20","1951",157,121,-36,"Betula pendula"
"312","4932","52.8167,12.7833","12.7833","52.8167","35","106","20","1951",116,116,0,"Betula pendula"
"323","4686","52.4333,12.5","12.5","52.4333","30","106","20","1952",102,106,4,"Betula pendula"
"324","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1952",101,106,5,"Betula pendula"
"325","4697","53.0333,14","14","53.0333","50","106","20","1952",110,109,-1,"Betula pendula"
"326","4702","53.2167,14.3833","14.3833","53.2167","10","106","20","1952",103,107,4,"Betula pendula"
"327","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1952",112,114,2,"Betula pendula"
"332","4735","51.45,13.4","13.4","51.45","90","106","20","1952",123,109,-14,"Betula pendula"
"333","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1952",107,105,-2,"Betula pendula"
"344","4848","52.9833,13.35","13.35","52.9833","45","106","20","1952",107,112,5,"Betula pendula"
"350","4914","52.1,13.1833","13.1833","52.1","50","106","20","1952",135,95,-40,"Betula pendula"
"352","4923","52.75,12.5833","12.5833","52.75","30","106","20","1952",100,110,10,"Betula pendula"
"354","4932","52.8167,12.7833","12.7833","52.8167","35","106","20","1952",124,111,-13,"Betula pendula"
"364","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1952",96,102,6,"Betula pendula"
"365","4686","52.4333,12.5","12.5","52.4333","30","106","20","1953",94,97,3,"Betula pendula"
"366","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1953",92,98,6,"Betula pendula"
"368","4697","53.0333,14","14","53.0333","50","106","20","1953",95,91,-4,"Betula pendula"
"369","4702","53.2167,14.3833","14.3833","53.2167","10","106","20","1953",93,95,2,"Betula pendula"
"370","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1953",99,104,5,"Betula pendula"
"375","4735","51.45,13.4","13.4","51.45","90","106","20","1953",96,101,5,"Betula pendula"
"376","4740","51.9833,14.3","14.3","51.9833","47","106","20","1953",92,92,0,"Betula pendula"
"377","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1953",90,95,5,"Betula pendula"
"392","4914","52.1,13.1833","13.1833","52.1","50","106","20","1953",122,105,-17,"Betula pendula"
"393","4923","52.75,12.5833","12.5833","52.75","30","106","20","1953",100,105,5,"Betula pendula"
"395","4932","52.8167,12.7833","12.7833","52.8167","35","106","20","1953",91,97,6,"Betula pendula"
"396","4948","52.8333,12.9833","12.9833","52.8333","40","106","20","1953",97,99,2,"Betula pendula"
"409","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1953",92,106,14,"Betula pendula"
"411","4686","52.4333,12.5","12.5","52.4333","30","106","20","1954",120,122,2,"Betula pendula"
"412","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1954",117,122,5,"Betula pendula"
"414","4697","53.0333,14","14","53.0333","50","106","20","1954",123,125,2,"Betula pendula"
"415","4702","53.2167,14.3833","14.3833","53.2167","10","106","20","1954",123,123,0,"Betula pendula"
"416","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1954",115,123,8,"Betula pendula"
"420","4735","51.45,13.4","13.4","51.45","90","106","20","1954",122,127,5,"Betula pendula"
"421","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1954",121,123,2,"Betula pendula"
"433","4848","52.9833,13.35","13.35","52.9833","45","106","20","1954",121,123,2,"Betula pendula"
"440","4914","52.1,13.1833","13.1833","52.1","50","106","20","1954",136,122,-14,"Betula pendula"
"443","4932","52.8167,12.7833","12.7833","52.8167","35","106","20","1954",124,128,4,"Betula pendula"
"444","4948","52.8333,12.9833","12.9833","52.8333","40","106","20","1954",124,122,-2,"Betula pendula"
"457","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1954",132,116,-16,"Betula pendula"
"461","4686","52.4333,12.5","12.5","52.4333","30","106","20","1955",122,120,-2,"Betula pendula"
"462","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1955",121,123,2,"Betula pendula"
"464","4697","53.0333,14","14","53.0333","50","106","20","1955",121,125,4,"Betula pendula"
"465","4703","52.9667,14.0833","14.0833","52.9667","35","106","20","1955",125,120,-5,"Betula pendula"
"466","4710","53.1,13.8833","13.8833","53.1","75","106","20","1955",105,119,14,"Betula pendula"
