"id","name","GEN.SPA","Force","Light","Chill","good_flaskid","LBB","L11","L15","F60"
"VIBACE02 HF DB_WS0_16","VIBACE02 HF DB","VIB.ACE","W","L",0,"WS0_16",NA,NA,NA,NA
"ACERUB26 HF DB_WS0_15","ACERUB26 HF DB","ACE.RUB","W","L",0,"WS0_15",NA,NA,NA,NA
"COMPER 8 HF DB_WS0_15","COMPER 8 HF DB","COM.PER","W","L",0,"WS0_15",NA,NA,NA,NA
"PRUVIR 6 HF DB_WS0_15","PRUVIR 6 HF DB","PRU.VIR","W","L",0,"WS0_15",NA,79,82,96
"ACESAC13 HF DB_WS0_14","ACESAC13 HF DB","ACE.SAC","W","L",0,"WS0_14",NA,NA,NA,NA
"PRUVIR 4 HF DB_WS0_14","PRUVIR 4 HF DB","PRU.VIR","W","L",0,"WS0_14",NA,45,56,NA
"VACCOR 1 HF DB_WS0_14","VACCOR 1 HF DB","VAC.COR","W","L",0,"WS0_14",10,35,37,26
"ACESAC18 HF DB_WS0_13","ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_13",NA,NA,NA,NA
"BETALL25 HF DB_WS0_13","BETALL25 HF DB","BET.ALL","W","L",0,"WS0_13",35,37,63,NA
"CORCOR07_HF_WS0_13","CORCOR07_HF","COR.COR","W","L",0,"WS0_13",90,NA,NA,NA
"ACERUB23 HF DB_WS0_12","ACERUB23 HF DB","ACE.RUB","W","L",0,"WS0_12",NA,NA,NA,NA
"BETALL33 HF DB_WS0_12","BETALL33 HF DB","BET.ALL","W","L",0,"WS0_12",76,68,79,NA
"PRUPEN 24 HF DB_WS0_12","PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_12",16,19,21,28
"COMPER 6 HF DB_WS0_11","COMPER 6 HF DB","COM.PER","W","L",0,"WS0_11",NA,NA,NA,NA
"CORCOR14 HF DB_WS0_11","CORCOR14 HF DB","COR.COR","W","L",0,"WS0_11",63,68,76,NA
"ILEMUC 10 HF DB_WS0_11","ILEMUC 10 HF DB","ILE.MUC","W","L",0,"WS0_11",NA,NA,33,33
