specificEpithet,id,references,obs_number,,,,,,pental_lengh_mm,who_done_it,note
americana,22883929,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883931,3,1.774,163.167,139.333,180.525,-52.696,6.767,SC,
americana,22883929,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883932,4,2.037,163.897,154.222,171.889,-154.29,7.681,SC,
americana,22883929,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883933,5,1.971,168.362,149.325,194.333,102.095,7.34,SC,
americana,22883929,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883934,6,1.643,134.768,77.667,161.222,160.821,6.242,SC,
americana,22883929,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883935,7,2.365,176.864,103.973,208.566,129.174,8.927,SC,
americana,22883929,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883936,8,1.708,166.064,136,184.867,101.31,6.535,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658107,1,1.306,96.466,40.667,172.333,70.346,4.247,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658108,2,1.143,57.651,36.398,71.629,141.34,3.659,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658109,3,1.388,44.715,25.427,72.854,142.431,4.686,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658110,4,1.143,79.972,72.481,105,153.435,3.833,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658111,5,1.388,76.768,46.667,100.333,176.424,4.58,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658112,6,1.388,61.059,37.487,94.333,-116.565,4.472,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658113,7,1.224,77.787,55.714,96.571,-81.87,4.041,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658114,8,1.306,67.358,54,79.427,31.608,4.361,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658115,9,1.469,82.903,64.922,97.314,-176.634,4.866,SC,
americana,16658107,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658116,10,2.041,105.864,85.318,139.333,-135,6.869,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108118,1,1.084,190.736,128.113,204.9,-130.914,4.51,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108119,2,1.446,172.344,115.025,215.963,-177.879,6.139,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108120,3,1.239,210.499,176.333,221.333,66.801,5.191,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108121,4,1.136,185.88,97.694,211.559,-157.166,4.684,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108122,5,1.187,205.781,189.561,225.455,-177.397,5.004,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108123,6,0.981,182.022,165.92,209.333,141.843,4.045,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108124,7,1.239,200.584,185.438,227.333,-136.736,5.304,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108125,8,1.239,204.602,191.757,214,167.196,5.126,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108126,9,1.394,203.787,187.034,216.519,65.376,5.999,SC,
americana,5108118,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5108127,10,1.187,207.999,179.424,222.197,92.603,5.004,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011324,1,1.654,194.614,174.905,206.924,76.373,7.382,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011325,2,1.04,193.293,184.687,204.54,-165.964,4.482,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011326,3,1.087,193.748,133,206.747,103.392,4.693,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011327,4,0.851,175.37,166.494,186,107.354,3.644,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011328,5,1.371,196.867,178.667,204.558,52.306,6.044,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011329,6,1.654,200.474,179.333,208.33,159.444,7.43,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011330,7,1.229,210.323,196,220.123,66.501,5.452,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011331,8,1.181,205.666,200.75,211.833,60.255,5.258,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011332,9,0.945,190.888,164.667,209.456,-78.111,4.221,SC,
americana,5011324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011333,10,1.323,174.44,53.667,201.667,169.509,5.969,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209112,1,0.75,199.769,183,211.039,37.875,2.85,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209113,2,1.062,180.561,140.25,205.521,119.745,4.03,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209114,3,1.312,194.007,157.913,210.271,-14.744,4.91,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209115,4,0.999,193.458,179.667,199.4,11.31,3.823,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209116,5,0.874,195.931,184.667,207.333,116.565,3.353,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209117,6,0.812,171.438,86.667,205.333,-55.008,3.051,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209118,7,0.562,186.963,160.333,205.667,0,1.999,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209119,8,1.062,193.317,176.667,204.021,104.931,3.88,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209120,9,0.874,187.885,170.373,201.004,57.529,3.259,SC,
americana,4209112,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209121,10,1.062,159.121,103.667,188.417,-132.51,4.068,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211221,1,1.785,175.141,168.458,183.243,110.323,7.023,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211222,2,2.32,164.711,121.186,189.048,138.24,9.155,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211223,3,1.666,180.184,174.218,197.667,-135,6.554,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211224,4,2.142,156.394,132.505,175.676,88.363,8.54,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211225,5,1.904,171.07,83,212,3.691,7.577,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211226,6,2.261,183.948,171.205,201,-133.919,9.142,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211227,7,1.309,186.591,173,192,90,5.122,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211228,8,2.142,185.755,125.21,206,-175.101,8.568,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211229,9,2.023,184.116,179.899,189.832,48.652,8.122,SC,
americana,19211221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211230,10,1.844,168.417,129,187.522,-48.991,7.434,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041200,1,1.229,201.727,173.333,214.688,-139.899,5.4,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041201,2,1.371,206.553,194.667,229.333,-169.875,6.183,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041202,3,1.371,204.053,189.31,212.667,30.256,6.04,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041203,4,1.371,217.284,198,225.143,83.884,6.122,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041204,5,1.607,212.624,192,221,128.928,7.266,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041205,6,1.512,214.693,201.068,224.109,112.479,6.823,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041206,7,1.229,212.654,191,222.902,-153.435,5.347,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041207,8,1.371,216.054,198,223.013,77.471,6.013,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041208,9,1.56,202.04,182.398,218.622,18.435,6.875,SC,
americana,5041200,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5041209,10,1.465,183.198,156.667,203.867,132.274,6.464,SC,
americana,24069613,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24069613,1,2.261,158.105,140,180.333,-90,9.024,SC,not enough petals
americana,24069613,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24069614,2,1.547,161.372,143.667,185.333,0,6.098,SC,
americana,24069613,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24069615,3,2.082,131.722,111.667,153,-120.379,8.199,SC,
americana,24069613,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24069616,4,1.963,145.633,130.74,163.031,-8.881,7.9,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393209,1,1.795,148.943,116.616,189.667,69.624,8.115,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393210,2,1.842,130.934,94.333,162.404,-86.987,8.27,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393211,3,1.937,135.758,93.367,177.333,87.138,8.704,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393212,4,1.653,136.49,104.333,150.193,-166.373,7.38,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393213,5,1.937,144.972,119.333,162.637,-161.114,8.729,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393214,6,1.417,134.463,123.333,147.287,9.782,6.396,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393215,7,1.181,120.225,96.75,156.333,-152.354,5.152,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393216,8,1.086,125.541,108.667,166.333,59.931,4.772,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393217,9,1.748,136.853,111.685,177.333,86.82,7.836,SC,
americana,20393209,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393218,10,1.512,116.962,73,135.92,58.392,6.635,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583239,1,0.911,142.084,122,195.333,49.086,4.135,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583240,2,1.042,123.889,97,151.964,77.196,4.7,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583241,3,0.911,141.121,106,159,84.289,4.187,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583242,4,0.998,156.508,134.953,212.667,146.31,4.507,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583243,5,0.694,124.852,101.333,160.333,23.199,3.173,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583244,6,1.172,171.353,93.692,214.333,133.452,5.453,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583245,7,1.085,122.929,58,142.389,70.821,5.073,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583246,8,0.998,106.054,92.281,132.333,-166.608,4.497,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583247,9,0.998,146.377,124,159,90,4.583,SC,
americana,11583239,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583248,10,0.781,128.419,111.025,154.863,-57.265,3.467,SC,
americana,9110242,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110242,1,1.062,205.482,114.667,224.167,-165.069,3.881,SC,not enough petals
americana,9110242,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110243,2,1.062,217.127,143.333,232.667,150.255,4.031,SC,
americana,9110242,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110244,3,1.062,200.956,145.667,221.667,-104.036,4.123,SC,
americana,9110242,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110245,4,1.5,220.58,166,232.29,4.97,5.772,SC,
americana,9110242,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110246,5,1.312,204.055,162.477,224.5,-107.526,4.981,SC,
americana,9110242,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110247,6,1.188,183.518,74.333,243.333,99.462,4.562,SC,
americana,9110242,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110248,7,1.312,210.404,186.667,231.717,-177.138,5.006,SC,
americana,9110242,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9110249,8,1.25,209.254,153,235.23,-152.103,4.809,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444154,1,2.336,136.329,30.667,183.667,-147.529,7.67,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444155,2,2.336,123.983,66.008,165.246,-65.376,7.765,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444156,3,1.73,150.351,94.333,173,18.435,5.58,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444157,4,1.384,151.475,114,164.4,78.69,4.499,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444158,5,2.076,138.142,80.333,176.667,102.804,6.636,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444159,6,1.644,120.298,82.667,169,180,5.294,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444160,7,1.471,136.008,116.271,150.651,127.569,4.824,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444161,8,2.163,170.712,139.125,191.583,2.386,7.065,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444162,9,1.903,123.535,92.333,141.918,75.964,6.063,SC,
americana,7444154,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444163,10,1.644,159.817,128.346,182.63,-22.38,5.407,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458084,1,1.52,110.382,79.121,174.667,-20.376,7.467,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458085,2,1.68,119.406,58.477,155.726,-147.848,8.268,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458086,3,1.12,94.937,47,134.774,-36.027,5.441,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458087,4,1.32,119.842,92.74,164.667,-169.046,6.315,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458088,5,1.56,98.075,54.078,125.368,-62.103,7.694,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458089,6,1.8,91.689,40.667,131.907,-128.489,8.73,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458090,7,1.64,108.675,60,144.333,-90,8,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458091,8,1.48,126.516,97.208,208.667,30.141,7.169,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458092,9,1.72,109.278,41.507,159.667,15.018,8.49,SC,
americana,4458084,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4458093,10,1.44,101.844,40,203.667,101.634,6.943,SC,
angustifolia,11585664,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11585664,,,,,,,,SC,no petals
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948497,1,1.381,95.032,35.333,125.333,90,5.128,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948498,2,0.986,119.963,72,151.667,162.897,3.488,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948499,3,0.657,117.022,109.111,122.815,-96.34,2.322,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948500,4,0.723,100.676,78,110.2,-73.301,2.677,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948501,5,0.592,95.769,45.333,109.25,75.964,2.114,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948502,6,0.789,98.227,41.333,118.923,56.31,2.774,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948503,7,0.723,98.964,71.4,114.133,78.69,2.615,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948504,8,0.723,119.736,111.05,126.583,-60.945,2.64,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948505,9,0.789,121.422,111.303,151.667,-5.194,2.832,SC,
angustifolia,15948497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948506,10,0.986,119.705,101,136.667,-102.095,3.671,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838029,1,0.567,141.075,108.333,153.551,56.31,2.351,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838030,2,0.425,141.037,127,157.333,0,1.739,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838031,3,0.52,114.739,48.333,141.967,-163.301,2.27,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838032,4,0.662,152.833,122.667,179.333,180,2.826,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838033,5,0.614,144.276,122.722,190.333,4.764,2.618,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838034,6,0.473,154,139.333,174.667,90,1.957,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838035,7,0.331,160.825,146.333,174,-80.538,1.322,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838036,8,0.425,175.056,158.417,198.333,-60.255,1.753,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838037,9,0.709,133.013,108.19,174,81.87,3.074,SC,
angustifolia,15838029,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838038,10,0.425,135.772,120,153.719,-39.806,1.698,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535354,1,0.365,102.817,67.667,131.333,75.964,1.114,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535355,2,0.73,83.133,20.333,134.667,102.529,2.492,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535356,3,0.511,97.783,52.667,126,45,1.529,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535357,4,0.292,121.917,94.333,150.333,-90,0.811,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535358,5,0.219,105.667,92.333,128.667,180,0.541,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535359,6,0.365,123.533,105,150,180,1.081,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535360,7,0.292,93.528,16.333,134.889,18.435,0.855,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535361,8,0.657,92.287,51.552,123.49,50.194,2.111,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535362,9,0.584,122.719,94.333,149.068,146.31,1.949,SC,
angustifolia,11535354,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535363,10,0.584,98.861,62,128.619,-153.435,1.813,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774784,1,0.986,115.195,57.667,132.667,59.744,3.562,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774785,2,1.249,106.3,36.333,130.167,132.709,4.536,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774786,3,0.855,115.389,96.083,133,138.366,3.088,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774787,4,0.92,106.811,84.191,155.333,26.565,3.44,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774788,5,0.986,108.112,75.034,135.333,33.69,3.698,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774789,6,0.986,95.453,79.728,116.333,-36.027,3.488,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774790,7,0.92,88.359,51.178,138.333,63.435,3.44,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774791,8,0.986,107.107,79,132.755,36.027,3.488,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774792,9,1.118,60.662,15,116.333,165.964,4.229,SC,
angustifolia,6774784,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774793,10,0.986,83.314,24.667,99.849,129.289,3.644,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273761,1,0.794,181.836,174.369,186.152,-157.38,3.095,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273762,2,0.737,188.575,176,194.167,-124.992,2.906,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273763,3,0.85,177.711,167.333,183.333,180,3.333,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273764,4,0.51,185.795,179.839,190.958,23.199,1.813,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273765,5,0.907,164.726,106.667,182.2,86.186,3.579,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273766,6,0.794,195.895,191.036,200.312,-161.565,3.012,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273767,7,0.85,177.601,161,199.333,68.962,3.316,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273768,8,0.794,181.019,172.183,187,22.62,3.095,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273769,9,1.077,195.005,137.333,209.379,106.39,4.219,SC,
angustifolia,13273761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273770,10,0.737,200.968,194.333,207.667,-75.964,2.945,SC,
angustifolia,25287066,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25287066,1,0.181,112.975,71.223,157.461,48.814,2.726,SC,not enough petals
angustifolia,25287066,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25287067,2,0.136,95.221,61.833,158.958,-97.125,2.067,SC,
angustifolia,25287066,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25287068,3,0.156,110.979,78.171,139.667,-102.529,2.364,SC,
angustifolia,25287066,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25287069,4,0.238,106.127,76.333,129.114,12.095,3.671,SC,
angustifolia,25287066,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25287070,5,0.263,117.971,98.667,168.333,-116.565,4.013,SC,
angustifolia,12508868,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508868,,,,,,,,SC,only stamens/buds
angustifolia,11326998,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11326998,,,,,,,,SC,only stamens
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838275,1,0.691,131.22,102.564,156.333,94.399,2.897,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838276,2,0.84,139.48,78,165.333,172.875,3.583,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838277,3,0.84,152.168,72.667,181.667,137.49,3.618,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838278,4,0.642,178.316,159.444,211,59.036,2.592,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838279,5,0.84,149.799,123.333,173,82.875,3.583,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838280,6,0.79,139.544,90.333,166.967,105.945,3.236,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838281,7,0.691,139.277,118,150.667,41.987,2.99,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838282,8,0.741,173.991,155,193.333,33.69,3.205,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838283,9,0.889,127.905,86.667,155.536,139.764,3.784,SC,
angustifolia,15838275,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15838284,10,0.889,137.6,95.667,159.478,139.764,3.784,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752197,1,1.101,190.665,173.766,202.857,33.69,3.276,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752198,2,1.193,164.769,105.333,189.352,160.017,3.545,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752199,3,1.193,179.731,101,206.111,138.366,3.647,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752200,4,0.826,156.287,123,179,104.036,2.498,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752201,5,1.284,173.698,152.667,189,4.399,3.949,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752202,6,1.284,201.491,174,217.907,147.529,3.949,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752203,7,1.193,212.109,179,223.639,59.036,3.532,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752204,8,1.743,220.465,185.284,230.062,-139.399,5.585,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752205,9,1.56,195.506,138.667,214.333,153.435,4.741,SC,
angustifolia,19752197,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752206,10,1.193,202.643,154.333,227.667,94.764,3.647,SC,
angustifolia,21764415,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21764415,1,1.039,182.886,178.19,186.619,98.13,3.722,SC,
angustifolia,21764415,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21764416,2,1.039,153.689,108.333,177.571,171.87,3.722,SC,
angustifolia,21764415,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21764417,3,0.97,154.642,130,166.327,131.987,3.54,SC,
angustifolia,21764415,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21764418,4,0.97,157.119,95.333,178,180,3.421,SC,
