specificEpithet,id,references,obs_number,,,,,,pental_lengh_mm,who_done_it,note
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666970,5,1.713,85.321,33.667,136,-95.711,5.74,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666971,6,1.794,148.343,82.667,224,-104.036,5.888,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666972,7,1.468,121.084,98.735,140.902,45,4.847,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666973,8,1.713,113.383,61.14,211.333,-57.095,5.783,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666974,9,1.631,106.803,61.667,128.186,55.491,5.545,SC,
mexicana,16666966,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666975,10,1.631,88.807,17.489,170,108.435,5.419,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377,1,1.071,207.419,176.667,227.333,-103.241,4.26,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446378,2,1.309,179.777,138.667,205.333,115.346,5.128,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446379,3,0.892,189.017,153.333,219.333,36.027,3.317,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446380,4,1.368,197.044,160,211.667,-116.565,5.454,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446381,5,1.785,171.585,119.333,196.942,-12.095,6.984,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446382,6,0.833,184.102,149,195.673,138.013,3.281,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446383,7,1.071,194.849,176.647,224,79.992,4.21,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446384,8,1.19,194.817,162.667,212.667,0,4.634,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446385,9,1.249,183.432,161.667,201.273,72.474,4.86,SC,
mexicana,19446377,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446386,10,1.071,173.78,141,192.667,162.646,4.089,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877129,1,1.309,152.344,74.333,172.444,-106.699,5.093,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877130,2,0.952,186.866,166.667,202,156.801,3.715,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877131,3,1.428,176.433,137,203.667,-140.194,5.715,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877132,4,1.13,185.299,170.667,199.333,-86.82,4.397,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877133,5,1.547,182.935,155,191.308,-18.435,6.17,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877134,6,1.309,168.571,126.855,191.918,-119.055,5.022,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877135,7,1.19,181.276,149.667,193.608,132.879,4.66,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877136,8,1.368,189.129,180.766,196.361,-140.528,5.371,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877137,9,1.19,194.108,180,198.333,-38.66,4.685,SC,
mexicana,12877129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877138,10,1.071,210.758,197,216.578,-135,4.139,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497863,1,0.775,159.023,129.667,183.156,-146.31,3.278,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497864,2,1.24,150.967,113.987,203.333,145.62,5.232,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497865,3,1.291,137.026,103.667,155.926,-77.735,5.349,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497866,4,1.033,164.245,133.474,185.912,11.889,4.413,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497867,5,0.775,139.279,106.333,182,149.744,3.157,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497868,6,1.291,158.573,128.333,178.667,-90,5.455,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497869,7,1.085,140.565,114.667,182.773,143.13,4.545,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497870,8,1.601,165.955,111.333,181.293,126.87,6.818,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497871,9,1.395,149.725,105.779,168.333,122.471,5.927,SC,
mexicana,13497863,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497872,10,1.033,145.729,131.097,162.101,-105.524,4.246,SC,
mexicana,16920040,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920040,1,0.97,177.905,164.333,191,180,3.421,SC,not enough to measure 10
mexicana,16920040,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920041,2,1.385,171.816,139,188.333,101.889,5.11,SC,
mexicana,16920040,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920042,3,1.108,181.233,161.067,192.533,-78.69,4.026,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212167,1,1.312,174.66,157.133,216.333,-11.31,5.099,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212168,2,1.438,149.971,123.333,163.898,133.152,5.483,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212169,3,1.062,150.709,78,169.625,-135,3.889,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212170,4,1.938,165.932,149.213,207.667,-66.038,7.387,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212171,5,1.75,145.514,101.667,187,-169.509,6.865,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212172,6,1.125,147.63,128.353,167.078,173.29,4.279,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212173,7,1.438,148.802,134.961,157.625,18.435,5.534,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212174,8,1.562,169.112,82.333,191.667,-38.29,6.052,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212175,9,1.125,138.347,116,157.986,151.928,4.25,SC,
mexicana,19212167,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212176,10,1.5,153.722,104.599,170,109.983,5.852,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877072,1,1.07,160.599,138.667,169.333,-154.983,4.036,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877073,2,1.011,160.705,154.167,177,29.745,3.932,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877074,3,0.773,164.853,132.667,200.667,-75.964,3.016,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877075,4,0.832,159.655,136.667,167.181,122.471,3.179,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877076,5,1.011,150.347,141.695,158.333,158.199,3.939,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877077,6,1.605,142.176,125.667,161.433,130.365,6.4,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877078,7,1.367,146.763,131.758,156.091,95.194,5.386,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877079,8,1.486,155.873,116.667,166.75,48.366,5.872,SC,
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877080,9,1.367,174.659,125.667,212.667,-43.152,5.348,SC,
