"specificEpithet","id","references"
"angustifolia",12398601,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12398601"
"angustifolia",22620080,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620080"
"angustifolia",12508681,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508681"
"angustifolia",12508667,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508667"
"angustifolia",16914177,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914177"
"angustifolia",12500768,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12500768"
"angustifolia",16914203,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914203"
"angustifolia",15948360,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948360"
"angustifolia",16192732,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16192732"
"angustifolia",9293229,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293229"
"angustifolia",12508692,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508692"
"angustifolia",16913168,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16913168"
"angustifolia",9176563,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176563"
"angustifolia",14635132,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635132"
"angustifolia",15948349,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948349"
"angustifolia",19211497,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211497"
"angustifolia",16914595,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914595"
"subcordata",23568498,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568498"
"subcordata",20966797,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20966797"
"subcordata",23568474,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568474"
"subcordata",23568487,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568487"
"subcordata",2838221,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838221"
"subcordata",2838324,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838324"
"subcordata",11535476,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535476"
"subcordata",25295447,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25295447"
"subcordata",14794093,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14794093"
"subcordata",23568473,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568473"
"subcordata",23568471,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568471"
"subcordata",24642044,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24642044"
"subcordata",7356603,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7356603"
"subcordata",23568472,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568472"
"subcordata",23568496,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568496"
"umbellata",13284143,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13284143"
"umbellata",6774888,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774888"
"umbellata",16080148,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080148"
"umbellata",15369836,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369836"
"umbellata",6028963,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6028963"
"umbellata",24486765,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24486765"
"umbellata",16080120,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080120"
"umbellata",16521694,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16521694"
"umbellata",15369769,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369769"
"umbellata",12749316,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12749316"
"umbellata",15834054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15834054"
"umbellata",4161804,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161804"
"umbellata",16894658,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16894658"
"umbellata",15369796,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369796"
"umbellata",15369740,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369740"
"umbellata",4161811,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161811"
"umbellata",19701730,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701730"
"umbellata",15835277,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15835277"
"umbellata",19701725,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701725"
"umbellata",5706474,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5706474"
"umbellata",15369799,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369799"
"umbellata",14635274,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635274"
