"specificEpithet","id","references"
"angustifolia",16914149,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914149"
"angustifolia",13279742,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13279742"
"angustifolia",16914406,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914406"
"angustifolia",19211687,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211687"
"angustifolia",10426424,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10426424"
"angustifolia",9176373,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176373"
"angustifolia",13273789,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273789"
"angustifolia",21962361,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21962361"
"angustifolia",13271179,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13271179"
"angustifolia",16575157,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16575157"
"angustifolia",11535362,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535362"
"angustifolia",8755424,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=8755424"
"angustifolia",22620053,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620053"
"angustifolia",13939775,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13939775"
"angustifolia",22918630,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22918630"
"angustifolia",6774780,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774780"
"angustifolia",12876908,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876908"
"subcordata",23538076,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23538076"
"subcordata",8627291,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=8627291"
"subcordata",2862581,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=2862581"
"subcordata",14740311,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14740311"
"subcordata",23538073,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23538073"
"subcordata",13939793,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13939793"
"subcordata",8627290,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=8627290"
"subcordata",8627293,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=8627293"
"umbellata",11327058,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11327058"
"umbellata",16040540,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16040540"
"umbellata",16668594,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16668594"
"umbellata",4161807,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161807"
"umbellata",19701712,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701712"
"umbellata",16668591,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16668591"
"umbellata",13422322,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422322"
"umbellata",19701710,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701710"
"umbellata",13285044,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13285044"
"umbellata",16668576,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16668576"
"umbellata",19701704,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701704"
"umbellata",13574015,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13574015"
"umbellata",13422318,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422318"
"umbellata",6774895,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774895"
"umbellata",6774900,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774900"
"umbellata",25330535,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25330535"
"umbellata",16064794,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16064794"
"umbellata",16668533,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16668533"
"umbellata",21269005,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21269005"
"umbellata",16668530,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16668530"
"umbellata",16912305,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16912305"
"umbellata",7444123,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444123"
"umbellata",19705281,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19705281"
"umbellata",13284147,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13284147"
"umbellata",6189250,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6189250"
"umbellata",6774893,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774893"
"umbellata",19701723,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701723"
"umbellata",21517546,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21517546"
"umbellata",19452789,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19452789"
"umbellata",21269017,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21269017"
"gracilis",21186511,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186511"
"gracilis",12508914,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508914"
"gracilis",25160655,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25160655"
"gracilis",11327026,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11327026"
"gracilis",22531788,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22531788"
"gracilis",13449647,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13449647"
"gracilis",13573839,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573839"
"gracilis",22672003,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22672003"
"gracilis",13273939,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273939"
"gracilis",22680316,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22680316"
"gracilis",13939785,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13939785"
"gracilis",25160656,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25160656"
"gracilis",13497849,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497849"
"gracilis",16666802,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666802"
"gracilis",22516046,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22516046"
"gracilis",13511541,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13511541"
"gracilis",13497845,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497845"
"gracilis",13939786,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13939786"
"gracilis",21384060,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21384060"
"gracilis",13573840,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573840"
"gracilis",13422261,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422261"
"gracilis",25176509,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25176509"
"gracilis",13422264,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422264"
"gracilis",24668112,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24668112"
"gracilis",13273936,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273936"
"gracilis",22691169,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22691169"
"gracilis",25286595,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25286595"
"gracilis",19212080,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212080"
"gracilis",22517060,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22517060"
"gracilis",13422259,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422259"
"munsoniana",16666977,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666977"
"munsoniana",10426177,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10426177"
"munsoniana",12911718,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911718"
"munsoniana",11535446,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535446"
"munsoniana",22663732,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22663732"
"munsoniana",22620237,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620237"
"munsoniana",15369873,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369873"
"munsoniana",22675256,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22675256"
"munsoniana",10426164,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10426164"
"munsoniana",11535447,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535447"
"munsoniana",12911717,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911717"
"munsoniana",22620248,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620248"
"munsoniana",11313777,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11313777"
"munsoniana",7444094,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444094"
"munsoniana",22620245,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620245"
"munsoniana",19752198,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752198"
"munsoniana",3848968,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848968"
"munsoniana",6816192,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6816192"
"munsoniana",20453555,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20453555"
"munsoniana",22649749,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22649749"
