specificEpithet,references,catalogNumber,flowers,leaves,bbch.f,bbch.v,flagged,note,flagged_question,question_note,entered_by,question_addressed
texana,http://data.huh.harvard.edu/35028546-708b-4f80-939f-c2289d87f72b/image,barcode-01724774,N,Y,,,,,,,SC,
texana,http://data.huh.harvard.edu/be83a5c7-a652-4063-b4c3-847c74258967/image,barcode-01724770,N,Y,,,,,,,SC,
texana,http://data.huh.harvard.edu/4027e3d9-e2d3-4c6d-8a16-9cdb13f187a3/image,barcode-01724778,Y,Y,65,15,Y,two different collection dates ,,,SC,
texana,http://data.huh.harvard.edu/523eab28-329a-4ad1-85e5-af100a32db46/image,barcode-01724759,Y,Y,65,17,,,,,SC,
maritima,http://data.huh.harvard.edu/f8b10c53-3eb2-4e57-a067-a08a6e2c4cba/image,barcode-00673855,Y,Y,65,17,,,,,DB,
maritima,http://data.huh.harvard.edu/1833c638-7a8f-4643-8893-2a47f4758ef9/image,barcode-00673858,Y,Y,65,10,,,,,DB,
maritima,http://data.huh.harvard.edu/3ac714b5-d627-4eab-966a-6a49dc647019/image,barcode-00673889,Y,Y,65,15,,,,,DB,
maritima,http://data.huh.harvard.edu/aa664e84-e29d-446e-b479-10b8ace5e276/image,barcode-00669283,Y,N,65,0,Y,flowers and leaves collected seperate days,,,DB,
maritima,http://data.huh.harvard.edu/6c6c26a8-f4d5-4e24-9e34-faf5a2c82e73/image,barcode-00669265,Y,Y,89,19,,,,,DB,
maritima,http://data.huh.harvard.edu/aede9e5b-5e40-4236-96a0-a85a5491becd/image,barcode-00673882,Y,Y,65,11,Y,old fruits also included,,,DB,
maritima,http://data.huh.harvard.edu/7a394e87-ee7e-4eb8-bebc-dedc88a7e47f/image,barcode-00669335,Y,Y,60,15,Y,two different collection dates,,,DB,
maritima,http://data.huh.harvard.edu/5adebe8d-267e-4060-9683-26b2feea4c14/image,barcode-00673809,Y,Y,89,19,,,,,DB,
maritima,http://data.huh.harvard.edu/fc62f620-308b-44a6-848e-0ef39c6b1677/image,barcode-00673879,N,Y,,,,,,,DB,
maritima,http://data.huh.harvard.edu/7a93088c-fe7d-4a7f-a249-145d80b7301d/image,barcode-00669341,Y,Y,63,15,Y,two different collection dates,,,DB,
alleghaniensis,http://data.huh.harvard.edu/5939b0eb-4289-48ba-b3ac-b150ce58987a/image,barcode-01704970,N,Y,,,,,,,DB,
alleghaniensis,http://data.huh.harvard.edu/01fb9b52-1b06-4bca-a507-f7a1cfd3a8d9/image,barcode-01704952,Y,Y,89,19,,,,,SC,
alleghaniensis,http://data.huh.harvard.edu/4e8f50e2-982a-4e33-8fba-073805d53452/image,barcode-01704964,Y,Y,89,19,,,,,SC,
alleghaniensis,http://data.huh.harvard.edu/22908a06-af97-426b-a3d6-929118d5fbdc/image,barcode-01704954,Y,Y,89,19,,,,,SC,
alleghaniensis,http://data.huh.harvard.edu/84974e63-1255-4455-be2f-024aa65110da/image,barcode-00703447,Y,Y,65,17,,,,,SC,
alleghaniensis,http://data.huh.harvard.edu/36e9bce0-6cd8-458d-afc9-bf363fc41c9f/image,barcode-01704938,Y,Y,65,17,,,,,SC,
alleghaniensis,http://data.huh.harvard.edu/61450988-fdd1-4354-a2fb-201325b46a54/image,barcode-01704962,N,Y,,,,,,,SC,
alleghaniensis,http://data.huh.harvard.edu/47d5d2b9-a382-4f29-9e03-d6fbb1ed74a2/image,barcode-01704937,N,Y,,,,,,,SC,
alleghaniensis,http://data.huh.harvard.edu/bcbaa219-b431-40e9-88ce-a43cb0e8146b/image,barcode-00703453,Y,Y,65,11,Y,Two different collection dates,,,SC,
alleghaniensis,http://data.huh.harvard.edu/fb9a68b2-dbb8-437a-be06-4851317507a1/image,barcode-01704957,N,Y,,,,,,,SC,
murrayana,http://data.huh.harvard.edu/5e0c7962-431b-4f92-8c01-c6efa77981a7/image,barcode-01722797,N,Y,,,,,,,DB,
murrayana,http://data.huh.harvard.edu/a9f7d591-66e0-47e9-a58f-fc2920669678/image,barcode-00026886,Y,Y,67,17,,,,,DB,
murrayana,http://data.huh.harvard.edu/0527137a-4498-45c7-be55-4237ffcfdfc3/image,barcode-01723884,Y,Y,65,15,,,,,DB,
geniculata,http://data.huh.harvard.edu/cdb9359f-17f5-4b22-9e5e-3546d4d01d48/image,barcode-01721871,N,Y,,,,,,,DB,
geniculata,http://data.huh.harvard.edu/e6adf2c5-f654-48a0-933c-fafa949959fa/image,barcode-01723881,N,Y,,,,,,,SC,
geniculata,http://data.huh.harvard.edu/48245a5a-6bfb-4970-a67e-5f063d18801d/image,barcode-01721864,Y,Y,65,9,,,,,SC,
geniculata,http://data.huh.harvard.edu/d483faf5-2fcd-491c-a6c6-0b4b52106d13/image,barcode-01721868,N,Y,,,,,,,SC,
geniculata,http://data.huh.harvard.edu/52c3ae42-5734-48b0-a322-f46edaddd6b6/image,barcode-01721870,Y,N,65,0,,,,,SC,
geniculata,http://data.huh.harvard.edu/7fa4b350-f5f8-4473-b567-01a8a566569c/image,barcode-01721867,Y,Y,69,10,,,,,SC,
geniculata,http://data.huh.harvard.edu/be779ded-f1ed-4dba-9443-c26461e115ae/image,barcode-01721869,N,Y,,,,,,,SC,
geniculata,http://data.huh.harvard.edu/a473d6da-5d50-4cae-9907-bd9f1eff5809/image,barcode-01721863,Y,Y,65,11,,,,,SC,
geniculata,http://data.huh.harvard.edu/fdbf857a-a28e-4b68-8661-9a79456a1244/image,barcode-01721866,N,Y,,,,,,,SC,
geniculata,http://data.huh.harvard.edu/9e5f8171-1d63-4141-9cf5-4c80bad0e825/image,barcode-01721862,Y,N,63,0,Y,two different collection dates,Y,65 or 67?,SC,Y-Buds still opening
