"FLS","FLSlow","FLShigh","PDSI","PDSIlow","PDSIhigh","PDSImin","PDSIminlow","PDSIminhigh","species"
2.75728398577181,2.56924175035105,2.9458138840585,-0.0223577163052943,-0.034174193508728,-0.0101500812459757,-5.5301829508666,-5.59574452456314,-5.4633682229834,"alleghaniensis"
3.10046961675196,3.01243868743648,3.1891337572881,-0.17009466657011,-0.17901516387136,-0.160969853108808,-5.89987367004133,-5.95279233203709,-5.84980435590403,"americana"
2.8570115706693,2.75520019380513,2.95568067317575,-0.320252021302337,-0.329043863370031,-0.311215552587127,-5.54200981549293,-5.59444686080372,-5.48840429374878,"angustifolia"
3.13233278095962,3.04176851718836,3.22505909675741,-0.0442887363423112,-0.0533921385830657,-0.0351311633085452,-5.94988037231957,-6.0020250658837,-5.89727748122937,"gracilis"
3.40595124359002,3.31930034108324,3.49212869936929,-0.220262727444249,-0.229761279240135,-0.210918989750427,-6.30348223366694,-6.35614020246943,-6.24886415030219,"hortulana"
2.2736658837499,2.17116286980498,2.37821311051782,0.0204903670134354,0.00781388284442019,0.0331392226856008,-6.47149811257197,-6.54285968528721,-6.40009408958666,"maritima"
2.30657196247448,2.19429638945907,2.41985885837222,-0.330389901032965,-0.340107934945438,-0.320870482649806,-5.71168046251823,-5.76376175416785,-5.65798905216236,"mexicana"
2.95842494782462,2.88145207085198,3.03765989317533,-0.244764171672052,-0.253454101756155,-0.235855800114742,-5.96620558409794,-6.01779981396748,-5.91483893760488,"munsoniana"
2.74160955972006,2.65924822608274,2.82806660202158,-0.1329337781158,-0.1419982550288,-0.123439816564803,-6.36576001359917,-6.41906872872053,-6.31229650018175,"nigra"
3.56618831917283,3.48311690626439,3.64919940140033,0.105515683589009,0.0959535702083588,0.114398689754865,-6.35183915698733,-6.40254858589208,-6.30090472020739,"rivularis"
4.28962458950325,4.16103401001068,4.41886210258101,-0.112602698432155,-0.135160037020352,-0.0889008447118873,-7.00752651843901,-7.13908326791858,-6.88044084392239,"subcordata"
3.44392457820793,3.26804523238579,3.61727231909045,0.0450817805031059,0.0242259774465723,0.0660956825653572,-6.54945414910003,-6.66302128873088,-6.43751735599857,"texana"
2.75378150193287,2.64822326924707,2.86328863660482,-0.425880990105544,-0.435286679748947,-0.416655592549537,-5.42379955707797,-5.47526819514133,-5.37185904006294,"umbellata"
