specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,fruit,leaves,bbch.f,bbch.v,flagged,note,flagged_question,question_note,entered_by,imput_date/GPS
mexicana,22646915,KANU,1995,4,13,1995-04-13,Kansas,Leavenworth,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646915,-94.933664,39.368204,geo_referenced,Y,N,Y,65,15,,,,,SC,
mexicana,12877040,UARK,1927,7,20,1927-07-20,Arkansas,craighead,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877040,-90.6430341,35.82915721,county_centroid,N,N,Y,,,,,,,SC,
mexicana,12911691,UARK,1983,4,11,1983-04-11,Arkansas,washington,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911691,-94.22168881,35.97609413,county_centroid,Y,N,Y,65,15,,,,,SC,
mexicana,5465891,EKY,1980,4,10,1980-04-10,Kentucky,caldwell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465891,-87.86305395,37.14229907,county_centroid,Y,N,Y,64,11,,,,,SC,
mexicana,9176923,LSU,1978,9,7,1978-09-07,Louisiana,winn,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176923,-92.63472222,31.94680798,county_centroid,N,N,Y,,,,,,,SC,
mexicana,16920052,NCU,1979,6,3,1979-06-03,Louisiana,claiborne,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920052,-92.99514158,32.82545749,county_centroid,N,Y,Y,89,19,,,,,SC,date
mexicana,16572947,VDB,2012,4,12,2012-04-12,Kansas,bourbon,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16572947,-94.85958888,37.854871,county_centroid,Y,N,N,65,0,,,,,SC,date
mexicana,5668027,LSU,1935,7,18,1935-07-18,Louisiana,evangeline,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668027,-92.40451479,30.73356046,county_centroid,N,N,Y,,,,,,,SC,
mexicana,12877156,UARK,2006,8,11,2006-08-11,Arkansas,montgomery,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877156,-93.65831855,34.54772903,county_centroid,N,Y,Y,89,19,,,,,SC,date
mexicana,12877064,UARK,1983,3,26,1983-03-26,Arkansas,crawford,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877064,-94.25175754,35.5843972,county_centroid,Y,N,N,65,0,,,,,SC,date
mexicana,19212167,UCHT,2002,3,19,2002-03-19,Louisiana,caddo,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212167,-93.88843278,32.59124739,county_centroid,Y,N,Y,65,10,,,,,SC,date
mexicana,22723098,KANU,2014,7,27,2014-07-27,Kansas,Douglas,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22723098,-95.15432,38.8025,geo_referenced,N,Y,Y,89,19,,,,,SC,
mexicana,5668029,LSU,1977,7,9,1977-07-09,Louisiana,rapides,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668029,-92.53011007,31.20510797,county_centroid,N,N,Y,,,,,,,SC,
mexicana,20807966,UCHT,2002,3,16,2002-03-16,Texas,austin,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20807966,-96.28068897,29.89023645,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,12877065,UARK,2003,7,22,2003-07-22,Arkansas,cross,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877065,-90.77551081,35.28915734,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,15369609,NCU,1937,8,30,1937-08-30,North Carolina,orange,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369609,-79.1273705,36.05478028,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,22620183,KANU,1965,4,17,1965-04-17,Kansas,Anderson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620183,-95.24192,38.30957,geo_referenced,Y,N,Y,65,11,,,,,SC,
mexicana,12509353,WCUH,1971,2,28,1971-02-28,Louisiana,ouachita,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12509353,-92.1593802,32.4833014,county_centroid,Y,N,N,63,0,,,,,SC,date
mexicana,5465876,EKY,2003,4,15,2003-04-15,Kentucky,owen,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,-84.82059771,38.5073583,county_centroid,Y,N,Y,65,15,Y,two collection dates,,,SC,
mexicana,22620195,KANU,1969,4,21,1969-04-21,Kansas,Wilson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620195,-95.73477,37.41832,geo_referenced,Y,N,Y,67,17,,,,,SC,
mexicana,12876989,UARK,1978,10,21,1978-10-21,Arkansas,arkansas,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876989,-91.37334862,34.29669057,county_centroid,N,N,Y,,,,,,,SC,
mexicana,6345103,MMNS,1985,3,16,1985-03-16,Mississippi,Winston,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6345103,-88.8544,33.0961,geo_referenced,N,N,N,,,,,Y,flowers?,SC,
mexicana,10246807,APCR,1967,NA,NA,,Arkansas,pope,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246807,-93.03339602,35.44081908,county_centroid,N,N,Y,,,,,Y,incomplete date,SC,date
mexicana,13497872,TEX,1940,3,7,1940-03-07,Texas,harris,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497872,-95.401057,29.87217015,county_centroid,Y,N,N,67,0,Y,two collection dates,,,SC,
mexicana,21268918,UAM,1993,3,29,1993-03-29,Arkansas,faulkner,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268918,-92.33094352,35.14224253,county_centroid,Y,N,N,65,0,,,,,SC,
mexicana,16573966,VDB,1997,7,1,1997-07-01,Arkansas,sevier,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16573966,-94.25270738,34.00088746,county_centroid,N,Y,Y,89,19,,,,,SC,date
mexicana,5894932,MISS,1966,6,21,1966-06-21,Mississippi,tippah,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894932,-88.91084551,34.76866436,county_centroid,N,N,Y,,,,,,,SC,
mexicana,12911154,UARK,1924,5,24,1924-05-24,Arkansas,Phillips,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911154,-90.621223,34.587086,geo_referenced,N,N,Y,,,,,,,SC,
mexicana,12877017,UARK,1929,5,24,1929-05-24,Arkansas,benton,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877017,-94.26402599,36.34167755,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,12877089,UARK,1925,4,21,1925-04-21,Arkansas,garland,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877089,-93.14444412,34.57644159,county_centroid,N,Y,Y,89,19,,,,,SC,date
mexicana,3077568,DES,1971,2,28,1971-02-28,Louisiana,Ouachita,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3077568,-91.985,32.56861,geo_referenced,Y,N,N,60,0,,,Y,60?,SC,
mexicana,16080409,FLAS,2012,6,23,2012-06-23,Arkansas,Pope,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080409,-93.1632,35.3014667,geo_referenced,N,N,Y,,,,,,,SC,
mexicana,13626270,TEX,2004,4,19,2004-04-19,TEXAS,Bell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13626270,-97.558333,31.182778,geo_referenced,N,Y,Y,89,19,,,,,SC,
mexicana,11535439,LSU,1987,3,12,1987-03-12,Arkansas,drew,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439,-91.72331533,33.58639516,county_centroid,Y,N,N,65,0,,,,,SC,
mexicana,10246788,APCR,1979,3,30,1979-03-30,Arkansas,garland,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246788,-93.14444412,34.57644159,county_centroid,Y,N,N,65,0,,,,,SC,date
mexicana,19446377,BEREA,1983,3,10,1983-03-10,Louisiana,caddo,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377,-93.88843278,32.59124739,county_centroid,Y,N,N,65,0,,,,,SC,date
mexicana,21267345,UAM,1983,11,28,1983-11-28,Louisiana,red river,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21267345,-93.33878346,32.0992281,county_centroid,N,N,Y,,,,,,,SC,
mexicana,9176992,LSU,1975,6,13,1975-06-13,Louisiana,red river,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176992,-93.33878346,32.0992281,county_centroid,N,Y,Y,89,19,,,,,SC,date
mexicana,12911155,UARK,NA,NA,NA,,Arkansas,polk,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911155,-94.23785272,34.49701429,county_centroid,N,N,Y,,,,,Y,date - august or october?,SC,
mexicana,21204454,APSC,2010,6,7,2010-06-07,Mississippi,monroe,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21204454,-88.4765644,33.88974155,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,10246804,APCR,NA,NA,1970,,Arkansas,pope,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246804,-93.03339602,35.44081908,county_centroid,N,Y,Y,89,19,,,Y,incomplete date,SC,date
mexicana,25174217,SAT,2008,3,30,2008-03-30,Texas,mcculloch,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25174217,-99.36576394,31.20210662,county_centroid,Y,N,Y,65,10,,,,,SC,
mexicana,16920067,NCU,1957,6,16,1957-06-16,Louisiana,winn,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920067,-92.63472222,31.94680798,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,21268914,UAM,1990,3,20,1990-03-20,Arkansas,lincoln,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268914,-91.72609781,33.96344474,county_centroid,Y,N,N,67,0,,,,,SC,
mexicana,13573864,TEX,NA,NA,NA,,Texas,angelina,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573864,-94.61538616,31.27644751,county_centroid,N,N,Y,,,,,Y,is date collection date or data scanned?,SC,
mexicana,12508922,DUKE,1998,7,20,1998-07-20,Mississippi,amite,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508922,-90.80948266,31.17633764,county_centroid,N,Y,Y,89,19,,,,,SC,date
mexicana,12877131,UARK,1951,7,31,1951-07-31,Arkansas,little river,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877131,-94.24316887,33.70943008,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,11406031,UCAC,2002,8,7,2002-08-07,Arkansas,yell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11406031,-93.41370271,35.00455982,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,10360301,DSC,2006,11,7,2006-11-07,Mississippi,bolivar,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10360301,-90.8875126,33.80045169,county_centroid,,,,,,Y,no image,,,SC,
mexicana,13573866,TEX,1926,0,0,1926-00-00,Texas,dallas,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573866,-96.77946085,32.76742822,county_centroid,N,N,Y,,,,,,,SC,
mexicana,19446376,BEREA,1973,6,6,1973-06-06,Louisiana,ouachita,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446376,-92.1593802,32.4833014,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,11535436,LSU,1977,4,26,1977-04-26,Wisconsin,dane,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535436,-89.42050383,43.06816145,county_centroid,Y,N,Y,65,15,,,,,SC,
mexicana,22519514,KANU,2005,4,16,2005-04-16,Kansas,Jackson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22519514,-95.5969444,39.4488889,geo_referenced,Y,N,Y,65,11,,,,,SC,
mexicana,12911151,UARK,1990,5,21,1990-05-21,Arkansas,perry,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911151,-92.9415163,34.94234579,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,11405926,UCAC,2002,8,9,2002-08-09,Arkansas,yell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405926,-93.41370271,35.00455982,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,5465862,EKY,1988,8,24,1988-08-24,Kentucky,estill,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465862,-83.96132227,37.69163301,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,16080187,FLAS,2010,6,4,2010-06-04,Georgia,peach,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080187,-83.83366018,32.57429119,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,15369792,NCU,1977,5,16,1977-05-16,Arkansas,hempstead,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369792,-93.66853507,33.73577783,county_centroid,N,N,Y,,,,,,,SC,
mexicana,14221706,BRIT,1979,3,14,1979-03-14,Texas,Smith,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14221706,-95.269183,32.375035,geo_referenced,Y,N,N,65,0,,,,,SC,
mexicana,10246797,APCR,1972,3,25,1972-03-25,Arkansas,cleburne,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246797,-92.04132081,35.52982647,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,7380353,EKY,2008,6,7,2008-06-07,Virginia,Dickenson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7380353,-82.29075,37.29975,geo_referenced,N,N,Y,,,,,,,SC,
mexicana,16920062,NCU,1983,5,9,1983-05-09,Louisiana,ouachita,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920062,-92.1593802,32.4833014,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,15369608,NCU,1937,5,19,1937-05-19,North Carolina,orange,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369608,-79.1273705,36.05478028,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,6344507,MMNS,1984,6,28,1984-06-28,Mississippi,Winston,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6344507,-89.05,33.0463,geo_referenced,N,Y,Y,89,19,,,,,SC,
mexicana,22620197,KANU,1975,5,12,1975-05-12,Kansas,McPherson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620197,-97.42753,38.41653,geo_referenced,N,N,Y,,,,,,,SC,
mexicana,24348693,APSC,1995,8,21,1995-08-21,Tennessee,maury,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24348693,-87.07726788,35.62972397,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,22620202,KANU,1969,4,20,1969-04-20,Kansas,Anderson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620202,-95.24183,38.32978,geo_referenced,Y,N,Y,65,17,,,,,SC,
mexicana,5894924,MISS,1967,6,1,1967-06-01,Mississippi,lincoln,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894924,-90.46343596,31.5391525,county_centroid,N,N,Y,,,,,,,SC,
mexicana,21350435,APSC,1972,9,9,1972-09-09,Kentucky,calloway,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21350435,-88.27037413,36.62484397,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,5465885,EKY,1996,6,23,1996-06-23,Oklahoma,tulsa,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465885,-95.94280497,36.13383669,county_centroid,N,N,Y,,,,,,,SC,
mexicana,15369746,NCU,1967,7,18,1967-07-18,Alabama,russell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369746,-85.19410539,32.29519985,county_centroid,N,N,Y,,,,,,,SC,
mexicana,12508923,DUKE,1969,6,19,1969-06-19,Mississippi,scott,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508923,-89.53954909,32.41092604,county_centroid,N,Y,Y,89,19,,,,,SC,date
mexicana,12877067,UARK,1942,9,4,1942-09-04,Arkansas,cross,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877067,-90.77551081,35.28915734,county_centroid,N,N,Y,,,,,,,SC,
mexicana,11535440,LSU,1991,3,14,1991-03-14,Texas,gillespie,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535440,-98.93732734,30.30096526,county_centroid,Y,N,N,65,0,,,,,SC,
mexicana,5465868,EKY,1995,5,21,1995-05-21,Kentucky,jackson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465868,-84.00309632,37.42208007,county_centroid,N,Y,Y,89,17,,,,,SC,
mexicana,24641997,NY,1974,5,18,1974-05-18,Texas,Grimes Co.,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24641997,-95.895632,30.341873,geo_referenced,N,Y,Y,89,19,,,,,SC,
mexicana,15369874,NCU,1972,3,25,1972-03-25,Arkansas,cleburne,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369874,-92.04132081,35.52982647,county_centroid,N,N,Y,,,,,,,SC,
mexicana,9176940,LSU,1970,8,20,1970-08-20,Louisiana,union,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176940,-92.38028188,32.83355378,county_centroid,N,N,Y,,,,,,,SC,
mexicana,12877133,UARK,1954,6,17,1954-06-17,Arkansas,logan,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877133,-93.72428698,35.21063233,county_centroid,N,Y,Y,89,19,,,,,SC,date
mexicana,9176892,LSU,1970,7,2,1970-07-02,Louisiana,catahoula,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176892,-91.84924091,31.66600913,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,3848985,APSC,1965,6,15,1965-06-15,Kentucky,trigg,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848985,-87.87012333,36.80380461,county_centroid,N,N,Y,,,,,,,SC,
mexicana,5894926,MISS,1964,3,8,1964-03-08,Mississippi,pearl river,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894926,-89.57988952,30.77800527,county_centroid,Y,N,N,65,0,Y,two collection dates,,,SC,
mexicana,5465881,EKY,2006,4,26,2006-04-26,Kentucky,spencer,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465881,-85.32333001,38.02707406,county_centroid,N,N,Y,,,,,,,SC,
mexicana,22620189,KANU,1969,5,14,1969-05-14,Kansas,Osage,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189,-95.62387,38.50696,geo_referenced,N,Y,Y,89,19,,,,,SC,
mexicana,21268932,UAM,2004,5,19,2004-05-19,Arkansas,poinsett,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268932,-90.66737356,35.56784271,county_centroid,N,Y,Y,89,19,,,Y,two collection dates? only one with fruit but same otherwise,SC,
mexicana,22620193,KANU,1949,7,22,1949-07-22,Kansas,Shawnee,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620193,-95.93753,38.96434,geo_referenced,N,N,Y,,,,,,,SC,
