specificEpithet,id,references,fruit_type,obs_number,,,,,,fruit_diam_mm,who_done_it,note,certain
angustifolia,12508692,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508692,fleshy,1,3.485,38.519,6.355,67.752,-118.523,13.424,SC,or dried?,U
angustifolia,12508692,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508693,fleshy,2,3.748,67.483,27.994,99.056,-3.066,14.38,SC,,U
angustifolia,12508692,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508694,fleshy,3,3.485,39.605,19.692,83.756,174.508,13.395,SC,,U
angustifolia,12508692,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508695,fleshy,4,4.011,32.2,3.542,63.547,154.29,15.368,SC,,U
angustifolia,16913168,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16913168,pit,1,1.108,46.845,35.71,82.333,164.055,3.832,SC,,
angustifolia,16913168,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16913169,pit,2,1.247,77.291,61.588,157,173.29,4.505,SC,,
angustifolia,16913168,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16913170,pit,3,1.247,53.918,40.954,87.472,69.444,4.497,SC,,
angustifolia,9176563,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176563,fleshy,1,2.909,50.721,16.588,203.849,68.459,10.751,SC,,
angustifolia,9176563,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176564,fleshy,2,2.978,58.603,23.088,224.506,-73.301,10.99,SC,,
angustifolia,9176563,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176565,fleshy,3,2.839,30.211,20.273,40.228,153.435,10.592,SC,,
angustifolia,9176563,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176566,fleshy,4,2.978,39.04,22.333,230,9.689,10.946,SC,,
angustifolia,9176563,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176567,fleshy,5,2.909,33.501,25.143,48.243,164.624,10.917,SC,,
angustifolia,14635132,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635132,dried,1,2.434,50.999,41.933,130,67.62,9.306,SC,,
angustifolia,14635132,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635133,dried,2,1.922,42.97,33.611,90.5,92.01,7.217,SC,,
angustifolia,14635132,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635134,dried,3,1.217,48.986,31.704,148.667,49.399,4.667,SC,,
angustifolia,14635132,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635135,dried,4,2.114,43.642,34.681,127.333,118.54,8.211,SC,,
angustifolia,14635132,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635136,dried,5,2.242,46.685,35.111,100.667,102.804,8.565,SC,,
angustifolia,15948349,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948349,dried,1,3.67,28.234,17.94,40.667,163.673,13.574,SC,,
angustifolia,15948349,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948350,dried,2,3.393,31.305,23.676,43.083,-100.251,12.569,SC,,
angustifolia,19211497,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211497,dried,1,4.668,57.198,39.045,133.083,71.565,17.838,SC,,
angustifolia,16914595,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914595,dried,1,3.463,57.667,27.668,90.247,-80.538,12.806,SC,,
angustifolia,16914595,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914596,dried,2,3.047,49.869,36.222,62.395,-3.991,11.343,SC,,
subcordata,23568498,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568498,fleshy,1,9.985,31.472,10.31,91.259,138.257,16.753,SC,,
subcordata,23568498,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568499,fleshy,2,10.651,68.341,42.416,165.667,-93.111,17.718,SC,,
subcordata,23568498,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568500,fleshy,3,9.985,63.179,17.167,165.861,135.924,16.864,SC,,
subcordata,23568498,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568501,fleshy,4,11.317,46.348,4.694,96.75,131.682,18.797,SC,,
subcordata,20966797,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20966797,fleshy,1,13.979,88.965,29.138,214.423,5.421,25.017,SC,,
subcordata,20966797,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20966798,fleshy,2,9.815,40.342,29.304,72.833,-171.119,17.663,SC,,
subcordata,23568474,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568474,fleshy,1,8.252,30.656,11.802,69.333,39.012,14.32,SC,,
subcordata,23568487,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568487,pit,1,2.539,18.354,4.583,50.417,135,4.183,SC,,U
subcordata,23568487,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568488,pit,2,2.857,23.321,2.938,64.655,69.228,4.368,SC,,U
subcordata,23568487,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568489,pit,3,2.857,35.365,2.559,133.333,60.945,4.35,SC,,U
subcordata,23568487,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568490,pit,4,2.222,30.981,1.894,107.833,80.91,3.566,SC,,U
subcordata,23568487,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568491,pit,5,3.491,39.482,2.96,173.688,116.565,5.354,SC,,U
subcordata,2838221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838221,dried,1,0.898,49.07,37.48,99.413,121.891,13.766,SC,,
subcordata,2838221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838222,dried,2,0.957,49.236,33.361,108.484,-26.792,14.694,SC,,
subcordata,2838221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838223,dried,3,0.873,53.677,35.513,148.083,-13.496,13.356,SC,,
subcordata,2838221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838224,dried,4,0.894,43.632,26.159,119.485,20.493,13.726,SC,,
subcordata,2838221,https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838225,dried,5,0.953,54.469,38.069,116.333,108.113,14.621,SC,,
subcordata,2838324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838324,pit,1,1.142,55.403,25.665,208.75,57.688,17.748,SC,,
subcordata,2838324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838325,pit,2,1.175,48.181,26.17,158.333,63.794,18.29,SC,,
subcordata,2838324,https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838326,pit,3,1.171,102.289,22.511,173.589,82.725,18.224,SC,,
subcordata,11535476,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535476,dried,1,4.375,16.455,2.004,40.55,37.367,17.301,SC,maybe pit?,U
subcordata,11535476,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535477,dried,2,5.438,23.347,9.051,103.63,-38.868,21.513,SC,,U
subcordata,11535476,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535478,dried,3,4.562,19.759,11.173,88.583,70.56,18.028,SC,,U
subcordata,25295447,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25295447,dried,1,0.54,56.471,38.118,89.855,-137.545,8.272,SC,,
subcordata,25295447,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25295448,dried,2,0.527,49.993,25.53,92.879,-159.228,8.055,SC,,
subcordata,25295447,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25295449,dried,3,0.497,52.278,26.94,88.667,-143.326,7.61,SC,,
subcordata,25295447,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25295450,dried,4,0.447,55.006,32.466,105,141.17,6.835,SC,,
subcordata,25295447,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25295451,dried,5,0.51,62.064,32.333,95,-165.5,7.78,SC,,
subcordata,14794093,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14794093,dried,1,1.113,83.597,42.041,119.124,64.799,17.08,SC,,
subcordata,14794093,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14794094,dried,2,1.109,80.496,52.738,109.724,35.995,17.015,SC,,
subcordata,14794093,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14794095,dried,3,1.134,85.779,49.458,134,-82.293,17.43,SC,,
subcordata,14794093,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14794096,dried,4,1.025,80.815,44.451,121.141,-112.329,15.724,SC,,
subcordata,14794093,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14794097,dried,5,0.982,82.797,49.833,145.833,-0.494,15.065,SC,,
subcordata,23568473,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568473,fleshy,1,11.744,28.979,0.667,152.667,-149.859,20.195,SC,,
subcordata,23568471,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568471,fleshy,1,8.333,34.808,7.106,128.229,125.538,14.337,SC,,
subcordata,24642044,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24642044,dried,1,1.052,54.991,26.825,118.667,-105.018,16.327,SC,,
subcordata,24642044,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24642045,dried,2,0.448,71.963,44.741,152.772,70.56,6.934,SC,,
subcordata,7356603,https://midwestherbaria.org/portal/collections/individual/index.php?occid=7356603,dried,1,3.812,46.649,18.564,135.833,-134.326,15.027,SC,,
subcordata,23568472,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568472,dried,1,6.479,11.642,2,56.5,-10.739,10.93,SC,,
subcordata,23568472,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568473,dried,2,7.405,22.097,3.367,137.333,135,12.569,SC,,
subcordata,23568472,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568474,dried,3,5.862,28.206,5.213,96.556,106.39,9.843,SC,,
subcordata,23568472,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568475,dried,4,6.479,17.815,3.354,119.991,-24.444,11.186,SC,,
subcordata,23568496,https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568496,dried,1,8.651,34.113,9.254,150.75,121.849,14.66,SC,,
umbellata,13284143,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13284143,fleshy,1,2.811,64.828,46.273,98,95.194,11.042,SC,,
umbellata,13284143,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13284144,fleshy,2,2.936,78.522,50.137,119.966,163.54,11.466,SC,,
umbellata,13284143,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13284145,fleshy,3,2.811,73.768,59.667,83.86,148.134,10.888,SC,,
umbellata,13284143,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13284146,fleshy,4,2.936,70.082,46.665,122.667,-171.158,11.382,SC,,
umbellata,13284143,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13284147,fleshy,5,2.811,59.889,39,73,180,10.997,SC,,
umbellata,6774888,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774888,fleshy,1,3.272,36.466,12.185,61.16,177.879,13.18,SC,,
umbellata,6774888,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774889,fleshy,2,3.45,37.408,18.278,126.361,126.469,13.952,SC,,
umbellata,6774888,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774890,fleshy,3,3.331,33.322,12.57,68,156.251,13.323,SC,,
umbellata,6774888,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774891,fleshy,4,3.272,29.64,8.461,80.333,51.009,13.18,SC,,
umbellata,6774888,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774892,fleshy,5,3.212,29.112,9.233,61.894,156.801,13.003,SC,,
umbellata,16080148,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080148,dried,1,2.757,62.372,25.547,101.667,-143.13,11.625,SC,,
umbellata,15369836,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369836,dried,1,2.827,78.405,48,132.75,37.694,10.693,SC,,
umbellata,15369836,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369837,dried,2,2.433,91.546,55.66,137.219,108.435,9.324,SC,,
umbellata,15369836,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369838,dried,3,2.63,91.753,67.231,139,30.203,9.939,SC,,
umbellata,15369836,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369839,dried,4,2.63,90.877,47.321,122.258,76.675,10.013,SC,,
umbellata,6028963,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6028963,fleshy,1,7.175,50.694,24.521,149.843,-83.746,13.114,SC,i think half of these are pits? or dried ,U
umbellata,6028963,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6028964,fleshy,2,6.601,47.045,24.346,125.074,45,11.869,SC,,U
umbellata,6028963,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6028965,fleshy,3,8.036,46.975,35.544,112.917,-89.293,14.465,SC,,U
umbellata,6028963,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6028966,fleshy,4,6.601,54.5,24.091,118.722,90,11.607,SC,,U
umbellata,24486765,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24486765,dried,1,2.411,62.608,33.602,86.932,64.231,8.703,SC,,
umbellata,24486765,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24486766,dried,2,2.63,59.011,38.201,81.12,62.7,9.429,SC,,
umbellata,16080120,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080120,dried,1,3.231,68.411,46.367,123.333,65.726,13.321,SC,,
umbellata,16080120,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080121,dried,2,3.571,73.041,46.566,131.333,74.181,14.848,SC,,
umbellata,16080120,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080122,dried,3,3.741,63.381,45.551,103.705,-100.62,15.504,SC,,
umbellata,16080120,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080123,dried,4,3.345,72.868,47.672,119.495,54.118,13.812,SC,,
umbellata,16080120,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080124,dried,5,3.571,73.482,30.963,161.833,-116.98,14.695,SC,,
umbellata,16521694,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16521694,dried,1,2.361,66.957,50.519,97.791,25.821,8.945,SC,,
umbellata,16521694,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16521695,dried,2,2.159,77.536,55.593,125.896,-58.092,8.108,SC,,
umbellata,16521694,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16521696,dried,3,2.429,72.103,46.425,155.625,44.421,9.092,SC,,
umbellata,16521694,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16521697,dried,4,2.699,77.747,32.803,117.333,149.162,10.134,SC,,
umbellata,16521694,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16521698,dried,5,2.361,93.394,71.998,115.02,-100.981,8.864,SC,,
umbellata,15369769,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369769,fleshy,1,2.702,70.812,51.16,164.333,132.797,9.812,SC,,
umbellata,15369769,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369770,fleshy,2,2.418,57.751,41.378,126.75,53.653,8.774,SC,,
umbellata,15369769,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369771,fleshy,3,2.489,59.403,26.615,126.667,57.724,8.989,SC,,
umbellata,15369769,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369772,fleshy,4,2.631,58.765,36.551,91.753,-65.956,9.49,SC,,
umbellata,12749316,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12749316,fleshy,1,2.354,97.518,73.167,195,31.264,8.62,SC,,U
umbellata,15834054,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15834054,fleshy,1,2.321,51.688,30.333,91.333,180,10.222,SC,,
umbellata,15834054,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15834055,fleshy,2,2.222,56.267,21.333,165.667,69.905,9.702,SC,,
umbellata,15834054,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15834056,fleshy,3,1.975,54.828,35.872,82.833,-84.144,8.712,SC,,
umbellata,4161804,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161804,dried,1,2.37,43.448,30.475,119,-61.783,10.34,SC,,
umbellata,4161804,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161805,dried,2,2.173,37.782,10.87,113.008,54.462,9.558,SC,,
umbellata,4161804,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161806,dried,3,2.123,9.281,4.429,22.667,-167.619,9.328,SC,,
umbellata,4161804,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161807,dried,4,1.827,13.332,5.111,59.111,43.877,8.015,SC,,
umbellata,4161804,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161808,dried,5,2.321,26.774,12.092,80.556,70.769,10.12,SC,,
umbellata,16894658,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16894658,dried,1,2.855,34.349,15.347,57.722,-59.859,9.957,SC,,
umbellata,16894658,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16894659,dried,2,2.623,42.846,29.858,73.369,79.38,9.044,SC,,
umbellata,15369796,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369796,dried,1,2.557,51.368,33.897,107.399,88.315,9.193,SC,,
umbellata,15369740,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369740,fleshy,1,2.615,53.297,35.667,118.667,-26.565,9.167,SC,,U
umbellata,4161811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161811,dried,1,2.173,24.569,8.036,137.556,48.814,9.449,SC,,
umbellata,4161811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161812,dried,2,1.679,43.495,14.206,108.445,57.265,7.397,SC,,
umbellata,4161811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161813,dried,3,2.123,28.689,15.949,70.556,21.038,9.286,SC,,
umbellata,4161811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161814,dried,4,1.926,36.711,22.296,63.75,180,8.444,SC,,
umbellata,4161811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161815,dried,5,2.222,20.767,9.745,84.278,88.698,9.78,SC,,
umbellata,19701730,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701730,fleshy,1,3.875,59.853,37.584,133.481,154.699,15.209,SC,,
umbellata,19701730,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701731,fleshy,2,3.438,62.65,44.296,102.988,71.565,13.44,SC,,
umbellata,19701730,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701732,fleshy,3,3.25,67.292,41.833,102.611,-90,12.75,SC,,
umbellata,15835277,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15835277,fleshy,1,4.132,45.295,18.871,92.771,-66.991,18.025,SC,,
umbellata,15835277,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15835278,fleshy,2,4.132,38.881,16.996,137.5,-87.101,17.978,SC,,
umbellata,19701725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701725,dried,1,1.438,59.764,53.062,87,20.854,5.618,SC,,U
umbellata,19701725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701726,dried,2,1.5,55.137,42.864,100.75,-137.643,5.751,SC,,U
umbellata,19701725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701727,dried,3,1.375,59.381,47.94,75.333,1.364,5.251,SC,,U
umbellata,19701725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701728,dried,4,1.375,58.887,47.762,90.667,-5.44,5.274,SC,,U
umbellata,19701725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701729,dried,5,1.375,55.59,40.126,149.292,168.959,5.222,SC,,U
umbellata,5706474,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5706474,dried,1,4.64,18.414,9.807,36.407,73.217,17.317,SC,,
umbellata,15369799,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369799,dried,1,2.349,41.52,31,71.5,150.255,8.604,SC,,
umbellata,14635274,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635274,fleshy,1,2.498,81.596,55.234,103.667,91.548,9.491,SC,,
umbellata,14635274,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635275,fleshy,2,2.433,64.222,27.944,192.889,-37.185,9.333,SC,,
umbellata,14635274,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635276,fleshy,3,2.564,80.548,68.28,93.295,82.504,9.828,SC,,
umbellata,14635274,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635277,fleshy,4,2.761,76.405,52.972,89.785,67.166,10.572,SC,,
umbellata,14635274,https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635278,fleshy,5,2.696,63.595,44.741,100.741,38.884,10.211,SC,,
umbellata,19396572,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19396572,fleshy,1,1.549,65.357,20.92,176.238,66.903,15.074,SC,,
umbellata,19396572,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19396573,fleshy,2,1.414,35.234,20.671,79.686,-119.219,13.785,SC,,
umbellata,6774906,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774906,dried,1,2.561,38.358,25.894,60.333,-75.619,10.062,SC,,
umbellata,6774906,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774907,dried,2,2.748,86.036,37.556,115.023,-86.009,10.773,SC,,
umbellata,6774906,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774908,dried,3,2.623,65.101,43.611,114.833,-90,10.247,SC,,
umbellata,6774906,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774909,dried,4,2.311,58.285,20.188,109.636,52.815,9.097,SC,,
umbellata,19701727,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701727,dried,1,2.25,100.063,39.093,134.419,93.27,8.764,SC,,
umbellata,19701727,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701728,dried,2,2.438,91.222,69.904,121.667,-1.507,9.503,SC,,
umbellata,19701727,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701729,dried,3,1.875,87.235,71.236,107.667,-12.095,7.159,SC,,
umbellata,19701727,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701730,dried,4,2.25,92.96,43.333,121.859,-118.74,8.839,SC,,
umbellata,19701727,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701731,dried,5,2.625,91.038,38.888,126.908,168.69,10.198,SC,,
umbellata,9328130,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9328130,fleshy,1,2.736,52.205,32.093,89.278,42.274,10.878,SC,,
umbellata,9328130,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9328131,fleshy,2,2.677,50.149,27.48,75.896,127.648,10.781,SC,,
umbellata,24926094,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24926094,dried,1,6.462,39.891,17.25,113.056,79.765,12.399,SC,,
umbellata,5676689,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5676689,dried,1,2.562,44.403,29.722,54.417,6.34,9.532,SC,,
umbellata,5676689,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5676690,dried,2,2.632,32.36,16.611,55.167,57.171,9.708,SC,,
umbellata,5676689,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5676691,dried,3,2.701,24.385,18.759,68.222,158.199,9.92,SC,,
umbellata,5676689,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5676692,dried,4,2.77,25.186,17.843,63.417,124.509,10.219,SC,,
umbellata,5676689,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5676693,dried,5,2.701,28.823,13.667,148,137.121,10.055,SC,,
umbellata,25330494,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25330494,dried,1,2.839,19.645,9.517,45.333,-84.289,10.579,SC,,
umbellata,9177349,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9177349,dried,1,2.564,35.799,15.774,74.611,12.2,9.706,SC,,
umbellata,9177349,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9177350,dried,2,2.63,34.706,21.555,85,111.251,9.904,SC,,
umbellata,9177349,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9177351,dried,3,2.893,37.425,21.962,120.056,48.814,10.903,SC,,
gracilis,22667131,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22667131,dried,1,1.033,52.454,25.698,170,165.763,11.918,SC,,
gracilis,22667131,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22667132,dried,2,0.78,39.455,22.872,157.026,175.601,8.992,SC,,
gracilis,22667131,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22667133,dried,3,0.936,123.318,35.734,191.558,68.369,10.758,SC,,
gracilis,22667131,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22667134,dried,4,0.743,59.695,33.233,197.841,80.727,8.56,SC,,
gracilis,22667131,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22667135,dried,5,0.936,46.272,27.031,124.176,-173.558,10.758,SC,,
gracilis,13497847,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497847,dried,1,1.103,52.895,18.194,100.936,-64.29,12.806,SC,,
gracilis,13497847,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497848,dried,2,0.928,62.615,20.476,117.246,72.429,10.758,SC,,
gracilis,13497847,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497849,dried,3,0.935,56.945,29.938,93.778,139.79,10.856,SC,,
gracilis,24641974,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24641974,dried,1,0.797,57.093,28.154,83.898,115.787,12.512,SC,,
gracilis,24641974,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24641975,dried,2,0.697,49.75,19.667,73.2,-163.872,10.937,SC,,
gracilis,24641974,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24641976,dried,3,0.733,66.85,24.917,111.922,12.665,11.547,SC,,
gracilis,24641974,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24641977,dried,4,0.741,66.118,19.494,127.471,12.529,11.67,SC,,
gracilis,13573847,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573847,dried,1,1.142,85.727,41.216,141.881,138.848,13.393,SC,,
gracilis,13573847,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573848,dried,2,1.07,90.516,49.549,156.876,107.331,12.517,SC,,
gracilis,13573847,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573849,dried,3,1.192,84.702,47.819,137.155,89.306,13.984,SC,,
gracilis,13573847,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573850,dried,4,1.171,80.598,41.459,128.704,-77.51,13.714,SC,,
gracilis,16787698,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16787698,dried,1,3.696,70.09,26.194,111.787,125.154,12.584,SC,,
gracilis,16787698,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16787699,dried,2,3.78,83.408,17.667,139,-64.312,12.704,SC,,
gracilis,16787698,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16787700,dried,3,4.116,62.592,31.928,112.167,46.685,13.942,SC,,
gracilis,13273941,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273941,dried,1,2.499,64.693,52.162,138.333,-158.459,9.964,SC,,
gracilis,13273941,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273942,dried,2,2.974,69.665,59.865,95.685,63.435,11.998,SC,,
gracilis,13273941,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273943,dried,3,2.736,68.753,54.329,100.696,74.407,10.889,SC,,
gracilis,13273941,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273944,dried,4,2.38,68.789,56.77,85.944,166.675,9.525,SC,,
gracilis,24663402,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24663402,dried,1,0.649,74.206,46.794,128.083,36.724,10.077,SC,,
gracilis,24663402,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24663403,dried,2,0.703,68.576,28.833,108.167,105.018,10.885,SC,,
